Well,Content,Raw Data (600)
A01,Sample X1,0.171
A02,Sample X2,0.168
A03,Sample X3,0.383
A04,Sample X4,0.324
A05,Sample X5,0.314
A06,Sample X6,0.311
A07,Sample X7,0.307
A08,Sample X8,0.396
A09,Sample X9,0.412
A10,Sample X10,0.392
A11,Sample X11,0.397
A12,Sample X12,0.402
A13,Sample X13,0.406
A14,Sample X14,0.377
A15,Sample X15,0.384
A16,Sample X16,0.38
A17,Sample X17,0.372
A18,Sample X18,0.402
A19,Sample X19,0.463
A20,Sample X20,0.398
A21,Sample X21,0.39
A22,Sample X22,0.411
A23,Sample X23,0.169
A24,Sample X24,0.227
B01,Sample X25,0.152
B02,Sample X26,0.169
B03,Sample X27,0.401
B04,Sample X28,0.404
B05,Sample X29,0.414
B06,Sample X30,0.402
B07,Sample X31,0.416
B08,Sample X32,0.404
B09,Sample X33,0.472
B10,Sample X34,0.39
B11,Sample X35,0.411
B12,Sample X36,0.409
B13,Sample X37,0.449
B14,Sample X38,0.436
B15,Sample X39,0.543
B16,Sample X40,0.417
B17,Sample X41,0.481
B18,Sample X42,0.433
B19,Sample X43,0.402
B20,Sample X44,0.376
B21,Sample X45,0.411
B22,Sample X46,0.433
B23,Sample X47,0.155
B24,Sample X48,0.155
C01,Sample X49,0.169
C02,Sample X50,0.171
C03,Sample X51,0.3
C04,Sample X52,0.293
C05,Sample X53,0.37
C06,Sample X54,0.389
C07,Sample X55,0.38
C08,Sample X56,0.422
C09,Sample X57,0.466
C10,Sample X58,0.402
C11,Sample X59,0.424
C12,Sample X60,0.412
C13,Sample X61,0.384
C14,Sample X62,0.372
C15,Sample X63,0.376
C16,Sample X64,0.343
C17,Sample X65,0.364
C18,Sample X66,0.382
C19,Sample X67,0.297
C20,Sample X68,0.39
C21,Sample X69,0.358
C22,Sample X70,0.359
C23,Sample X71,0.156
C24,Sample X72,0.156
D01,Sample X73,0.162
D02,Sample X74,0.157
D03,Sample X75,0.415
D04,Sample X76,0.387
D05,Sample X77,0.35
D06,Sample X78,0.38
D07,Sample X79,0.341
D08,Sample X80,0.444
D09,Sample X81,0.54
D10,Sample X82,0.409
D11,Sample X83,0.493
D12,Sample X84,0.411
D13,Sample X85,0.379
D14,Sample X86,0.408
D15,Sample X87,0.392
D16,Sample X88,0.381
D17,Sample X89,0.522
D18,Sample X90,0.434
D19,Sample X91,0.395
D20,Sample X92,0.412
D21,Sample X93,0.423
D22,Sample X94,0.395
D23,Sample X95,0.156
D24,Sample X96,0.159
E01,Sample X97,0.178
E02,Sample X98,0.167
E03,Sample X99,0.414
E04,Sample X100,0.351
E05,Sample X101,0.387
E06,Sample X102,0.358
E07,Sample X103,0.394
E08,Sample X104,0.393
E09,Sample X105,0.404
E10,Sample X106,0.363
E11,Sample X107,0.377
E12,Sample X108,0.331
E13,Sample X109,0.375
E14,Sample X110,0.324
E15,Sample X111,0.289
E16,Sample X112,0.365
E17,Sample X113,0.36
E18,Sample X114,0.375
E19,Sample X115,0.282
E20,Sample X116,0.358
E21,Sample X117,0.369
E22,Sample X118,0.306
E23,Sample X119,0.154
E24,Sample X120,0.16
F01,Sample X121,0.169
F02,Sample X122,0.174
F03,Sample X123,0.314
F04,Sample X124,0.402
F05,Sample X125,0.352
F06,Sample X126,0.413
F07,Sample X127,0.36
F08,Sample X128,0.441
F09,Sample X129,0.415
F10,Sample X130,0.439
F11,Sample X131,0.366
F12,Sample X132,0.424
F13,Sample X133,0.372
F14,Sample X134,0.42
F15,Sample X135,0.406
F16,Sample X136,0.394
F17,Sample X137,0.386
F18,Sample X138,0.406
F19,Sample X139,0.379
F20,Sample X140,0.378
F21,Sample X141,0.414
F22,Sample X142,0.401
F23,Sample X143,0.17
F24,Sample X144,0.16
G01,Sample X145,0.172
G02,Sample X146,0.171
G03,Sample X147,0.409
G04,Sample X148,0.337
G05,Sample X149,0.374
G06,Sample X150,0.36
G07,Sample X151,0.342
G08,Sample X152,0.347
G09,Sample X153,0.388
G10,Sample X154,0.462
G11,Sample X155,0.37
G12,Sample X156,0.383
G13,Sample X157,0.355
G14,Sample X158,0.327
G15,Sample X159,0.351
G16,Sample X160,0.384
G17,Sample X161,0.387
G18,Sample X162,0.398
G19,Sample X163,0.291
G20,Sample X164,0.367
G21,Sample X165,0.379
G22,Sample X166,0.364
G23,Sample X167,0.179
G24,Sample X168,0.188
H01,Sample X169,0.174
H02,Sample X170,0.189
H03,Sample X171,0.386
H04,Sample X172,0.419
H05,Sample X173,0.365
H06,Sample X174,0.403
H07,Sample X175,0.344
H08,Sample X176,0.407
H09,Sample X177,0.344
H10,Sample X178,0.409
H11,Sample X179,0.419
H12,Sample X180,0.392
H13,Sample X181,0.422
H14,Sample X182,0.406
H15,Sample X183,0.408
H16,Sample X184,0.423
H17,Sample X185,0.371
H18,Sample X186,0.415
H19,Sample X187,0.683
H20,Sample X188,0.425
H21,Sample X189,0.416
H22,Sample X190,0.423
H23,Sample X191,0.16
H24,Sample X192,0.26
I01,Sample X193,0.196
I02,Sample X194,0.172
I03,Sample X195,0.405
I04,Sample X196,0.418
I05,Sample X197,0.404
I06,Sample X198,0.361
I07,Sample X199,0.339
I08,Sample X200,0.332
I09,Sample X201,0.384
I10,Sample X202,0.567
I11,Sample X203,0.417
I12,Sample X204,0.429
I13,Sample X205,0.423
I14,Sample X206,0.384
I15,Sample X207,0.398
I16,Sample X208,0.38
I17,Sample X209,0.288
I18,Sample X210,0.37
I19,Sample X211,0.367
I20,Sample X212,0.359
I21,Sample X213,0.346
I22,Sample X214,0.332
I23,Sample X215,0.16
I24,Sample X216,0.24
J01,Sample X217,0.175
J02,Sample X218,0.168
J03,Sample X219,0.409
J04,Sample X220,0.806
J05,Sample X221,0.4
J06,Sample X222,0.402
J07,Sample X223,0.401
J08,Sample X224,0.404
J09,Sample X225,0.424
J10,Sample X226,0.427
J11,Sample X227,0.364
J12,Sample X228,0.374
J13,Sample X229,0.349
J14,Sample X230,0.398
J15,Sample X231,0.298
J16,Sample X232,0.422
J17,Sample X233,0.396
J18,Sample X234,0.383
J19,Sample X235,0.402
J20,Sample X236,0.419
J21,Sample X237,0.337
J22,Sample X238,0.39
J23,Sample X239,0.159
J24,Sample X240,0.161
K01,Sample X241,0.168
K02,Sample X242,0.184
K03,Sample X243,0.406
K04,Sample X244,0.401
K05,Sample X245,0.425
K06,Sample X246,0.401
K07,Sample X247,0.377
K08,Sample X248,0.395
K09,Sample X249,0.361
K10,Sample X250,0.295
K11,Sample X251,0.39
K12,Sample X252,0.387
K13,Sample X253,0.394
K14,Sample X254,0.361
K15,Sample X255,0.359
K16,Sample X256,0.376
K17,Sample X257,0.388
K18,Sample X258,0.371
K19,Sample X259,0.361
K20,Sample X260,0.376
K21,Sample X261,0.368
K22,Sample X262,0.379
K23,Sample X263,0.164
K24,Sample X264,0.159
L01,Sample X265,0.186
L02,Sample X266,0.172
L03,Sample X267,0.4
L04,Sample X268,0.407
L05,Sample X269,0.423
L06,Sample X270,0.386
L07,Sample X271,0.418
L08,Sample X272,0.387
L09,Sample X273,0.527
L10,Sample X274,0.557
L11,Sample X275,0.354
L12,Sample X276,0.387
L13,Sample X277,0.36
L14,Sample X278,0.418
L15,Sample X279,0.368
L16,Sample X280,0.405
L17,Sample X281,0.37
L18,Sample X282,0.368
L19,Sample X283,0.364
L20,Sample X284,0.394
L21,Sample X285,0.385
L22,Sample X286,0.415
L23,Sample X287,0.158
L24,Sample X288,0.156
M01,Sample X289,0.159
M02,Sample X290,0.168
M03,Sample X291,0.454
M04,Sample X292,0.395
M05,Sample X293,0.371
M06,Sample X294,0.379
M07,Sample X295,0.403
M08,Sample X296,0.408
M09,Sample X297,0.55
M10,Sample X298,0.378
M11,Sample X299,0.374
M12,Sample X300,0.365
M13,Sample X301,0.297
M14,Sample X302,0.396
M15,Sample X303,0.392
M16,Sample X304,0.367
M17,Sample X305,0.385
M18,Sample X306,0.396
M19,Sample X307,0.398
M20,Sample X308,0.393
M21,Sample X309,0.314
M22,Sample X310,0.364
M23,Sample X311,0.238
M24,Sample X312,0.163
N01,Sample X313,0.163
N02,Sample X314,0.177
N03,Sample X315,0.451
N04,Sample X316,0.416
N05,Sample X317,1.58
N06,Sample X318,0.394
N07,Sample X319,0.402
N08,Sample X320,0.372
N09,Sample X321,0.463
N10,Sample X322,0.378
N11,Sample X323,0.371
N12,Sample X324,0.385
N13,Sample X325,0.388
N14,Sample X326,0.375
N15,Sample X327,0.379
N16,Sample X328,0.379
N17,Sample X329,0.401
N18,Sample X330,0.401
N19,Sample X331,0.367
N20,Sample X332,0.383
N21,Sample X333,0.412
N22,Sample X334,0.407
N23,Sample X335,0.15
N24,Sample X336,0.176
O01,Sample X337,0.197
O02,Sample X338,0.16
O03,Sample X339,0.394
O04,Sample X340,0.397
O05,Sample X341,0.375
O06,Sample X342,0.417
O07,Sample X343,0.588
O08,Sample X344,0.386
O09,Sample X345,0.433
O10,Sample X346,0.402
O11,Sample X347,0.392
O12,Sample X348,0.406
O13,Sample X349,0.417
O14,Sample X350,0.411
O15,Sample X351,0.388
O16,Sample X352,0.385
O17,Sample X353,0.387
O18,Sample X354,0.392
O19,Sample X355,0.394
O20,Sample X356,0.398
O21,Sample X357,0.406
O22,Sample X358,0.386
O23,Sample X359,0.151
O24,Sample X360,0.146
P01,Sample X361,0.159
P02,Sample X362,0.169
P03,Sample X363,0.406
P04,Sample X364,0.335
P05,Sample X365,0.332
P06,Sample X366,0.333
P07,Sample X367,0.368
P08,Sample X368,0.414
P09,Sample X369,0.487
P10,Sample X370,0.381
P11,Sample X371,0.382
P12,Sample X372,0.388
P13,Sample X373,0.397
P14,Sample X374,0.407
P15,Sample X375,0.395
P16,Sample X376,0.413
P17,Sample X377,0.406
P18,Sample X378,0.38
P19,Sample X379,0.403
P20,Sample X380,0.44
P21,Sample X381,0.399
P22,Sample X382,0.397
P23,Sample X383,0.224
P24,Sample X384,0.147
