Well,Content,Raw Data (600),
A01,Sample X1,0.180,
A02,Sample X2,0.171,
A03,Sample X3,0.297,
A04,Sample X4,0.209,
A05,Sample X5,0.193,
A06,Sample X6,0.197,
A07,Sample X7,0.210,
A08,Sample X8,1.028,
A09,Sample X9,0.896,
A10,Sample X10,0.779,
A11,Sample X11,0.687,
A12,Sample X12,0.547,
A13,Sample X13,0.623,
A14,Sample X14,0.678,
A15,Sample X15,0.582,
A16,Sample X16,0.593,
A17,Sample X17,0.572,
A18,Sample X18,1.052,
A19,Sample X19,1.063,
A20,Sample X20,1.007,
A21,Sample X21,1.018,
A22,Sample X22,1.006,
A23,Sample X23,0.172,
A24,Sample X24,0.237,
B01,Sample X25,0.166,
B02,Sample X26,0.174,
B03,Sample X27,0.858,
B04,Sample X28,0.883,
B05,Sample X29,0.813,
B06,Sample X30,0.897,
B07,Sample X31,0.817,
B08,Sample X32,0.921,
B09,Sample X33,0.979,
B10,Sample X34,0.926,
B11,Sample X35,0.858,
B12,Sample X36,0.847,
B13,Sample X37,0.889,
B14,Sample X38,0.964,
B15,Sample X39,0.986,
B16,Sample X40,0.910,
B17,Sample X41,1.085,
B18,Sample X42,0.899,
B19,Sample X43,0.876,
B20,Sample X44,0.969,
B21,Sample X45,0.878,
B22,Sample X46,1.024,
B23,Sample X47,0.159,
B24,Sample X48,0.158,
C01,Sample X49,0.176,
C02,Sample X50,0.175,
C03,Sample X51,0.306,
C04,Sample X52,0.296,
C05,Sample X53,0.538,
C06,Sample X54,0.480,
C07,Sample X55,0.671,
C08,Sample X56,0.511,
C09,Sample X57,0.866,
C10,Sample X58,0.677,
C11,Sample X59,0.830,
C12,Sample X60,0.684,
C13,Sample X61,0.693,
C14,Sample X62,1.120,
C15,Sample X63,0.771,
C16,Sample X64,0.324,
C17,Sample X65,0.715,
C18,Sample X66,0.834,
C19,Sample X67,0.328,
C20,Sample X68,0.982,
C21,Sample X69,1.027,
C22,Sample X70,0.997,
C23,Sample X71,0.158,
C24,Sample X72,0.157,
D01,Sample X73,0.171,
D02,Sample X74,0.170,
D03,Sample X75,0.733,
D04,Sample X76,0.736,
D05,Sample X77,0.524,
D06,Sample X78,0.801,
D07,Sample X79,0.485,
D08,Sample X80,1.093,
D09,Sample X81,0.719,
D10,Sample X82,0.806,
D11,Sample X83,0.860,
D12,Sample X84,0.808,
D13,Sample X85,0.558,
D14,Sample X86,0.903,
D15,Sample X87,0.816,
D16,Sample X88,0.906,
D17,Sample X89,1.027,
D18,Sample X90,0.648,
D19,Sample X91,0.900,
D20,Sample X92,0.782,
D21,Sample X93,0.649,
D22,Sample X94,0.905,
D23,Sample X95,0.156,
D24,Sample X96,0.159,
E01,Sample X97,0.179,
E02,Sample X98,0.168,
E03,Sample X99,0.679,
E04,Sample X100,0.444,
E05,Sample X101,0.501,
E06,Sample X102,0.479,
E07,Sample X103,0.620,
E08,Sample X104,0.904,
E09,Sample X105,0.594,
E10,Sample X106,0.874,
E11,Sample X107,0.883,
E12,Sample X108,0.360,
E13,Sample X109,0.677,
E14,Sample X110,0.357,
E15,Sample X111,0.355,
E16,Sample X112,0.768,
E17,Sample X113,0.435,
E18,Sample X114,0.819,
E19,Sample X115,0.275,
E20,Sample X116,0.589,
E21,Sample X117,0.696,
E22,Sample X118,0.571,
E23,Sample X119,0.154,
E24,Sample X120,0.157,
F01,Sample X121,0.172,
F02,Sample X122,0.171,
F03,Sample X123,0.261,
F04,Sample X124,0.738,
F05,Sample X125,0.503,
F06,Sample X126,0.749,
F07,Sample X127,0.502,
F08,Sample X128,0.933,
F09,Sample X129,0.829,
F10,Sample X130,0.904,
F11,Sample X131,0.825,
F12,Sample X132,0.892,
F13,Sample X133,0.805,
F14,Sample X134,0.943,
F15,Sample X135,0.847,
F16,Sample X136,0.843,
F17,Sample X137,0.796,
F18,Sample X138,0.773,
F19,Sample X139,0.776,
F20,Sample X140,0.898,
F21,Sample X141,0.968,
F22,Sample X142,0.828,
F23,Sample X143,0.170,
F24,Sample X144,0.161,
G01,Sample X145,0.173,
G02,Sample X146,0.173,
G03,Sample X147,0.598,
G04,Sample X148,0.469,
G05,Sample X149,0.560,
G06,Sample X150,0.499,
G07,Sample X151,0.360,
G08,Sample X152,0.489,
G09,Sample X153,0.535,
G10,Sample X154,0.927,
G11,Sample X155,0.360,
G12,Sample X156,0.524,
G13,Sample X157,0.794,
G14,Sample X158,0.468,
G15,Sample X159,0.736,
G16,Sample X160,0.941,
G17,Sample X161,0.911,
G18,Sample X162,0.904,
G19,Sample X163,0.342,
G20,Sample X164,0.977,
G21,Sample X165,0.897,
G22,Sample X166,1.100,
G23,Sample X167,0.174,
G24,Sample X168,0.189,
H01,Sample X169,0.176,
H02,Sample X170,0.187,
H03,Sample X171,0.561,
H04,Sample X172,0.793,
H05,Sample X173,0.542,
H06,Sample X174,0.722,
H07,Sample X175,0.524,
H08,Sample X176,0.736,
H09,Sample X177,0.511,
H10,Sample X178,0.818,
H11,Sample X179,0.918,
H12,Sample X180,0.789,
H13,Sample X181,0.713,
H14,Sample X182,0.748,
H15,Sample X183,0.858,
H16,Sample X184,0.921,
H17,Sample X185,0.633,
H18,Sample X186,0.721,
H19,Sample X187,1.074,
H20,Sample X188,0.754,
H21,Sample X189,0.838,
H22,Sample X190,0.952,
H23,Sample X191,0.160,
H24,Sample X192,0.262,
I01,Sample X193,0.192,
I02,Sample X194,0.175,
I03,Sample X195,0.581,
I04,Sample X196,0.771,
I05,Sample X197,0.495,
I06,Sample X198,0.578,
I07,Sample X199,0.487,
I08,Sample X200,0.286,
I09,Sample X201,0.614,
I10,Sample X202,1.094,
I11,Sample X203,0.640,
I12,Sample X204,1.088,
I13,Sample X205,0.967,
I14,Sample X206,0.841,
I15,Sample X207,0.813,
I16,Sample X208,0.832,
I17,Sample X209,0.391,
I18,Sample X210,0.825,
I19,Sample X211,0.815,
I20,Sample X212,0.720,
I21,Sample X213,0.563,
I22,Sample X214,0.464,
I23,Sample X215,0.158,
I24,Sample X216,0.245,
J01,Sample X217,0.181,
J02,Sample X218,0.169,
J03,Sample X219,0.730,
J04,Sample X220,1.169,
J05,Sample X221,0.684,
J06,Sample X222,0.792,
J07,Sample X223,0.858,
J08,Sample X224,0.752,
J09,Sample X225,0.975,
J10,Sample X226,0.801,
J11,Sample X227,0.587,
J12,Sample X228,0.862,
J13,Sample X229,0.590,
J14,Sample X230,0.828,
J15,Sample X231,0.296,
J16,Sample X232,0.931,
J17,Sample X233,1.045,
J18,Sample X234,0.712,
J19,Sample X235,0.699,
J20,Sample X236,0.928,
J21,Sample X237,0.352,
J22,Sample X238,0.978,
J23,Sample X239,0.163,
J24,Sample X240,0.162,
K01,Sample X241,0.173,
K02,Sample X242,0.184,
K03,Sample X243,0.678,
K04,Sample X244,0.576,
K05,Sample X245,0.704,
K06,Sample X246,0.766,
K07,Sample X247,0.749,
K08,Sample X248,0.709,
K09,Sample X249,0.704,
K10,Sample X250,0.303,
K11,Sample X251,0.809,
K12,Sample X252,0.856,
K13,Sample X253,0.850,
K14,Sample X254,0.744,
K15,Sample X255,0.563,
K16,Sample X256,1.029,
K17,Sample X257,0.871,
K18,Sample X258,0.854,
K19,Sample X259,0.547,
K20,Sample X260,0.954,
K21,Sample X261,0.956,
K22,Sample X262,1.006,
K23,Sample X263,0.161,
K24,Sample X264,0.159,
L01,Sample X265,0.192,
L02,Sample X266,0.174,
L03,Sample X267,0.622,
L04,Sample X268,0.700,
L05,Sample X269,0.753,
L06,Sample X270,0.794,
L07,Sample X271,0.797,
L08,Sample X272,0.721,
L09,Sample X273,0.923,
L10,Sample X274,0.816,
L11,Sample X275,0.757,
L12,Sample X276,0.789,
L13,Sample X277,0.683,
L14,Sample X278,0.992,
L15,Sample X279,0.878,
L16,Sample X280,0.846,
L17,Sample X281,0.766,
L18,Sample X282,0.861,
L19,Sample X283,1.012,
L20,Sample X284,1.033,
L21,Sample X285,0.897,
L22,Sample X286,0.861,
L23,Sample X287,0.161,
L24,Sample X288,0.157,
M01,Sample X289,0.165,
M02,Sample X290,0.171,
M03,Sample X291,0.738,
M04,Sample X292,0.707,
M05,Sample X293,0.644,
M06,Sample X294,0.670,
M07,Sample X295,0.751,
M08,Sample X296,0.602,
M09,Sample X297,0.929,
M10,Sample X298,0.863,
M11,Sample X299,0.714,
M12,Sample X300,0.664,
M13,Sample X301,0.848,
M14,Sample X302,0.828,
M15,Sample X303,0.709,
M16,Sample X304,0.880,
M17,Sample X305,0.652,
M18,Sample X306,0.733,
M19,Sample X307,0.770,
M20,Sample X308,1.006,
M21,Sample X309,0.319,
M22,Sample X310,0.514,
M23,Sample X311,0.240,
M24,Sample X312,0.166,
N01,Sample X313,0.170,
N02,Sample X314,0.182,
N03,Sample X315,0.786,
N04,Sample X316,0.758,
N05,Sample X317,1.942,
N06,Sample X318,0.681,
N07,Sample X319,0.725,
N08,Sample X320,0.744,
N09,Sample X321,0.812,
N10,Sample X322,1.028,
N11,Sample X323,0.659,
N12,Sample X324,0.883,
N13,Sample X325,0.887,
N14,Sample X326,0.671,
N15,Sample X327,0.800,
N16,Sample X328,0.793,
N17,Sample X329,0.694,
N18,Sample X330,0.889,
N19,Sample X331,0.718,
N20,Sample X332,0.966,
N21,Sample X333,0.822,
N22,Sample X334,0.899,
N23,Sample X335,0.154,
N24,Sample X336,0.181,
O01,Sample X337,0.205,
O02,Sample X338,0.169,
O03,Sample X339,0.668,
O04,Sample X340,0.686,
O05,Sample X341,0.730,
O06,Sample X342,0.702,
O07,Sample X343,0.961,
O08,Sample X344,0.807,
O09,Sample X345,0.736,
O10,Sample X346,0.665,
O11,Sample X347,0.751,
O12,Sample X348,0.883,
O13,Sample X349,0.677,
O14,Sample X350,0.727,
O15,Sample X351,0.861,
O16,Sample X352,0.804,
O17,Sample X353,0.803,
O18,Sample X354,0.839,
O19,Sample X355,0.942,
O20,Sample X356,0.848,
O21,Sample X357,0.706,
O22,Sample X358,0.865,
O23,Sample X359,0.157,
O24,Sample X360,0.155,
P01,Sample X361,0.169,
P02,Sample X362,0.179,
P03,Sample X363,0.443,
P04,Sample X364,0.386,
P05,Sample X365,0.291,
P06,Sample X366,0.366,
P07,Sample X367,0.424,
P08,Sample X368,0.611,
P09,Sample X369,0.680,
