Well,Content,Raw Data (600),
A01,Sample X1,0.172,
A02,Sample X2,0.166,
A03,Sample X3,0.225,
A04,Sample X4,0.198,
A05,Sample X5,0.202,
A06,Sample X6,0.185,
A07,Sample X7,0.192,
A08,Sample X8,1.577,
A09,Sample X9,1.095,
A10,Sample X10,0.715,
A11,Sample X11,0.649,
A12,Sample X12,0.580,
A13,Sample X13,0.529,
A14,Sample X14,0.714,
A15,Sample X15,0.632,
A16,Sample X16,0.613,
A17,Sample X17,0.513,
A18,Sample X18,0.983,
A19,Sample X19,0.870,
A20,Sample X20,1.085,
A21,Sample X21,1.206,
A22,Sample X22,1.165,
A23,Sample X23,0.169,
A24,Sample X24,0.202,
B01,Sample X25,0.171,
B02,Sample X26,0.173,
B03,Sample X27,0.961,
B04,Sample X28,0.973,
B05,Sample X29,0.972,
B06,Sample X30,1.061,
B07,Sample X31,1.193,
B08,Sample X32,1.565,
B09,Sample X33,1.041,
B10,Sample X34,1.024,
B11,Sample X35,0.948,
B12,Sample X36,1.224,
B13,Sample X37,0.896,
B14,Sample X38,1.073,
B15,Sample X39,1.150,
B16,Sample X40,1.006,
B17,Sample X41,0.986,
B18,Sample X42,0.850,
B19,Sample X43,0.913,
B20,Sample X44,1.007,
B21,Sample X45,0.804,
B22,Sample X46,0.692,
B23,Sample X47,0.172,
B24,Sample X48,0.181,
C01,Sample X49,0.165,
C02,Sample X50,0.158,
C03,Sample X51,0.691,
C04,Sample X52,1.173,
C05,Sample X53,0.849,
C06,Sample X54,0.903,
C07,Sample X55,0.800,
C08,Sample X56,1.098,
C09,Sample X57,0.892,
C10,Sample X58,0.814,
C11,Sample X59,0.884,
C12,Sample X60,0.901,
C13,Sample X61,1.455,
C14,Sample X62,0.695,
C15,Sample X63,1.226,
C16,Sample X64,1.428,
C17,Sample X65,0.911,
C18,Sample X66,1.260,
C19,Sample X67,1.321,
C20,Sample X68,1.019,
C21,Sample X69,1.077,
C22,Sample X70,0.867,
C23,Sample X71,0.158,
C24,Sample X72,0.224,
D01,Sample X73,0.165,
D02,Sample X74,0.157,
D03,Sample X75,0.893,
D04,Sample X76,0.862,
D05,Sample X77,0.773,
D06,Sample X78,1.017,
D07,Sample X79,0.935,
D08,Sample X80,0.855,
D09,Sample X81,0.843,
D10,Sample X82,0.893,
D11,Sample X83,0.778,
D12,Sample X84,0.893,
D13,Sample X85,0.835,
D14,Sample X86,0.955,
D15,Sample X87,0.954,
D16,Sample X88,1.038,
D17,Sample X89,0.787,
D18,Sample X90,0.744,
D19,Sample X91,0.709,
D20,Sample X92,0.837,
D21,Sample X93,0.863,
D22,Sample X94,0.675,
D23,Sample X95,0.163,
D24,Sample X96,0.156,
E01,Sample X97,0.169,
E02,Sample X98,0.180,
E03,Sample X99,0.721,
E04,Sample X100,0.841,
E05,Sample X101,0.913,
E06,Sample X102,0.948,
E07,Sample X103,1.105,
E08,Sample X104,1.025,
E09,Sample X105,1.005,
E10,Sample X106,1.136,
E11,Sample X107,1.161,
E12,Sample X108,1.375,
E13,Sample X109,1.201,
E14,Sample X110,1.406,
E15,Sample X111,1.115,
E16,Sample X112,1.386,
E17,Sample X113,1.190,
E18,Sample X114,0.880,
E19,Sample X115,0.984,
E20,Sample X116,1.305,
E21,Sample X117,1.281,
E22,Sample X118,1.332,
E23,Sample X119,0.161,
E24,Sample X120,0.154,
F01,Sample X121,0.167,
F02,Sample X122,0.159,
F03,Sample X123,0.649,
F04,Sample X124,1.048,
F05,Sample X125,0.858,
F06,Sample X126,0.780,
F07,Sample X127,0.732,
F08,Sample X128,0.860,
F09,Sample X129,0.807,
F10,Sample X130,0.755,
F11,Sample X131,0.797,
F12,Sample X132,0.875,
F13,Sample X133,0.762,
F14,Sample X134,0.785,
F15,Sample X135,0.880,
F16,Sample X136,0.910,
F17,Sample X137,0.861,
F18,Sample X138,0.475,
F19,Sample X139,0.925,
F20,Sample X140,0.882,
F21,Sample X141,1.000,
F22,Sample X142,0.968,
F23,Sample X143,0.161,
F24,Sample X144,0.155,
G01,Sample X145,0.165,
G02,Sample X146,0.164,
G03,Sample X147,0.729,
G04,Sample X148,1.142,
G05,Sample X149,0.952,
G06,Sample X150,0.897,
G07,Sample X151,0.780,
G08,Sample X152,0.904,
G09,Sample X153,0.906,
G10,Sample X154,0.853,
G11,Sample X155,0.902,
G12,Sample X156,0.938,
G13,Sample X157,0.885,
G14,Sample X158,0.998,
G15,Sample X159,0.988,
G16,Sample X160,1.317,
G17,Sample X161,1.272,
G18,Sample X162,1.044,
G19,Sample X163,1.250,
G20,Sample X164,1.282,
G21,Sample X165,1.427,
G22,Sample X166,1.402,
G23,Sample X167,0.160,
G24,Sample X168,0.158,
H01,Sample X169,0.269,
H02,Sample X170,0.177,
H03,Sample X171,0.772,
H04,Sample X172,0.891,
H05,Sample X173,0.974,
H06,Sample X174,0.868,
H07,Sample X175,0.921,
H08,Sample X176,0.912,
H09,Sample X177,0.843,
H10,Sample X178,0.827,
H11,Sample X179,0.849,
H12,Sample X180,0.863,
H13,Sample X181,0.791,
H14,Sample X182,0.887,
H15,Sample X183,0.838,
H16,Sample X184,0.842,
H17,Sample X185,0.842,
H18,Sample X186,0.840,
H19,Sample X187,0.945,
H20,Sample X188,0.965,
H21,Sample X189,0.924,
H22,Sample X190,0.744,
H23,Sample X191,0.153,
H24,Sample X192,0.163,
I01,Sample X193,0.169,
I02,Sample X194,0.163,
I03,Sample X195,0.941,
I04,Sample X196,1.425,
I05,Sample X197,1.463,
I06,Sample X198,1.095,
I07,Sample X199,1.116,
I08,Sample X200,1.387,
I09,Sample X201,1.025,
I10,Sample X202,1.435,
I11,Sample X203,1.427,
I12,Sample X204,1.167,
I13,Sample X205,1.715,
I14,Sample X206,1.394,
I15,Sample X207,1.752,
I16,Sample X208,1.745,
I17,Sample X209,1.526,
I18,Sample X210,0.542,
I19,Sample X211,1.556,
I20,Sample X212,1.633,
I21,Sample X213,1.604,
I22,Sample X214,1.383,
I23,Sample X215,2.209,
I24,Sample X216,0.160,
J01,Sample X217,0.169,
J02,Sample X218,0.172,
J03,Sample X219,0.641,
J04,Sample X220,0.805,
J05,Sample X221,1.035,
J06,Sample X222,0.859,
J07,Sample X223,0.823,
J08,Sample X224,0.845,
J09,Sample X225,0.811,
J10,Sample X226,0.814,
J11,Sample X227,1.002,
J12,Sample X228,0.834,
J13,Sample X229,0.866,
J14,Sample X230,0.845,
J15,Sample X231,0.964,
J16,Sample X232,1.047,
J17,Sample X233,0.824,
J18,Sample X234,0.718,
J19,Sample X235,0.798,
J20,Sample X236,1.300,
J21,Sample X237,1.093,
J22,Sample X238,0.980,
J23,Sample X239,0.162,
J24,Sample X240,0.158,
K01,Sample X241,0.160,
K02,Sample X242,0.165,
K03,Sample X243,0.652,
K04,Sample X244,0.950,
K05,Sample X245,1.058,
K06,Sample X246,0.836,
K07,Sample X247,0.819,
K08,Sample X248,0.944,
K09,Sample X249,1.113,
K10,Sample X250,1.136,
K11,Sample X251,0.966,
K12,Sample X252,1.185,
K13,Sample X253,1.128,
K14,Sample X254,1.169,
K15,Sample X255,1.224,
K16,Sample X256,1.082,
K17,Sample X257,1.300,
K18,Sample X258,1.214,
K19,Sample X259,1.175,
K20,Sample X260,1.264,
K21,Sample X261,0.542,
K22,Sample X262,1.481,
K23,Sample X263,0.162,
K24,Sample X264,0.156,
L01,Sample X265,0.160,
L02,Sample X266,0.171,
L03,Sample X267,0.622,
L04,Sample X268,0.836,
L05,Sample X269,0.772,
L06,Sample X270,0.831,
L07,Sample X271,0.774,
L08,Sample X272,0.849,
L09,Sample X273,0.848,
L10,Sample X274,0.860,
L11,Sample X275,0.725,
L12,Sample X276,0.823,
L13,Sample X277,0.818,
L14,Sample X278,0.798,
L15,Sample X279,0.821,
L16,Sample X280,0.906,
L17,Sample X281,0.791,
L18,Sample X282,0.900,
L19,Sample X283,0.793,
L20,Sample X284,1.023,
L21,Sample X285,0.696,
L22,Sample X286,0.812,
L23,Sample X287,0.166,
L24,Sample X288,0.160,
M01,Sample X289,0.161,
M02,Sample X290,0.157,
M03,Sample X291,0.611,
M04,Sample X292,0.843,
M05,Sample X293,0.920,
M06,Sample X294,0.791,
M07,Sample X295,0.764,
M08,Sample X296,0.916,
M09,Sample X297,0.782,
M10,Sample X298,0.807,
M11,Sample X299,0.774,
M12,Sample X300,0.871,
M13,Sample X301,0.890,
M14,Sample X302,0.428,
M15,Sample X303,0.769,
M16,Sample X304,0.957,
M17,Sample X305,0.953,
M18,Sample X306,1.167,
M19,Sample X307,0.980,
M20,Sample X308,1.272,
M21,Sample X309,1.122,
M22,Sample X310,1.184,
M23,Sample X311,0.160,
M24,Sample X312,0.165,
N01,Sample X313,0.169,
N02,Sample X314,0.173,
N03,Sample X315,0.636,
N04,Sample X316,0.778,
N05,Sample X317,0.781,
N06,Sample X318,0.728,
N07,Sample X319,0.774,
N08,Sample X320,0.871,
N09,Sample X321,0.757,
N10,Sample X322,0.776,
N11,Sample X323,0.644,
N12,Sample X324,0.708,
N13,Sample X325,0.966,
N14,Sample X326,0.702,
N15,Sample X327,0.708,
N16,Sample X328,0.738,
N17,Sample X329,0.898,
N18,Sample X330,0.712,
N19,Sample X331,0.780,
N20,Sample X332,0.958,
N21,Sample X333,1.365,
N22,Sample X334,1.049,
N23,Sample X335,0.205,
N24,Sample X336,0.177,
O01,Sample X337,0.170,
O02,Sample X338,0.159,
O03,Sample X339,0.630,
O04,Sample X340,0.856,
O05,Sample X341,0.767,
O06,Sample X342,0.915,
O07,Sample X343,0.511,
O08,Sample X344,0.892,
O09,Sample X345,0.800,
O10,Sample X346,0.815,
O11,Sample X347,0.658,
O12,Sample X348,0.679,
O13,Sample X349,0.663,
O14,Sample X350,0.709,
O15,Sample X351,0.708,
O16,Sample X352,0.743,
O17,Sample X353,0.846,
O18,Sample X354,0.862,
O19,Sample X355,0.932,
O20,Sample X356,1.017,
O21,Sample X357,0.979,
O22,Sample X358,0.984,
O23,Sample X359,0.168,
O24,Sample X360,0.172,
P01,Sample X361,0.186,
P02,Sample X362,0.177,
P03,Sample X363,0.359,
P04,Sample X364,0.370,
P05,Sample X365,0.372,
P06,Sample X366,0.350,
P07,Sample X367,0.331,
P08,Sample X368,0.612,
P09,Sample X369,0.525,
P10,Sample X370,0.492,
P11,Sample X371,0.444,
P12,Sample X372,0.313,
P13,Sample X373,0.805,
P14,Sample X374,0.799,
P15,Sample X375,0.910,
P16,Sample X376,0.907,
P17,Sample X377,0.858,
P18,Sample X378,0.846,
P19,Sample X379,0.934,
P20,Sample X380,0.942,
P21,Sample X381,1.032,
P22,Sample X382,0.982,
P23,Sample X383,0.160,
P24,Sample X384,0.241,
