Well,Content,Raw Data (600),
A01,Sample X1,0.233,
A02,Sample X2,0.172,
A03,Sample X3,0.244,
A04,Sample X4,0.240,
A05,Sample X5,0.242,
A06,Sample X6,0.216,
A07,Sample X7,0.273,
A08,Sample X8,0.851,
A09,Sample X9,0.554,
A10,Sample X10,0.434,
A11,Sample X11,0.457,
A12,Sample X12,0.372,
A13,Sample X13,0.427,
A14,Sample X14,0.452,
A15,Sample X15,0.427,
A16,Sample X16,0.396,
A17,Sample X17,0.416,
A18,Sample X18,0.987,
A19,Sample X19,0.834,
A20,Sample X20,1.074,
A21,Sample X21,1.619,
A22,Sample X22,0.903,
A23,Sample X23,0.165,
A24,Sample X24,0.215,
B01,Sample X25,0.169,
B02,Sample X26,0.171,
B03,Sample X27,1.661,
B04,Sample X28,1.418,
B05,Sample X29,1.752,
B06,Sample X30,1.498,
B07,Sample X31,1.718,
B08,Sample X32,1.861,
B09,Sample X33,1.472,
B10,Sample X34,1.481,
B11,Sample X35,1.418,
B12,Sample X36,1.355,
B13,Sample X37,1.539,
B14,Sample X38,1.305,
B15,Sample X39,1.465,
B16,Sample X40,1.274,
B17,Sample X41,0.400,
B18,Sample X42,1.030,
B19,Sample X43,0.912,
B20,Sample X44,0.827,
B21,Sample X45,0.809,
B22,Sample X46,0.725,
B23,Sample X47,0.162,
B24,Sample X48,0.225,
C01,Sample X49,0.175,
C02,Sample X50,0.169,
C03,Sample X51,0.625,
C04,Sample X52,0.384,
C05,Sample X53,0.245,
C06,Sample X54,0.435,
C07,Sample X55,0.239,
C08,Sample X56,0.677,
C09,Sample X57,0.632,
C10,Sample X58,0.364,
C11,Sample X59,0.294,
C12,Sample X60,0.314,
C13,Sample X61,0.293,
C14,Sample X62,0.486,
C15,Sample X63,0.356,
C16,Sample X64,0.394,
C17,Sample X65,0.341,
C18,Sample X66,0.325,
C19,Sample X67,0.348,
C20,Sample X68,0.299,
C21,Sample X69,0.383,
C22,Sample X70,0.537,
C23,Sample X71,0.154,
C24,Sample X72,0.156,
D01,Sample X73,0.180,
D02,Sample X74,0.166,
D03,Sample X75,0.724,
D04,Sample X76,0.261,
D05,Sample X77,0.445,
D06,Sample X78,0.403,
D07,Sample X79,0.305,
D08,Sample X80,0.472,
D09,Sample X81,0.578,
D10,Sample X82,0.590,
D11,Sample X83,0.777,
D12,Sample X84,0.655,
D13,Sample X85,0.708,
D14,Sample X86,0.534,
D15,Sample X87,0.570,
D16,Sample X88,0.358,
D17,Sample X89,0.287,
D18,Sample X90,0.424,
D19,Sample X91,0.322,
D20,Sample X92,0.371,
D21,Sample X93,0.186,
D22,Sample X94,0.274,
D23,Sample X95,0.151,
D24,Sample X96,0.150,
E01,Sample X97,0.171,
E02,Sample X98,0.168,
E03,Sample X99,0.286,
E04,Sample X100,0.330,
E05,Sample X101,0.416,
E06,Sample X102,0.391,
E07,Sample X103,0.371,
E08,Sample X104,0.476,
E09,Sample X105,0.469,
E10,Sample X106,0.368,
E11,Sample X107,0.298,
E12,Sample X108,0.384,
E13,Sample X109,0.417,
E14,Sample X110,0.396,
E15,Sample X111,0.369,
E16,Sample X112,0.392,
E17,Sample X113,0.458,
E18,Sample X114,0.428,
E19,Sample X115,0.264,
E20,Sample X116,0.438,
E21,Sample X117,0.437,
E22,Sample X118,0.304,
E23,Sample X119,0.150,
E24,Sample X120,0.152,
F01,Sample X121,0.176,
F02,Sample X122,0.166,
F03,Sample X123,0.261,
F04,Sample X124,0.339,
F05,Sample X125,0.301,
F06,Sample X126,0.293,
F07,Sample X127,0.397,
F08,Sample X128,0.445,
F09,Sample X129,0.384,
F10,Sample X130,0.364,
F11,Sample X131,0.301,
F12,Sample X132,0.367,
F13,Sample X133,0.414,
F14,Sample X134,0.298,
F15,Sample X135,0.410,
F16,Sample X136,0.401,
F17,Sample X137,0.347,
F18,Sample X138,0.182,
F19,Sample X139,0.183,
F20,Sample X140,0.271,
F21,Sample X141,0.446,
F22,Sample X142,0.435,
F23,Sample X143,0.159,
F24,Sample X144,0.152,
G01,Sample X145,0.164,
G02,Sample X146,0.179,
G03,Sample X147,0.358,
G04,Sample X148,0.271,
G05,Sample X149,0.347,
G06,Sample X150,0.354,
G07,Sample X151,0.397,
G08,Sample X152,0.566,
G09,Sample X153,0.415,
G10,Sample X154,0.506,
G11,Sample X155,0.421,
G12,Sample X156,0.477,
G13,Sample X157,0.329,
G14,Sample X158,0.379,
G15,Sample X159,0.589,
G16,Sample X160,0.467,
G17,Sample X161,0.244,
G18,Sample X162,0.215,
G19,Sample X163,0.523,
G20,Sample X164,0.309,
G21,Sample X165,0.329,
G22,Sample X166,0.397,
G23,Sample X167,0.152,
G24,Sample X168,0.240,
H01,Sample X169,0.165,
H02,Sample X170,0.168,
H03,Sample X171,0.436,
H04,Sample X172,0.327,
H05,Sample X173,0.349,
H06,Sample X174,0.319,
H07,Sample X175,0.253,
H08,Sample X176,0.341,
H09,Sample X177,0.328,
H10,Sample X178,0.304,
H11,Sample X179,0.302,
H12,Sample X180,0.314,
H13,Sample X181,0.421,
H14,Sample X182,0.348,
H15,Sample X183,0.346,
H16,Sample X184,0.358,
H17,Sample X185,0.398,
H18,Sample X186,0.343,
H19,Sample X187,0.324,
H20,Sample X188,0.319,
H21,Sample X189,0.356,
H22,Sample X190,0.414,
H23,Sample X191,0.154,
H24,Sample X192,0.157,
I01,Sample X193,0.254,
I02,Sample X194,0.167,
I03,Sample X195,0.325,
I04,Sample X196,0.356,
I05,Sample X197,0.317,
I06,Sample X198,0.400,
I07,Sample X199,0.244,
I08,Sample X200,0.359,
I09,Sample X201,0.396,
I10,Sample X202,0.448,
I11,Sample X203,0.433,
I12,Sample X204,0.388,
I13,Sample X205,0.404,
I14,Sample X206,0.267,
I15,Sample X207,0.473,
I16,Sample X208,0.316,
I17,Sample X209,0.572,
I18,Sample X210,0.522,
I19,Sample X211,0.528,
I20,Sample X212,0.429,
I21,Sample X213,0.425,
I22,Sample X214,0.408,
I23,Sample X215,0.155,
I24,Sample X216,0.162,
J01,Sample X217,0.299,
J02,Sample X218,0.167,
J03,Sample X219,0.304,
J04,Sample X220,0.275,
J05,Sample X221,0.350,
J06,Sample X222,0.280,
J07,Sample X223,0.322,
J08,Sample X224,0.400,
J09,Sample X225,0.421,
J10,Sample X226,0.291,
J11,Sample X227,0.345,
J12,Sample X228,0.330,
J13,Sample X229,0.345,
J14,Sample X230,0.401,
J15,Sample X231,0.414,
J16,Sample X232,0.322,
J17,Sample X233,0.464,
J18,Sample X234,0.337,
J19,Sample X235,0.286,
J20,Sample X236,0.415,
J21,Sample X237,0.364,
J22,Sample X238,0.333,
J23,Sample X239,0.175,
J24,Sample X240,0.169,
K01,Sample X241,0.275,
K02,Sample X242,0.186,
K03,Sample X243,0.330,
K04,Sample X244,0.314,
K05,Sample X245,0.554,
K06,Sample X246,0.422,
K07,Sample X247,0.410,
K08,Sample X248,0.446,
K09,Sample X249,0.422,
K10,Sample X250,0.493,
K11,Sample X251,0.396,
K12,Sample X252,0.498,
K13,Sample X253,0.419,
K14,Sample X254,0.416,
K15,Sample X255,0.426,
K16,Sample X256,0.447,
K17,Sample X257,0.422,
K18,Sample X258,0.444,
K19,Sample X259,0.412,
K20,Sample X260,0.477,
K21,Sample X261,0.439,
K22,Sample X262,0.236,
K23,Sample X263,0.205,
K24,Sample X264,0.170,
L01,Sample X265,0.298,
L02,Sample X266,0.158,
L03,Sample X267,0.195,
L04,Sample X268,0.422,
L05,Sample X269,0.317,
L06,Sample X270,0.328,
L07,Sample X271,0.398,
L08,Sample X272,0.436,
L09,Sample X273,0.364,
L10,Sample X274,0.267,
