"","Compound","ttest_cat","ssmd_cat"
"1","(?)-Tetramisole hydrochloride 5 g",5,5
"2","(+)-Catechin hydrate 5 g",9,9
"3","(+)-Catechin.monohydrate 1 g",9,9
"4","(+)-Terpen-4-ol 1 mL                                                                      0.933 g/mL",5,5
"5","(+/-)-BAY K 8644 5 mg",8,8
"6","(+/-)-Mandelic acid 100 g",5,5
"7","(+/-)-Myricanol 10 mg                                                  ",9,9
"8","(1R)-(?)-(1-Aminopropyl)phosphonic acid 250 mg",8,9
"9","(1R)-(+)-(1-Amino-2-methylpropyl)phosphonic acid 250 mg",5,5
"10","1-(1-Naphthylmethyl)piperazine, 95% 1 g",5,5
"11","1-Hydroxypyridine-2-thione sodium salt 1 g                    ",8,8
"12","1-Hydroxypyridine-2-thione zinc salt 10 g",9,9
"13","1-Thioglycerol 100 mL                                                                           11.5 M",5,5
"14","1,10-Phenanthroline 2.5 g",5,8
"15","1,2-Naphthoquinone 1 g",8,9
"16","1,3-Diaminoacetone dihydrochloride 1 g",5,5
"17","1,4-Cineole sample",9,9
"18","1,4-Naphthoquinone 5 g",9,9
"19","1,7-Dideacetoxy-1,7-dioxo-3-deacetyl khivorin",5,5
"20","2-Mercaptopyridine N-oxide sodium salt 1 g",9,9
"21","2-Thiophenecarboxylic acid 25 g",5,6
"22","2-Thiophenecarboxylic acid hydrazide 1 g",5,8
"23","2,2-Dipyridyl  (Bipyridyl) 25 g",5,5
"24","2,6-Dichloro-4-nitroaniline 25 g",9,9
"25","3-Amino-1,2,4-triazole 10 g",8,8
"26","3-formyl Rifamycin SV 1 g",9,9
"27","3-Nitropropionic acid 1 g",9,9
"28","3,3?-Methylenebis(4-hydroxycoumarin)  5 g",9,9
"29","4-(4’-Bromophenyl)-4-hydroxypiperidine 10 g",9,9
"30","4-Aminomethylbenzenesulfonamide HCl 25 g",5,5
"31","4-Aminosalicylic acid 5 g                                     ",9,9
"32","4-Chloro-4’-fluorobutyrophenone 25 g                           d=1.23",9,9
"33","4-Nitropyridine N-oxide 5 g",5,5
"34","5-Fluorocytosine 1 g",5,5
"35","5-Nitro-2-Furaldehyde semicarbazone 100 g",5,5
"36","5,5-Diphenylhydantoin 5 g",5,8
