Well,Contents,Growth,Solvent
A01,Empty,7TOGLY,None
A02,Kana,LB,None
A03,Kana,7TOGLU,None
A04,Kana,7TOGLU,None
A05,Kana,7TOGLU,None
A06,Kana,7TOGLY,None
A07,Kana,7TOGLY,None
A08,Kana,7TOGLY,None
A09,Kana,7TGLY,None
A10,Kana,7TGLY,None
A11,Kana,7TGLY,None
A12,Kana,7TO,None
A13,Kana,7TO,None
A14,Kana,7TO,None
A15,Kana,LTOGLU,None
A16,Kana,LTOGLU,None
A17,Kana,LTOGLU,None
A18,Kana,LTO,None
A19,Kana,LTO,None
A20,Kana,LTO,None
A21,Kana,LT,None
A22,Kana,LT,None
A23,Kana,LT,None
A24,Empty,7TOGLY,None
B01,Empty,7TOGLY,None
B02,Bacteria,LB,None
B03,Bacteria,7TOGLU,None
B04,Bacteria,7TOGLU,None
B05,Bacteria,7TOGLU,None
B06,Bacteria,7TOGLY,None
B07,Bacteria,7TOGLY,None
B08,Bacteria,7TOGLY,None
B09,Bacteria,7TGLY,None
B10,Bacteria,7TGLY,None
B11,Bacteria,7TGLY,None
B12,Bacteria,7TO,None
B13,Bacteria,7TO,None
B14,Bacteria,7TO,None
B15,Bacteria,LTOGLU,None
B16,Bacteria,LTOGLU,None
B17,Bacteria,LTOGLU,None
B18,Bacteria,LTO,None
B19,Bacteria,LTO,None
B20,Bacteria,LTO,None
B21,Bacteria,LT,None
B22,Bacteria,LT,None
B23,Bacteria,LT,None
B24,Empty,7TOGLY,None
C01,Empty,7TOGLY,DMSO
C02,Bacteria,LB,DMSO
C03,Bacteria,7TOGLU,DMSO
C04,Bacteria,7TOGLU,DMSO
C05,Bacteria,7TOGLU,DMSO
C06,Bacteria,7TOGLY,DMSO
C07,Bacteria,7TOGLY,DMSO
C08,Bacteria,7TOGLY,DMSO
C09,Bacteria,7TGLY,DMSO
C10,Bacteria,7TGLY,DMSO
C11,Bacteria,7TGLY,DMSO
C12,Bacteria,7TO,DMSO
C13,Bacteria,7TO,DMSO
C14,Bacteria,7TO,DMSO
