Well,Content,Raw Data (600),
A01,Sample X1,0.177,
A02,Sample X2,0.181,
A03,Sample X3,0.231,
A04,Sample X4,0.221,
A05,Sample X5,0.196,
A06,Sample X6,0.185,
A07,Sample X7,0.191,
A08,Sample X8,1.807,
A09,Sample X9,1.477,
A10,Sample X10,0.989,
A11,Sample X11,0.889,
A12,Sample X12,0.369,
A13,Sample X13,0.928,
A14,Sample X14,0.875,
A15,Sample X15,0.666,
A16,Sample X16,0.854,
A17,Sample X17,0.622,
A18,Sample X18,2.152,
A19,Sample X19,1.988,
A20,Sample X20,1.783,
A21,Sample X21,1.948,
A22,Sample X22,2.640,
A23,Sample X23,0.345,
A24,Sample X24,0.176,
B01,Sample X25,0.177,
B02,Sample X26,0.172,
B03,Sample X27,1.759,
B04,Sample X28,2.434,
B05,Sample X29,2.168,
B06,Sample X30,1.419,
B07,Sample X31,1.580,
B08,Sample X32,2.277,
B09,Sample X33,1.670,
B10,Sample X34,1.695,
B11,Sample X35,1.521,
B12,Sample X36,1.561,
B13,Sample X37,1.543,
B14,Sample X38,1.487,
B15,Sample X39,1.531,
B16,Sample X40,1.786,
B17,Sample X41,1.689,
B18,Sample X42,1.527,
B19,Sample X43,1.601,
B20,Sample X44,1.602,
B21,Sample X45,1.557,
B22,Sample X46,1.714,
B23,Sample X47,0.161,
B24,Sample X48,0.158,
C01,Sample X49,0.175,
C02,Sample X50,0.180,
C03,Sample X51,0.274,
C04,Sample X52,0.231,
C05,Sample X53,0.695,
C06,Sample X54,0.234,
C07,Sample X55,1.170,
C08,Sample X56,0.477,
C09,Sample X57,1.417,
C10,Sample X58,1.348,
C11,Sample X59,1.374,
C12,Sample X60,1.298,
C13,Sample X61,0.986,
C14,Sample X62,1.884,
C15,Sample X63,1.266,
C16,Sample X64,0.264,
C17,Sample X65,1.982,
C18,Sample X66,1.528,
C19,Sample X67,0.265,
C20,Sample X68,2.569,
C21,Sample X69,2.145,
C22,Sample X70,2.083,
C23,Sample X71,0.160,
C24,Sample X72,0.155,
