Well,Content,Raw Data (600),
A01,Sample X1,0.177,
A02,Sample X2,0.204,
A03,Sample X3,0.228,
A04,Sample X4,0.590,
A05,Sample X5,0.186,
A06,Sample X6,0.184,
A07,Sample X7,0.201,
A08,Sample X8,2.666,
A09,Sample X9,1.541,
A10,Sample X10,1.072,
A11,Sample X11,0.969,
A12,Sample X12,0.406,
A13,Sample X13,0.985,
A14,Sample X14,0.917,
A15,Sample X15,0.627,
A16,Sample X16,0.708,
A17,Sample X17,0.511,
A18,Sample X18,2.790,
A19,Sample X19,3.029,
A20,Sample X20,3.928,
A21,Sample X21,3.743,
A22,Sample X22,4.474,
A23,Sample X23,0.171,
A24,Sample X24,0.177,
B01,Sample X25,0.175,
B02,Sample X26,0.195,
B03,Sample X27,2.189,
B04,Sample X28,3.188,
B05,Sample X29,2.905,
B06,Sample X30,2.216,
B07,Sample X31,3.320,
B08,Sample X32,2.332,
B09,Sample X33,2.313,
B10,Sample X34,2.510,
B11,Sample X35,2.283,
B12,Sample X36,2.019,
B13,Sample X37,1.967,
B14,Sample X38,1.913,
B15,Sample X39,1.872,
B16,Sample X40,1.988,
B17,Sample X41,2.098,
B18,Sample X42,1.771,
B19,Sample X43,1.714,
B20,Sample X44,1.848,
B21,Sample X45,1.775,
B22,Sample X46,1.735,
B23,Sample X47,5.949,
B24,Sample X48,0.189,
C01,Sample X49,0.169,
C02,Sample X50,0.195,
C03,Sample X51,3.246,
C04,Sample X52,3.360,
C05,Sample X53,2.221,
C06,Sample X54,2.355,
C07,Sample X55,2.785,
C08,Sample X56,2.640,
C09,Sample X57,1.778,
C10,Sample X58,1.930,
C11,Sample X59,1.949,
C12,Sample X60,2.135,
C13,Sample X61,1.862,
C14,Sample X62,2.847,
C15,Sample X63,2.460,
C16,Sample X64,3.007,
C17,Sample X65,3.209,
C18,Sample X66,3.259,
C19,Sample X67,2.844,
C20,Sample X68,3.355,
C21,Sample X69,2.815,
C22,Sample X70,2.738,
C23,Sample X71,0.170,
C24,Sample X72,0.171,
D01,Sample X73,0.170,
D02,Sample X74,0.184,
D03,Sample X75,3.301,
D04,Sample X76,2.289,
D05,Sample X77,1.802,
D06,Sample X78,2.386,
D07,Sample X79,2.010,
D08,Sample X80,1.967,
D09,Sample X81,2.397,
D10,Sample X82,1.596,
D11,Sample X83,1.719,
D12,Sample X84,2.654,
D13,Sample X85,1.661,
D14,Sample X86,2.580,
D15,Sample X87,1.705,
D16,Sample X88,2.144,
D17,Sample X89,1.905,
D18,Sample X90,1.592,
D19,Sample X91,1.519,
D20,Sample X92,1.603,
D21,Sample X93,1.550,
D22,Sample X94,1.651,
D23,Sample X95,0.173,
D24,Sample X96,0.155,
E01,Sample X97,0.173,
E02,Sample X98,0.169,
E03,Sample X99,1.861,
E04,Sample X100,1.908,
E05,Sample X101,1.679,
E06,Sample X102,3.338,
E07,Sample X103,1.990,
E08,Sample X104,2.883,
E09,Sample X105,3.026,
E10,Sample X106,3.341,
E11,Sample X107,2.741,
E12,Sample X108,3.731,
E13,Sample X109,2.479,
E14,Sample X110,3.752,
E15,Sample X111,3.180,
E16,Sample X112,2.897,
E17,Sample X113,3.586,
E18,Sample X114,3.129,
E19,Sample X115,3.233,
E20,Sample X116,3.084,
E21,Sample X117,3.607,
E22,Sample X118,3.200,
E23,Sample X119,0.162,
E24,Sample X120,0.163,
F01,Sample X121,0.168,
F02,Sample X122,0.166,
F03,Sample X123,2.721,
F04,Sample X124,2.817,
F05,Sample X125,2.636,
F06,Sample X126,2.021,
F07,Sample X127,1.934,
F08,Sample X128,1.770,
F09,Sample X129,1.910,
F10,Sample X130,1.742,
F11,Sample X131,1.502,
F12,Sample X132,2.548,
F13,Sample X133,1.521,
F14,Sample X134,1.482,
F15,Sample X135,1.607,
F16,Sample X136,1.471,
F17,Sample X137,1.646,
F18,Sample X138,0.412,
F19,Sample X139,1.342,
F20,Sample X140,2.272,
F21,Sample X141,2.489,
F22,Sample X142,2.701,
F23,Sample X143,0.165,
F24,Sample X144,0.156,
G01,Sample X145,0.182,
G02,Sample X146,0.163,
G03,Sample X147,1.527,
G04,Sample X148,2.908,
G05,Sample X149,1.708,
G06,Sample X150,1.462,
G07,Sample X151,1.545,
G08,Sample X152,1.415,
G09,Sample X153,1.472,
G10,Sample X154,1.705,
G11,Sample X155,1.509,
G12,Sample X156,2.855,
G13,Sample X157,1.431,
G14,Sample X158,3.442,
G15,Sample X159,3.489,
G16,Sample X160,4.075,
G17,Sample X161,2.067,
G18,Sample X162,3.496,
G19,Sample X163,3.052,
G20,Sample X164,3.240,
G21,Sample X165,3.494,
G22,Sample X166,3.684,
G23,Sample X167,0.160,
G24,Sample X168,0.222,
H01,Sample X169,0.173,
H02,Sample X170,0.166,
H03,Sample X171,1.714,
H04,Sample X172,1.596,
H05,Sample X173,1.577,
H06,Sample X174,1.349,
H07,Sample X175,1.493,
H08,Sample X176,1.947,
H09,Sample X177,1.475,
H10,Sample X178,1.565,
H11,Sample X179,1.547,
H12,Sample X180,1.439,
H13,Sample X181,1.578,
H14,Sample X182,1.350,
H15,Sample X183,1.337,
H16,Sample X184,1.309,
H17,Sample X185,1.469,
H18,Sample X186,1.392,
H19,Sample X187,1.158,
H20,Sample X188,2.380,
H21,Sample X189,1.446,
H22,Sample X190,1.675,
H23,Sample X191,0.159,
H24,Sample X192,0.232,
I01,Sample X193,0.165,
I02,Sample X194,0.167,
I03,Sample X195,4.229,
I04,Sample X196,4.082,
I05,Sample X197,2.647,
I06,Sample X198,3.650,
I07,Sample X199,1.808,
I08,Sample X200,3.383,
I09,Sample X201,1.955,
I10,Sample X202,4.206,
I11,Sample X203,4.880,
I12,Sample X204,4.530,
I13,Sample X205,4.190,
I14,Sample X206,3.766,
I15,Sample X207,3.815,
I16,Sample X208,3.302,
I17,Sample X209,4.049,
I18,Sample X210,0.449,
I19,Sample X211,3.715,
I20,Sample X212,3.739,
I21,Sample X213,3.954,
I22,Sample X214,3.364,
I23,Sample X215,0.158,
I24,Sample X216,0.160,
J01,Sample X217,0.181,
J02,Sample X218,0.171,
J03,Sample X219,3.554,
J04,Sample X220,2.239,
J05,Sample X221,1.417,
J06,Sample X222,3.311,
J07,Sample X223,1.682,
J08,Sample X224,3.558,
J09,Sample X225,1.528,
J10,Sample X226,1.680,
J11,Sample X227,1.809,
J12,Sample X228,1.311,
J13,Sample X229,2.939,
J14,Sample X230,3.458,
J15,Sample X231,1.645,
J16,Sample X232,1.506,
J17,Sample X233,2.571,
J18,Sample X234,1.660,
J19,Sample X235,4.027,
J20,Sample X236,1.463,
J21,Sample X237,1.907,
J22,Sample X238,1.635,
J23,Sample X239,0.160,
J24,Sample X240,0.165,
K01,Sample X241,0.167,
K02,Sample X242,0.165,
K03,Sample X243,1.904,
K04,Sample X244,1.511,
K05,Sample X245,1.694,
K06,Sample X246,2.146,
K07,Sample X247,1.545,
K08,Sample X248,1.419,
K09,Sample X249,2.228,
K10,Sample X250,3.701,
K11,Sample X251,3.947,
K12,Sample X252,3.089,
K13,Sample X253,3.322,
K14,Sample X254,3.458,
K15,Sample X255,3.240,
K16,Sample X256,4.088,
K17,Sample X257,3.227,
K18,Sample X258,3.198,
K19,Sample X259,3.513,
K20,Sample X260,3.526,
K21,Sample X261,0.457,
K22,Sample X262,3.339,
K23,Sample X263,0.153,
K24,Sample X264,0.155,
L01,Sample X265,0.166,
L02,Sample X266,0.165,
L03,Sample X267,1.492,
L04,Sample X268,1.523,
L05,Sample X269,1.285,
L06,Sample X270,1.378,
L07,Sample X271,2.211,
L08,Sample X272,1.377,
L09,Sample X273,1.758,
L10,Sample X274,1.407,
L11,Sample X275,1.425,
L12,Sample X276,1.404,
L13,Sample X277,2.559,
L14,Sample X278,1.345,
L15,Sample X279,1.269,
L16,Sample X280,1.649,
L17,Sample X281,1.427,
L18,Sample X282,1.532,
L19,Sample X283,1.409,
L20,Sample X284,1.715,
L21,Sample X285,1.289,
L22,Sample X286,1.499,
L23,Sample X287,0.161,
L24,Sample X288,0.177,
M01,Sample X289,0.155,
M02,Sample X290,0.169,
M03,Sample X291,1.700,
M04,Sample X292,2.643,
M05,Sample X293,1.418,
M06,Sample X294,0.964,
M07,Sample X295,1.202,
M08,Sample X296,1.871,
M09,Sample X297,1.387,
M10,Sample X298,1.375,
M11,Sample X299,1.260,
M12,Sample X300,1.634,
M13,Sample X301,1.856,
M14,Sample X302,0.426,
M15,Sample X303,2.070,
M16,Sample X304,2.367,
M17,Sample X305,3.586,
M18,Sample X306,3.108,
M19,Sample X307,2.420,
M20,Sample X308,3.575,
M21,Sample X309,3.323,
M22,Sample X310,3.779,
M23,Sample X311,0.167,
M24,Sample X312,0.173,
N01,Sample X313,0.209,
N02,Sample X314,0.168,
N03,Sample X315,1.502,
N04,Sample X316,1.377,
N05,Sample X317,1.368,
N06,Sample X318,1.334,
N07,Sample X319,2.237,
N08,Sample X320,1.317,
N09,Sample X321,1.302,
