Well,Content,Raw Data (600),
A01,Sample X1,0.182,
A02,Sample X2,0.184,
A03,Sample X3,0.230,
A04,Sample X4,0.198,
A05,Sample X5,0.197,
A06,Sample X6,0.190,
A07,Sample X7,0.192,
A08,Sample X8,1.964,
A09,Sample X9,1.188,
A10,Sample X10,0.881,
A11,Sample X11,0.519,
A12,Sample X12,0.389,
A13,Sample X13,0.721,
A14,Sample X14,0.484,
A15,Sample X15,0.483,
A16,Sample X16,0.446,
A17,Sample X17,0.441,
A18,Sample X18,1.888,
A19,Sample X19,1.982,
A20,Sample X20,1.969,
A21,Sample X21,3.776,
A22,Sample X22,2.054,
A23,Sample X23,0.176,
A24,Sample X24,0.178,
B01,Sample X25,0.204,
B02,Sample X26,0.193,
B03,Sample X27,2.544,
B04,Sample X28,3.030,
B05,Sample X29,3.429,
B06,Sample X30,2.743,
B07,Sample X31,3.063,
B08,Sample X32,3.234,
B09,Sample X33,2.924,
B10,Sample X34,3.318,
B11,Sample X35,2.494,
B12,Sample X36,2.685,
B13,Sample X37,2.762,
B14,Sample X38,2.131,
B15,Sample X39,2.567,
B16,Sample X40,1.891,
B17,Sample X41,0.422,
B18,Sample X42,1.995,
B19,Sample X43,2.050,
B20,Sample X44,1.609,
B21,Sample X45,2.058,
B22,Sample X46,1.920,
B23,Sample X47,0.156,
B24,Sample X48,0.164,
C01,Sample X49,0.177,
C02,Sample X50,0.164,
C03,Sample X51,0.186,
C04,Sample X52,2.527,
C05,Sample X53,0.212,
C06,Sample X54,1.642,
C07,Sample X55,0.225,
C08,Sample X56,2.086,
C09,Sample X57,3.296,
C10,Sample X58,2.189,
C11,Sample X59,2.104,
C12,Sample X60,0.435,
C13,Sample X61,1.223,
C14,Sample X62,1.927,
C15,Sample X63,0.634,
C16,Sample X64,0.920,
C17,Sample X65,0.692,
C18,Sample X66,0.451,
C19,Sample X67,1.816,
C20,Sample X68,2.287,
C21,Sample X69,1.675,
C22,Sample X70,2.081,
C23,Sample X71,0.156,
C24,Sample X72,0.159,
D01,Sample X73,0.170,
D02,Sample X74,0.168,
D03,Sample X75,3.078,
D04,Sample X76,0.204,
D05,Sample X77,0.446,
D06,Sample X78,0.411,
D07,Sample X79,1.072,
D08,Sample X80,1.885,
D09,Sample X81,1.945,
D10,Sample X82,2.184,
D11,Sample X83,2.162,
D12,Sample X84,1.828,
D13,Sample X85,1.719,
D14,Sample X86,2.009,
D15,Sample X87,1.611,
