Well,Content,Raw Data (600),
A01,Sample X1,0.279,
A02,Sample X2,0.224,
A03,Sample X3,0.252,
A04,Sample X4,0.265,
A05,Sample X5,0.238,
A06,Sample X6,0.240,
A07,Sample X7,0.229,
A08,Sample X8,0.263,
A09,Sample X9,0.249,
A10,Sample X10,0.262,
A11,Sample X11,0.249,
A12,Sample X12,0.246,
A13,Sample X13,0.360,
A14,Sample X14,0.288,
A15,Sample X15,0.234,
A16,Sample X16,0.245,
A17,Sample X17,0.251,
A18,Sample X18,0.371,
A19,Sample X19,0.382,
A20,Sample X20,0.357,
A21,Sample X21,0.357,
A22,Sample X22,0.352,
A23,Sample X23,0.176,
A24,Sample X24,0.176,
B01,Sample X25,0.166,
B02,Sample X26,0.196,
B03,Sample X27,0.351,
B04,Sample X28,0.359,
B05,Sample X29,0.362,
B06,Sample X30,0.372,
B07,Sample X31,0.358,
B08,Sample X32,0.372,
B09,Sample X33,0.467,
B10,Sample X34,0.359,
B11,Sample X35,0.390,
B12,Sample X36,0.383,
B13,Sample X37,0.384,
B14,Sample X38,0.386,
B15,Sample X39,0.376,
B16,Sample X40,0.364,
B17,Sample X41,0.268,
B18,Sample X42,0.373,
B19,Sample X43,0.363,
B20,Sample X44,0.359,
B21,Sample X45,0.420,
B22,Sample X46,0.466,
B23,Sample X47,0.214,
B24,Sample X48,0.173,
C01,Sample X49,0.274,
C02,Sample X50,0.239,
C03,Sample X51,0.412,
C04,Sample X52,0.431,
C05,Sample X53,0.363,
C06,Sample X54,0.392,
C07,Sample X55,0.229,
C08,Sample X56,0.395,
C09,Sample X57,0.428,
C10,Sample X58,0.404,
C11,Sample X59,0.643,
C12,Sample X60,0.304,
C13,Sample X61,0.330,
C14,Sample X62,0.433,
C15,Sample X63,0.342,
C16,Sample X64,0.416,
C17,Sample X65,0.383,
C18,Sample X66,0.278,
C19,Sample X67,0.372,
C20,Sample X68,0.390,
C21,Sample X69,0.311,
C22,Sample X70,0.364,
C23,Sample X71,0.181,
C24,Sample X72,0.191,
D01,Sample X73,0.173,
D02,Sample X74,0.210,
D03,Sample X75,0.352,
D04,Sample X76,0.271,
D05,Sample X77,0.252,
D06,Sample X78,0.252,
D07,Sample X79,0.321,
D08,Sample X80,0.266,
D09,Sample X81,0.403,
D10,Sample X82,0.348,
D11,Sample X83,0.342,
D12,Sample X84,0.320,
D13,Sample X85,0.364,
D14,Sample X86,0.359,
D15,Sample X87,0.369,
D16,Sample X88,0.499,
D17,Sample X89,0.311,
D18,Sample X90,0.283,
D19,Sample X91,0.323,
D20,Sample X92,0.261,
D21,Sample X93,0.274,
D22,Sample X94,0.369,
D23,Sample X95,0.245,
D24,Sample X96,0.174,
E01,Sample X97,0.174,
E02,Sample X98,0.170,
E03,Sample X99,0.328,
E04,Sample X100,0.350,
E05,Sample X101,0.264,
E06,Sample X102,0.327,
E07,Sample X103,0.349,
E08,Sample X104,0.257,
E09,Sample X105,0.265,
E10,Sample X106,0.353,
E11,Sample X107,0.304,
E12,Sample X108,0.259,
E13,Sample X109,0.274,
E14,Sample X110,0.299,
E15,Sample X111,0.312,
E16,Sample X112,0.361,
E17,Sample X113,0.236,
E18,Sample X114,0.252,
E19,Sample X115,0.233,
E20,Sample X116,0.241,
E21,Sample X117,0.248,
E22,Sample X118,0.249,
E23,Sample X119,0.150,
E24,Sample X120,0.154,
F01,Sample X121,0.164,
F02,Sample X122,0.175,
F03,Sample X123,0.233,
F04,Sample X124,0.279,
F05,Sample X125,0.328,
F06,Sample X126,0.356,
F07,Sample X127,0.312,
F08,Sample X128,0.291,
F09,Sample X129,0.270,
F10,Sample X130,0.223,
F11,Sample X131,0.270,
F12,Sample X132,0.246,
F13,Sample X133,0.248,
F14,Sample X134,0.258,
F15,Sample X135,0.321,
F16,Sample X136,0.345,
F17,Sample X137,0.225,
F18,Sample X138,0.222,
F19,Sample X139,0.223,
F20,Sample X140,0.316,
F21,Sample X141,0.262,
F22,Sample X142,0.247,
F23,Sample X143,0.158,
F24,Sample X144,0.161,
G01,Sample X145,0.232,
G02,Sample X146,0.178,
G03,Sample X147,0.272,
G04,Sample X148,0.241,
G05,Sample X149,0.290,
G06,Sample X150,0.260,
G07,Sample X151,0.312,
G08,Sample X152,0.264,
G09,Sample X153,0.334,
G10,Sample X154,0.308,
G11,Sample X155,0.329,
G12,Sample X156,0.300,
G13,Sample X157,0.271,
G14,Sample X158,0.291,
G15,Sample X159,0.274,
G16,Sample X160,0.237,
G17,Sample X161,0.280,
G18,Sample X162,0.250,
G19,Sample X163,0.273,
G20,Sample X164,0.286,
G21,Sample X165,0.267,
G22,Sample X166,0.250,
G23,Sample X167,0.160,
G24,Sample X168,0.273,
H01,Sample X169,0.277,
H02,Sample X170,0.176,
H03,Sample X171,0.298,
H04,Sample X172,0.234,
H05,Sample X173,0.234,
H06,Sample X174,0.320,
H07,Sample X175,0.230,
H08,Sample X176,0.320,
H09,Sample X177,0.299,
H10,Sample X178,0.250,
H11,Sample X179,0.305,
H12,Sample X180,0.265,
H13,Sample X181,0.260,
H14,Sample X182,0.254,
H15,Sample X183,0.257,
H16,Sample X184,0.256,
H17,Sample X185,0.267,
H18,Sample X186,0.357,
H19,Sample X187,0.274,
H20,Sample X188,0.264,
H21,Sample X189,0.256,
H22,Sample X190,0.341,
H23,Sample X191,0.202,
H24,Sample X192,0.182,
I01,Sample X193,0.168,
I02,Sample X194,0.172,
I03,Sample X195,0.331,
I04,Sample X196,0.308,
I05,Sample X197,0.435,
I06,Sample X198,0.365,
I07,Sample X199,0.263,
I08,Sample X200,0.249,
I09,Sample X201,0.247,
I10,Sample X202,0.266,
I11,Sample X203,0.350,
I12,Sample X204,0.337,
I13,Sample X205,0.319,
I14,Sample X206,0.269,
I15,Sample X207,0.268,
I16,Sample X208,0.256,
I17,Sample X209,0.266,
I18,Sample X210,0.350,
I19,Sample X211,0.265,
I20,Sample X212,0.257,
I21,Sample X213,0.266,
I22,Sample X214,0.288,
I23,Sample X215,0.175,
I24,Sample X216,0.771,
J01,Sample X217,0.176,
J02,Sample X218,0.172,
J03,Sample X219,0.228,
J04,Sample X220,0.238,
J05,Sample X221,0.232,
J06,Sample X222,0.231,
J07,Sample X223,0.250,
J08,Sample X224,0.248,
J09,Sample X225,0.296,
J10,Sample X226,0.376,
J11,Sample X227,0.304,
J12,Sample X228,0.366,
J13,Sample X229,0.350,
J14,Sample X230,0.279,
J15,Sample X231,0.338,
J16,Sample X232,0.315,
J17,Sample X233,0.294,
J18,Sample X234,0.259,
J19,Sample X235,0.270,
J20,Sample X236,0.261,
J21,Sample X237,0.353,
J22,Sample X238,0.221,
J23,Sample X239,0.159,
J24,Sample X240,0.154,
K01,Sample X241,0.184,
K02,Sample X242,0.172,
K03,Sample X243,0.306,
K04,Sample X244,0.253,
K05,Sample X245,0.270,
K06,Sample X246,0.274,
K07,Sample X247,0.305,
K08,Sample X248,0.373,
K09,Sample X249,0.318,
K10,Sample X250,0.431,
K11,Sample X251,0.291,
K12,Sample X252,0.401,
K13,Sample X253,0.345,
K14,Sample X254,0.441,
K15,Sample X255,0.273,
K16,Sample X256,0.318,
K17,Sample X257,0.279,
K18,Sample X258,0.262,
K19,Sample X259,0.388,
K20,Sample X260,0.297,
K21,Sample X261,0.255,
K22,Sample X262,0.224,
K23,Sample X263,0.164,
K24,Sample X264,0.172,
L01,Sample X265,0.163,
L02,Sample X266,0.164,
L03,Sample X267,0.238,
L04,Sample X268,0.314,
L05,Sample X269,0.273,
L06,Sample X270,0.320,
L07,Sample X271,0.233,
L08,Sample X272,0.284,
L09,Sample X273,0.323,
L10,Sample X274,0.298,
L11,Sample X275,0.262,
L12,Sample X276,0.271,
L13,Sample X277,0.366,
L14,Sample X278,0.248,
L15,Sample X279,0.258,
L16,Sample X280,0.367,
L17,Sample X281,0.253,
L18,Sample X282,0.291,
L19,Sample X283,0.408,
L20,Sample X284,0.283,
L21,Sample X285,0.372,
L22,Sample X286,0.348,
L23,Sample X287,0.163,
L24,Sample X288,0.156,
M01,Sample X289,0.172,
M02,Sample X290,0.227,
M03,Sample X291,0.304,
M04,Sample X292,0.370,
M05,Sample X293,0.293,
M06,Sample X294,0.274,
M07,Sample X295,0.243,
M08,Sample X296,0.232,
M09,Sample X297,0.329,
M10,Sample X298,0.257,
M11,Sample X299,0.258,
M12,Sample X300,0.292,
M13,Sample X301,0.308,
M14,Sample X302,0.269,
M15,Sample X303,0.279,
M16,Sample X304,0.258,
M17,Sample X305,0.271,
M18,Sample X306,0.257,
M19,Sample X307,0.265,
M20,Sample X308,0.432,
M21,Sample X309,0.244,
M22,Sample X310,0.282,
M23,Sample X311,0.150,
M24,Sample X312,0.152,
N01,Sample X313,0.165,
N02,Sample X314,0.165,
N03,Sample X315,0.215,
N04,Sample X316,0.250,
N05,Sample X317,0.224,
N06,Sample X318,0.228,
N07,Sample X319,0.347,
N08,Sample X320,0.242,
N09,Sample X321,0.438,
N10,Sample X322,0.249,
N11,Sample X323,0.249,
N12,Sample X324,0.219,
N13,Sample X325,0.407,
N14,Sample X326,0.376,
N15,Sample X327,0.272,
N16,Sample X328,0.226,
N17,Sample X329,0.246,
N18,Sample X330,0.397,
N19,Sample X331,0.287,
N20,Sample X332,0.454,
N21,Sample X333,0.219,
N22,Sample X334,0.422,
N23,Sample X335,0.156,
N24,Sample X336,0.148,
O01,Sample X337,0.258,
O02,Sample X338,0.192,
O03,Sample X339,0.273,
O04,Sample X340,0.270,
O05,Sample X341,0.461,
O06,Sample X342,0.326,
O07,Sample X343,0.339,
O08,Sample X344,0.412,
O09,Sample X345,0.512,
O10,Sample X346,0.384,
O11,Sample X347,0.313,
O12,Sample X348,0.335,
O13,Sample X349,0.409,
O14,Sample X350,0.463,
O15,Sample X351,0.380,
O16,Sample X352,0.402,
O17,Sample X353,0.400,
O18,Sample X354,0.427,
O19,Sample X355,0.422,
