Well,Content,Well Scan: Average (600),
A01,Sample X1,0.061,
A02,Sample X2,0.061,
A03,Sample X3,0.427,
A04,Sample X4,0.415,
A05,Sample X5,0.418,
A06,Sample X6,0.385,
A07,Sample X7,0.368,
A08,Sample X8,0.189,
A09,Sample X9,0.121,
A10,Sample X10,0.081,
A11,Sample X11,0.080,
A12,Sample X12,0.073,
A13,Sample X13,0.154,
A14,Sample X14,0.116,
A15,Sample X15,0.097,
A16,Sample X16,0.101,
A17,Sample X17,0.094,
A18,Sample X18,0.372,
A19,Sample X19,0.342,
A20,Sample X20,0.448,
A21,Sample X21,0.424,
A22,Sample X22,0.418,
A23,Sample X23,0.072,
A24,Sample X24,0.047,
B01,Sample X25,0.060,
B02,Sample X26,0.061,
B03,Sample X27,0.396,
B04,Sample X28,0.490,
B05,Sample X29,0.457,
B06,Sample X30,0.479,
B07,Sample X31,0.433,
B08,Sample X32,0.432,
B09,Sample X33,0.415,
B10,Sample X34,0.415,
B11,Sample X35,0.414,
B12,Sample X36,0.525,
B13,Sample X37,0.409,
B14,Sample X38,0.412,
B15,Sample X39,0.428,
B16,Sample X40,0.450,
B17,Sample X41,0.474,
B18,Sample X42,0.383,
B19,Sample X43,0.402,
B20,Sample X44,0.418,
B21,Sample X45,0.378,
B22,Sample X46,0.343,
B23,Sample X47,0.059,
B24,Sample X48,0.061,
C01,Sample X49,0.054,
C02,Sample X50,0.056,
C03,Sample X51,0.065,
C04,Sample X52,0.086,
C05,Sample X53,0.339,
C06,Sample X54,0.249,
C07,Sample X55,0.360,
C08,Sample X56,0.276,
C09,Sample X57,0.399,
C10,Sample X58,0.440,
C11,Sample X59,0.420,
C12,Sample X60,0.423,
C13,Sample X61,0.607,
C14,Sample X62,0.440,
C15,Sample X63,0.360,
C16,Sample X64,0.264,
C17,Sample X65,0.358,
C18,Sample X66,0.278,
C19,Sample X67,0.117,
C20,Sample X68,0.391,
C21,Sample X69,0.402,
C22,Sample X70,0.331,
C23,Sample X71,0.072,
C24,Sample X72,0.068,
D01,Sample X73,0.059,
D02,Sample X74,0.062,
D03,Sample X75,0.420,
D04,Sample X76,0.442,
D05,Sample X77,0.327,
D06,Sample X78,0.445,
D07,Sample X79,0.329,
D08,Sample X80,0.454,
D09,Sample X81,0.393,
D10,Sample X82,0.436,
D11,Sample X83,0.340,
D12,Sample X84,0.504,
D13,Sample X85,0.284,
D14,Sample X86,0.452,
D15,Sample X87,0.456,
D16,Sample X88,0.608,
D17,Sample X89,0.466,
D18,Sample X90,0.397,
D19,Sample X91,0.364,
D20,Sample X92,0.447,
D21,Sample X93,0.386,
D22,Sample X94,0.358,
D23,Sample X95,0.073,
D24,Sample X96,0.060,
E01,Sample X97,0.050,
E02,Sample X98,0.064,
E03,Sample X99,0.431,
E04,Sample X100,0.341,
E05,Sample X101,0.330,
E06,Sample X102,0.339,
E07,Sample X103,0.394,
E08,Sample X104,0.437,
E09,Sample X105,0.309,
E10,Sample X106,0.389,
E11,Sample X107,0.446,
E12,Sample X108,0.190,
E13,Sample X109,0.395,
E14,Sample X110,0.204,
E15,Sample X111,0.164,
E16,Sample X112,0.461,
E17,Sample X113,0.302,
E18,Sample X114,0.362,
E19,Sample X115,0.078,
E20,Sample X116,0.239,
E21,Sample X117,0.378,
E22,Sample X118,0.291,
E23,Sample X119,0.058,
E24,Sample X120,0.066,
F01,Sample X121,0.065,
F02,Sample X122,0.082,
F03,Sample X123,0.377,
F04,Sample X124,0.462,
F05,Sample X125,0.327,
F06,Sample X126,0.412,
F07,Sample X127,0.340,
F08,Sample X128,0.471,
F09,Sample X129,0.343,
F10,Sample X130,0.422,
F11,Sample X131,0.435,
F12,Sample X132,0.467,
F13,Sample X133,0.433,
F14,Sample X134,0.443,
F15,Sample X135,0.529,
F16,Sample X136,0.467,
F17,Sample X137,0.336,
F18,Sample X138,0.411,
F19,Sample X139,0.439,
F20,Sample X140,0.464,
F21,Sample X141,0.534,
F22,Sample X142,0.436,
F23,Sample X143,0.078,
F24,Sample X144,0.071,
G01,Sample X145,0.077,
G02,Sample X146,0.060,
G03,Sample X147,0.414,
G04,Sample X148,0.362,
G05,Sample X149,0.377,
G06,Sample X150,0.266,
G07,Sample X151,0.142,
G08,Sample X152,0.362,
G09,Sample X153,0.255,
G10,Sample X154,0.418,
G11,Sample X155,0.213,
G12,Sample X156,0.180,
G13,Sample X157,0.342,
G14,Sample X158,0.126,
G15,Sample X159,0.451,
G16,Sample X160,0.445,
G17,Sample X161,0.555,
G18,Sample X162,0.392,
G19,Sample X163,0.204,
G20,Sample X164,0.317,
G21,Sample X165,0.453,
G22,Sample X166,0.420,
G23,Sample X167,0.085,
G24,Sample X168,0.182,
H01,Sample X169,0.088,
H02,Sample X170,0.065,
H03,Sample X171,0.200,
H04,Sample X172,0.440,
H05,Sample X173,0.448,
H06,Sample X174,0.421,
H07,Sample X175,0.360,
H08,Sample X176,0.478,
H09,Sample X177,0.310,
H10,Sample X178,0.424,
H11,Sample X179,0.433,
H12,Sample X180,0.441,
H13,Sample X181,0.382,
H14,Sample X182,0.422,
H15,Sample X183,0.424,
H16,Sample X184,0.440,
H17,Sample X185,0.427,
H18,Sample X186,0.421,
H19,Sample X187,0.420,
H20,Sample X188,0.483,
H21,Sample X189,0.421,
H22,Sample X190,0.357,
H23,Sample X191,0.139,
H24,Sample X192,0.257,
I01,Sample X193,0.080,
I02,Sample X194,0.052,
I03,Sample X195,0.232,
I04,Sample X196,0.432,
I05,Sample X197,0.384,
I06,Sample X198,0.425,
I07,Sample X199,0.375,
I08,Sample X200,0.216,
I09,Sample X201,0.461,
I10,Sample X202,0.477,
I11,Sample X203,0.244,
I12,Sample X204,0.398,
I13,Sample X205,0.547,
I14,Sample X206,0.599,
I15,Sample X207,0.461,
I16,Sample X208,0.438,
I17,Sample X209,0.288,
I18,Sample X210,0.427,
I19,Sample X211,0.340,
I20,Sample X212,0.515,
I21,Sample X213,0.204,
I22,Sample X214,0.367,
I23,Sample X215,0.051,
I24,Sample X216,0.057,
J01,Sample X217,0.059,
J02,Sample X218,0.054,
J03,Sample X219,0.358,
J04,Sample X220,0.418,
J05,Sample X221,0.358,
J06,Sample X222,0.471,
J07,Sample X223,0.421,
J08,Sample X224,0.476,
J09,Sample X225,0.436,
J10,Sample X226,0.451,
J11,Sample X227,0.369,
J12,Sample X228,0.435,
J13,Sample X229,0.121,
J14,Sample X230,0.418,
J15,Sample X231,0.079,
J16,Sample X232,0.455,
J17,Sample X233,0.393,
J18,Sample X234,0.337,
J19,Sample X235,0.077,
J20,Sample X236,0.598,
J21,Sample X237,0.220,
J22,Sample X238,0.410,
J23,Sample X239,0.052,
J24,Sample X240,0.060,
K01,Sample X241,0.055,
K02,Sample X242,0.058,
K03,Sample X243,0.356,
K04,Sample X244,0.322,
K05,Sample X245,0.591,
K06,Sample X246,0.446,
K07,Sample X247,0.413,
K08,Sample X248,0.479,
K09,Sample X249,0.481,
K10,Sample X250,0.430,
K11,Sample X251,0.352,
K12,Sample X252,0.454,
K13,Sample X253,0.465,
K14,Sample X254,0.441,
K15,Sample X255,0.210,
K16,Sample X256,0.427,
K17,Sample X257,0.422,
K18,Sample X258,0.366,
K19,Sample X259,0.181,
