Well,Content,Well Scan: Average (600),
A01,Sample X1,0.073,
A02,Sample X2,0.072,
A03,Sample X3,0.760,
A04,Sample X4,1.074,
A05,Sample X5,0.557,
A06,Sample X6,0.762,
A07,Sample X7,0.745,
A08,Sample X8,0.238,
A09,Sample X9,0.147,
A10,Sample X10,0.055,
A11,Sample X11,0.054,
A12,Sample X12,0.077,
A13,Sample X13,0.086,
A14,Sample X14,0.073,
A15,Sample X15,0.060,
A16,Sample X16,0.056,
A17,Sample X17,0.057,
A18,Sample X18,0.676,
A19,Sample X19,0.508,
A20,Sample X20,0.709,
A21,Sample X21,0.646,
A22,Sample X22,0.743,
A23,Sample X23,0.059,
A24,Sample X24,0.065,
B01,Sample X25,0.100,
B02,Sample X26,0.066,
B03,Sample X27,0.307,
B04,Sample X28,0.613,
B05,Sample X29,0.686,
B06,Sample X30,0.688,
B07,Sample X31,0.506,
B08,Sample X32,0.683,
B09,Sample X33,0.602,
B10,Sample X34,0.521,
B11,Sample X35,0.199,
B12,Sample X36,0.507,
B13,Sample X37,0.504,
B14,Sample X38,0.375,
B15,Sample X39,0.456,
B16,Sample X40,0.592,
B17,Sample X41,0.543,
B18,Sample X42,0.734,
B19,Sample X43,0.668,
B20,Sample X44,0.842,
B21,Sample X45,0.896,
B22,Sample X46,0.765,
B23,Sample X47,0.058,
B24,Sample X48,0.055,
C01,Sample X49,0.060,
C02,Sample X50,0.059,
C03,Sample X51,0.913,
C04,Sample X52,0.898,
C05,Sample X53,0.782,
C06,Sample X54,0.592,
C07,Sample X55,0.393,
C08,Sample X56,0.415,
C09,Sample X57,0.393,
C10,Sample X58,0.472,
C11,Sample X59,0.563,
C12,Sample X60,0.165,
C13,Sample X61,0.406,
C14,Sample X62,0.815,
C15,Sample X63,0.532,
C16,Sample X64,0.564,
C17,Sample X65,0.746,
C18,Sample X66,0.689,
C19,Sample X67,0.827,
C20,Sample X68,0.685,
C21,Sample X69,0.577,
C22,Sample X70,0.550,
C23,Sample X71,0.086,
C24,Sample X72,0.057,
D01,Sample X73,0.064,
D02,Sample X74,0.061,
D03,Sample X75,0.336,
D04,Sample X76,0.653,
D05,Sample X77,0.463,
D06,Sample X78,0.582,
D07,Sample X79,0.669,
D08,Sample X80,0.530,
D09,Sample X81,0.612,
D10,Sample X82,0.532,
D11,Sample X83,0.616,
D12,Sample X84,0.627,
D13,Sample X85,0.335,
D14,Sample X86,0.555,
D15,Sample X87,0.363,
D16,Sample X88,0.693,
D17,Sample X89,0.347,
D18,Sample X90,0.548,
D19,Sample X91,0.652,
D20,Sample X92,0.148,
D21,Sample X93,0.111,
D22,Sample X94,0.247,
D23,Sample X95,0.162,
D24,Sample X96,0.052,
E01,Sample X97,0.058,
E02,Sample X98,0.060,
E03,Sample X99,0.712,
E04,Sample X100,0.812,
E05,Sample X101,0.687,
E06,Sample X102,0.533,
E07,Sample X103,0.167,
E08,Sample X104,0.202,
E09,Sample X105,0.582,
E10,Sample X106,0.184,
E11,Sample X107,0.406,
E12,Sample X108,0.272,
E13,Sample X109,0.420,
E14,Sample X110,0.538,
E15,Sample X111,0.191,
E16,Sample X112,0.704,
E17,Sample X113,0.552,
E18,Sample X114,0.184,
E19,Sample X115,0.226,
E20,Sample X116,0.223,
E21,Sample X117,0.566,
E22,Sample X118,0.275,
E23,Sample X119,0.057,
E24,Sample X120,0.059,
F01,Sample X121,0.062,
F02,Sample X122,0.059,
F03,Sample X123,0.535,
F04,Sample X124,0.102,
F05,Sample X125,0.376,
F06,Sample X126,0.598,
F07,Sample X127,0.579,
F08,Sample X128,0.759,
F09,Sample X129,0.347,
F10,Sample X130,0.361,
F11,Sample X131,0.445,
F12,Sample X132,0.712,
F13,Sample X133,0.215,
F14,Sample X134,0.678,
F15,Sample X135,0.457,
F16,Sample X136,0.581,
F17,Sample X137,0.636,
F18,Sample X138,0.235,
F19,Sample X139,0.631,
F20,Sample X140,0.847,
F21,Sample X141,0.497,
F22,Sample X142,0.495,
F23,Sample X143,0.061,
F24,Sample X144,0.059,
G01,Sample X145,0.067,
G02,Sample X146,0.058,
G03,Sample X147,0.697,
G04,Sample X148,0.824,
G05,Sample X149,0.601,
G06,Sample X150,0.461,
G07,Sample X151,0.141,
G08,Sample X152,0.527,
G09,Sample X153,0.555,
G10,Sample X154,0.512,
G11,Sample X155,0.674,
G12,Sample X156,0.351,
G13,Sample X157,0.340,
G14,Sample X158,0.526,
G15,Sample X159,0.495,
G16,Sample X160,0.485,
G17,Sample X161,0.549,
G18,Sample X162,0.423,
G19,Sample X163,0.611,
G20,Sample X164,0.396,
G21,Sample X165,0.667,
G22,Sample X166,0.097,
G23,Sample X167,0.063,
G24,Sample X168,0.055,
H01,Sample X169,0.248,
H02,Sample X170,0.057,
H03,Sample X171,0.948,
H04,Sample X172,0.201,
H05,Sample X173,0.528,
H06,Sample X174,0.798,
H07,Sample X175,0.590,
H08,Sample X176,0.595,
H09,Sample X177,0.578,
H10,Sample X178,0.545,
H11,Sample X179,0.753,
H12,Sample X180,0.673,
H13,Sample X181,0.419,
H14,Sample X182,0.609,
H15,Sample X183,0.471,
H16,Sample X184,0.584,
H17,Sample X185,0.602,
H18,Sample X186,0.757,
H19,Sample X187,0.645,
H20,Sample X188,0.786,
H21,Sample X189,0.757,
H22,Sample X190,0.699,
H23,Sample X191,0.061,
H24,Sample X192,0.053,
I01,Sample X193,0.131,
I02,Sample X194,0.291,
I03,Sample X195,0.489,
I04,Sample X196,0.530,
I05,Sample X197,0.793,
I06,Sample X198,0.682,
I07,Sample X199,0.620,
I08,Sample X200,0.538,
I09,Sample X201,0.136,
I10,Sample X202,0.449,
I11,Sample X203,0.166,
I12,Sample X204,0.481,
I13,Sample X205,0.664,
I14,Sample X206,0.644,
I15,Sample X207,0.108,
I16,Sample X208,0.483,
I17,Sample X209,0.163,
I18,Sample X210,0.167,
I19,Sample X211,0.475,
