Well,Content,Well Scan: Average (600),
A01,Sample X1,0.212,
A02,Sample X2,0.100,
A03,Sample X3,0.626,
A04,Sample X4,0.619,
A05,Sample X5,0.594,
A06,Sample X6,0.539,
A07,Sample X7,0.642,
A08,Sample X8,0.103,
A09,Sample X9,0.078,
A10,Sample X10,0.065,
A11,Sample X11,0.059,
A12,Sample X12,0.081,
A13,Sample X13,0.075,
A14,Sample X14,0.065,
A15,Sample X15,0.061,
A16,Sample X16,0.066,
A17,Sample X17,0.063,
A18,Sample X18,0.698,
A19,Sample X19,0.699,
A20,Sample X20,0.685,
A21,Sample X21,0.758,
A22,Sample X22,0.730,
A23,Sample X23,0.053,
A24,Sample X24,0.059,
B01,Sample X25,0.066,
B02,Sample X26,0.074,
B03,Sample X27,0.610,
B04,Sample X28,0.740,
B05,Sample X29,0.577,
B06,Sample X30,0.567,
B07,Sample X31,0.591,
B08,Sample X32,0.590,
B09,Sample X33,0.608,
B10,Sample X34,0.601,
B11,Sample X35,0.563,
B12,Sample X36,0.570,
B13,Sample X37,0.567,
B14,Sample X38,0.586,
B15,Sample X39,0.604,
B16,Sample X40,0.627,
B17,Sample X41,0.668,
B18,Sample X42,0.607,
B19,Sample X43,0.619,
B20,Sample X44,0.657,
B21,Sample X45,0.666,
B22,Sample X46,0.676,
B23,Sample X47,0.055,
B24,Sample X48,0.052,
C01,Sample X49,0.250,
C02,Sample X50,0.070,
C03,Sample X51,0.538,
C04,Sample X52,0.543,
C05,Sample X53,0.582,
C06,Sample X54,0.541,
C07,Sample X55,0.066,
C08,Sample X56,0.528,
C09,Sample X57,0.557,
C10,Sample X58,0.559,
C11,Sample X59,0.524,
C12,Sample X60,0.115,
C13,Sample X61,0.687,
C14,Sample X62,0.619,
C15,Sample X63,0.401,
C16,Sample X64,0.576,
C17,Sample X65,0.319,
C18,Sample X66,0.107,
C19,Sample X67,0.619,
C20,Sample X68,0.630,
C21,Sample X69,0.655,
C22,Sample X70,0.650,
C23,Sample X71,0.085,
C24,Sample X72,0.049,
D01,Sample X73,0.195,
D02,Sample X74,0.077,
D03,Sample X75,0.537,
D04,Sample X76,0.558,
D05,Sample X77,0.464,
D06,Sample X78,0.620,
D07,Sample X79,0.529,
D08,Sample X80,0.622,
D09,Sample X81,0.594,
D10,Sample X82,0.482,
D11,Sample X83,0.576,
D12,Sample X84,0.501,
D13,Sample X85,0.507,
D14,Sample X86,0.536,
D15,Sample X87,0.561,
D16,Sample X88,0.554,
D17,Sample X89,0.690,
D18,Sample X90,0.549,
D19,Sample X91,0.554,
D20,Sample X92,0.243,
D21,Sample X93,0.160,
D22,Sample X94,0.534,
D23,Sample X95,0.084,
D24,Sample X96,0.092,
E01,Sample X97,0.066,
E02,Sample X98,0.066,
E03,Sample X99,0.584,
E04,Sample X100,0.525,
E05,Sample X101,0.465,
E06,Sample X102,0.518,
E07,Sample X103,0.509,
E08,Sample X104,0.610,
E09,Sample X105,0.531,
E10,Sample X106,0.560,
E11,Sample X107,0.494,
E12,Sample X108,0.483,
E13,Sample X109,0.510,
E14,Sample X110,0.662,
E15,Sample X111,0.541,
E16,Sample X112,0.582,
E17,Sample X113,0.572,
E18,Sample X114,0.339,
E19,Sample X115,0.283,
E20,Sample X116,0.238,
E21,Sample X117,0.544,
E22,Sample X118,0.132,
E23,Sample X119,0.083,
E24,Sample X120,0.054,
F01,Sample X121,0.068,
F02,Sample X122,0.083,
F03,Sample X123,0.559,
F04,Sample X124,0.556,
F05,Sample X125,0.528,
F06,Sample X126,0.509,
F07,Sample X127,0.533,
F08,Sample X128,0.544,
F09,Sample X129,0.418,
F10,Sample X130,0.431,
F11,Sample X131,0.519,
F12,Sample X132,0.739,
F13,Sample X133,0.150,
F14,Sample X134,0.495,
F15,Sample X135,0.508,
F16,Sample X136,0.513,
F17,Sample X137,0.478,
F18,Sample X138,0.573,
F19,Sample X139,0.518,
F20,Sample X140,0.512,
F21,Sample X141,0.110,
F22,Sample X142,0.166,
F23,Sample X143,0.056,
F24,Sample X144,0.082,
G01,Sample X145,0.064,
G02,Sample X146,0.062,
G03,Sample X147,0.653,
G04,Sample X148,0.571,
G05,Sample X149,0.566,
G06,Sample X150,0.626,
G07,Sample X151,0.610,
G08,Sample X152,0.592,
G09,Sample X153,0.570,
G10,Sample X154,0.502,
G11,Sample X155,0.622,
G12,Sample X156,0.501,
G13,Sample X157,0.521,
G14,Sample X158,0.258,
G15,Sample X159,0.543,
G16,Sample X160,0.459,
G17,Sample X161,0.289,
G18,Sample X162,0.588,
G19,Sample X163,0.600,
G20,Sample X164,0.136,
G21,Sample X165,0.635,
G22,Sample X166,0.115,
G23,Sample X167,0.058,
G24,Sample X168,0.061,
H01,Sample X169,0.064,
H02,Sample X170,0.077,
H03,Sample X171,0.536,
H04,Sample X172,0.711,
H05,Sample X173,0.632,
H06,Sample X174,0.647,
H07,Sample X175,0.595,
H08,Sample X176,0.558,
H09,Sample X177,0.558,
H10,Sample X178,0.526,
H11,Sample X179,0.520,
H12,Sample X180,0.497,
H13,Sample X181,0.486,
H14,Sample X182,0.543,
H15,Sample X183,0.559,
H16,Sample X184,0.558,
H17,Sample X185,0.590,
H18,Sample X186,0.583,
H19,Sample X187,0.603,
H20,Sample X188,0.640,
H21,Sample X189,0.631,
H22,Sample X190,0.691,
H23,Sample X191,0.059,
H24,Sample X192,0.082,
I01,Sample X193,0.062,
I02,Sample X194,0.058,
I03,Sample X195,0.543,
I04,Sample X196,0.558,
I05,Sample X197,0.532,
I06,Sample X198,0.620,
I07,Sample X199,0.435,
I08,Sample X200,0.730,
I09,Sample X201,0.523,
I10,Sample X202,0.624,
I11,Sample X203,0.538,
I12,Sample X204,0.543,
I13,Sample X205,0.541,
I14,Sample X206,0.625,
I15,Sample X207,0.551,
I16,Sample X208,0.411,
I17,Sample X209,0.612,
I18,Sample X210,0.608,
I19,Sample X211,0.627,
I20,Sample X212,0.644,
I21,Sample X213,0.650,
I22,Sample X214,0.675,
I23,Sample X215,0.064,
I24,Sample X216,0.055,
J01,Sample X217,0.139,
J02,Sample X218,0.469,
J03,Sample X219,0.459,
J04,Sample X220,0.553,
J05,Sample X221,0.579,
J06,Sample X222,0.530,
J07,Sample X223,0.548,
J08,Sample X224,0.600,
J09,Sample X225,0.551,
J10,Sample X226,0.567,
J11,Sample X227,0.543,
J12,Sample X228,0.518,
J13,Sample X229,0.579,
J14,Sample X230,0.537,
J15,Sample X231,0.618,
J16,Sample X232,0.603,
J17,Sample X233,0.589,
J18,Sample X234,0.597,
J19,Sample X235,0.641,
J20,Sample X236,0.642,
J21,Sample X237,0.691,
J22,Sample X238,0.655,
J23,Sample X239,0.049,
J24,Sample X240,0.051,
K01,Sample X241,0.497,
K02,Sample X242,0.113,
K03,Sample X243,0.531,
K04,Sample X244,0.410,
K05,Sample X245,0.372,
K06,Sample X246,0.577,
K07,Sample X247,0.524,
K08,Sample X248,0.451,
K09,Sample X249,0.698,
K10,Sample X250,0.510,
K11,Sample X251,0.411,
K12,Sample X252,0.540,
K13,Sample X253,0.533,
K14,Sample X254,0.460,
K15,Sample X255,0.402,
K16,Sample X256,0.468,
K17,Sample X257,0.499,
K18,Sample X258,0.497,
K19,Sample X259,0.646,
K20,Sample X260,0.557,
K21,Sample X261,0.122,
K22,Sample X262,0.581,
K23,Sample X263,0.052,
K24,Sample X264,0.054,
L01,Sample X265,0.164,
L02,Sample X266,0.054,
L03,Sample X267,0.644,
L04,Sample X268,0.519,
L05,Sample X269,0.592,
L06,Sample X270,0.639,
L07,Sample X271,0.466,
L08,Sample X272,0.533,
L09,Sample X273,0.626,
L10,Sample X274,0.473,
L11,Sample X275,0.660,
L12,Sample X276,0.835,
L13,Sample X277,0.607,
L14,Sample X278,0.205,
L15,Sample X279,0.463,
L16,Sample X280,0.491,
L17,Sample X281,0.520,
L18,Sample X282,0.478,
L19,Sample X283,0.564,
L20,Sample X284,0.663,
L21,Sample X285,0.668,
L22,Sample X286,0.703,
L23,Sample X287,0.052,
L24,Sample X288,0.056,
M01,Sample X289,0.051,
M02,Sample X290,0.051,
M03,Sample X291,0.159,
M04,Sample X292,0.536,
M05,Sample X293,0.449,
M06,Sample X294,0.435,
M07,Sample X295,0.396,
M08,Sample X296,0.299,
M09,Sample X297,0.944,
M10,Sample X298,0.566,
M11,Sample X299,0.665,
M12,Sample X300,0.246,
M13,Sample X301,0.472,
M14,Sample X302,0.211,
M15,Sample X303,0.375,
M16,Sample X304,0.157,
M17,Sample X305,0.561,
M18,Sample X306,0.401,
M19,Sample X307,0.612,
M20,Sample X308,0.561,
M21,Sample X309,0.639,
M22,Sample X310,0.601,
M23,Sample X311,0.049,
M24,Sample X312,0.049,
N01,Sample X313,0.057,
N02,Sample X314,0.056,
N03,Sample X315,0.457,
N04,Sample X316,0.615,
N05,Sample X317,0.648,
N06,Sample X318,0.782,
N07,Sample X319,0.451,
N08,Sample X320,0.318,
N09,Sample X321,0.315,
N10,Sample X322,0.242,
N11,Sample X323,0.825,
N12,Sample X324,0.535,
N13,Sample X325,0.473,
N14,Sample X326,0.547,
N15,Sample X327,0.542,
N16,Sample X328,0.528,
N17,Sample X329,0.572,
N18,Sample X330,0.527,
N19,Sample X331,0.609,
N20,Sample X332,0.649,
N21,Sample X333,0.710,
N22,Sample X334,0.608,
