Well,Content,Raw Data (600),
A01,Sample X1,0.847,
A02,Sample X2,0.713,
A03,Sample X3,0.412,
A04,Sample X4,0.370,
A05,Sample X5,0.246,
A06,Sample X6,0.235,
A07,Sample X7,0.232,
A08,Sample X8,0.170,
A09,Sample X9,0.183,
A10,Sample X10,0.224,
A11,Sample X11,0.216,
A12,Sample X12,0.214,
A13,Sample X13,0.172,
A14,Sample X14,0.174,
A15,Sample X15,0.184,
A16,Sample X16,0.194,
A17,Sample X17,0.210,
A18,Sample X18,3.442,
A19,Sample X19,3.085,
A20,Sample X20,3.400,
A21,Sample X21,3.524,
A22,Sample X22,3.605,
A23,Sample X23,1.319,
A24,Sample X24,0.658,
B01,Sample X25,1.294,
B02,Sample X26,1.135,
B03,Sample X27,3.282,
B04,Sample X28,3.585,
B05,Sample X29,3.418,
B06,Sample X30,3.606,
B07,Sample X31,3.378,
B08,Sample X32,3.400,
B09,Sample X33,3.445,
B10,Sample X34,3.307,
B11,Sample X35,3.503,
B12,Sample X36,3.890,
B13,Sample X37,3.350,
B14,Sample X38,3.470,
B15,Sample X39,3.500,
B16,Sample X40,3.716,
B17,Sample X41,3.526,
B18,Sample X42,3.182,
B19,Sample X43,3.177,
B20,Sample X44,3.317,
B21,Sample X45,3.220,
B22,Sample X46,3.054,
B23,Sample X47,0.861,
B24,Sample X48,0.906,
C01,Sample X49,0.627,
C02,Sample X50,0.918,
C03,Sample X51,0.347,
C04,Sample X52,0.427,
C05,Sample X53,3.192,
C06,Sample X54,0.240,
C07,Sample X55,3.297,
C08,Sample X56,3.545,
C09,Sample X57,3.213,
C10,Sample X58,3.381,
C11,Sample X59,3.373,
C12,Sample X60,3.547,
C13,Sample X61,3.656,
C14,Sample X62,3.599,
C15,Sample X63,0.843,
C16,Sample X64,2.782,
C17,Sample X65,2.906,
C18,Sample X66,2.289,
C19,Sample X67,2.255,
C20,Sample X68,1.390,
C21,Sample X69,3.046,
C22,Sample X70,2.989,
C23,Sample X71,0.764,
C24,Sample X72,0.803,
D01,Sample X73,1.038,
D02,Sample X74,0.912,
D03,Sample X75,3.647,
D04,Sample X76,3.392,
D05,Sample X77,3.384,
D06,Sample X78,3.391,
D07,Sample X79,3.585,
D08,Sample X80,3.436,
D09,Sample X81,3.188,
D10,Sample X82,3.208,
D11,Sample X83,3.464,
D12,Sample X84,3.347,
D13,Sample X85,3.517,
D14,Sample X86,3.304,
D15,Sample X87,3.401,
D16,Sample X88,3.742,
D17,Sample X89,3.454,
D18,Sample X90,3.179,
D19,Sample X91,3.014,
D20,Sample X92,3.127,
D21,Sample X93,3.075,
D22,Sample X94,2.793,
D23,Sample X95,0.978,
D24,Sample X96,0.736,
E01,Sample X97,0.175,
E02,Sample X98,0.367,
E03,Sample X99,3.230,
E04,Sample X100,3.339,
E05,Sample X101,3.414,
E06,Sample X102,3.208,
E07,Sample X103,3.293,
E08,Sample X104,3.731,
E09,Sample X105,3.723,
E10,Sample X106,3.110,
E11,Sample X107,3.166,
E12,Sample X108,0.398,
E13,Sample X109,3.303,
E14,Sample X110,0.212,
E15,Sample X111,2.309,
E16,Sample X112,3.322,
E17,Sample X113,2.668,
E18,Sample X114,2.932,
E19,Sample X115,2.816,
E20,Sample X116,0.483,
E21,Sample X117,3.235,
E22,Sample X118,2.505,
E23,Sample X119,0.497,
E24,Sample X120,0.828,
F01,Sample X121,0.819,
F02,Sample X122,0.800,
F03,Sample X123,0.207,
F04,Sample X124,3.244,
F05,Sample X125,3.369,
F06,Sample X126,3.171,
F07,Sample X127,3.262,
F08,Sample X128,3.311,
F09,Sample X129,3.434,
F10,Sample X130,3.205,
F11,Sample X131,3.431,
F12,Sample X132,3.318,
F13,Sample X133,3.414,
F14,Sample X134,3.154,
F15,Sample X135,3.145,
F16,Sample X136,3.070,
F17,Sample X137,3.415,
F18,Sample X138,3.169,
F19,Sample X139,3.315,
F20,Sample X140,3.186,
F21,Sample X141,3.643,
F22,Sample X142,3.136,
F23,Sample X143,1.099,
F24,Sample X144,0.440,
G01,Sample X145,0.403,
G02,Sample X146,0.552,
G03,Sample X147,3.377,
G04,Sample X148,3.851,
G05,Sample X149,3.325,
G06,Sample X150,0.443,
G07,Sample X151,2.242,
G08,Sample X152,3.423,
G09,Sample X153,0.439,
G10,Sample X154,3.384,
G11,Sample X155,0.195,
G12,Sample X156,3.486,
G13,Sample X157,3.076,
G14,Sample X158,1.086,
G15,Sample X159,3.009,
