Well,Content,Raw Data (600),
A01,Sample X1,0.143,
A02,Sample X2,0.137,
A03,Sample X3,0.270,
A04,Sample X4,0.301,
A05,Sample X5,0.305,
A06,Sample X6,0.466,
A07,Sample X7,0.306,
A08,Sample X8,0.376,
A09,Sample X9,0.359,
A10,Sample X10,0.650,
A11,Sample X11,0.551,
A12,Sample X12,0.738,
A13,Sample X13,0.577,
A14,Sample X14,0.724,
A15,Sample X15,0.648,
A16,Sample X16,0.897,
A17,Sample X17,0.772,
A18,Sample X18,0.947,
A19,Sample X19,1.110,
A20,Sample X20,0.599,
A21,Sample X21,0.514,
A22,Sample X22,0.750,
A23,Sample X23,0.158,
A24,Sample X24,0.157,
B01,Sample X25,0.162,
B02,Sample X26,0.191,
B03,Sample X27,0.666,
B04,Sample X28,0.956,
B05,Sample X29,0.849,
B06,Sample X30,0.968,
B07,Sample X31,0.873,
B08,Sample X32,0.893,
B09,Sample X33,0.928,
B10,Sample X34,1.006,
B11,Sample X35,1.234,
B12,Sample X36,0.944,
B13,Sample X37,0.435,
B14,Sample X38,0.488,
B15,Sample X39,1.435,
B16,Sample X40,0.777,
B17,Sample X41,1.322,
B18,Sample X42,1.411,
B19,Sample X43,1.294,
B20,Sample X44,1.174,
B21,Sample X45,1.305,
B22,Sample X46,1.071,
B23,Sample X47,0.307,
B24,Sample X48,0.149,
C01,Sample X49,0.164,
C02,Sample X50,0.517,
C03,Sample X51,1.179,
C04,Sample X52,1.198,
C05,Sample X53,1.287,
C06,Sample X54,1.329,
C07,Sample X55,0.831,
C08,Sample X56,0.994,
C09,Sample X57,0.911,
C10,Sample X58,0.534,
C11,Sample X59,1.024,
C12,Sample X60,0.734,
C13,Sample X61,0.761,
C14,Sample X62,0.867,
C15,Sample X63,0.939,
C16,Sample X64,1.152,
C17,Sample X65,0.987,
C18,Sample X66,1.323,
C19,Sample X67,1.025,
C20,Sample X68,1.210,
C21,Sample X69,0.934,
C22,Sample X70,1.192,
C23,Sample X71,0.331,
C24,Sample X72,0.145,
D01,Sample X73,0.173,
D02,Sample X74,0.798,
D03,Sample X75,1.414,
D04,Sample X76,1.084,
D05,Sample X77,1.241,
D06,Sample X78,1.296,
D07,Sample X79,0.735,
D08,Sample X80,1.106,
D09,Sample X81,0.976,
D10,Sample X82,1.109,
D11,Sample X83,1.067,
D12,Sample X84,1.165,
D13,Sample X85,0.848,
D14,Sample X86,1.097,
D15,Sample X87,0.984,
D16,Sample X88,0.728,
D17,Sample X89,1.440,
D18,Sample X90,1.140,
D19,Sample X91,1.182,
D20,Sample X92,0.962,
D21,Sample X93,0.839,
D22,Sample X94,1.185,
D23,Sample X95,0.696,
D24,Sample X96,0.359,
E01,Sample X97,0.259,
E02,Sample X98,0.858,
E03,Sample X99,1.276,
E04,Sample X100,1.433,
E05,Sample X101,1.208,
E06,Sample X102,1.095,
E07,Sample X103,1.170,
E08,Sample X104,1.316,
E09,Sample X105,1.131,
E10,Sample X106,1.326,
E11,Sample X107,0.815,
E12,Sample X108,1.340,
E13,Sample X109,1.250,
E14,Sample X110,1.429,
E15,Sample X111,1.336,
E16,Sample X112,0.883,
E17,Sample X113,1.422,
E18,Sample X114,1.218,
E19,Sample X115,1.128,
E20,Sample X116,1.266,
E21,Sample X117,1.182,
E22,Sample X118,1.097,
E23,Sample X119,0.793,
E24,Sample X120,0.149,
F01,Sample X121,0.388,
F02,Sample X122,1.051,
F03,Sample X123,1.411,
F04,Sample X124,1.271,
F05,Sample X125,1.327,
F06,Sample X126,1.487,
F07,Sample X127,0.858,
F08,Sample X128,1.288,
F09,Sample X129,1.308,
F10,Sample X130,1.308,
F11,Sample X131,1.088,
F12,Sample X132,1.304,
F13,Sample X133,0.943,
F14,Sample X134,1.359,
F15,Sample X135,1.337,
F16,Sample X136,1.392,
F17,Sample X137,1.254,
F18,Sample X138,1.426,
F19,Sample X139,1.263,
F20,Sample X140,1.366,
F21,Sample X141,1.326,
F22,Sample X142,1.227,
F23,Sample X143,0.784,
F24,Sample X144,0.148,
G01,Sample X145,0.581,
G02,Sample X146,0.627,
G03,Sample X147,1.211,
G04,Sample X148,1.411,
G05,Sample X149,1.159,
G06,Sample X150,1.203,
G07,Sample X151,0.963,
G08,Sample X152,0.999,
G09,Sample X153,1.328,
G10,Sample X154,1.201,
G11,Sample X155,0.843,
G12,Sample X156,1.054,
G13,Sample X157,0.488,
G14,Sample X158,1.444,
G15,Sample X159,1.209,
G16,Sample X160,1.059,
G17,Sample X161,1.320,
G18,Sample X162,1.309,
G19,Sample X163,0.953,
G20,Sample X164,1.182,
G21,Sample X165,0.961,
G22,Sample X166,1.120,
G23,Sample X167,0.386,
G24,Sample X168,0.154,
H01,Sample X169,0.231,
H02,Sample X170,0.662,
H03,Sample X171,0.671,
H04,Sample X172,1.427,
H05,Sample X173,1.335,
H06,Sample X174,0.806,
H07,Sample X175,1.367,
H08,Sample X176,0.869,
H09,Sample X177,1.177,
H10,Sample X178,0.925,
H11,Sample X179,1.228,
H12,Sample X180,0.713,
H13,Sample X181,0.630,
H14,Sample X182,1.396,
H15,Sample X183,0.921,
H16,Sample X184,0.983,
H17,Sample X185,1.445,
H18,Sample X186,1.520,
H19,Sample X187,1.233,
H20,Sample X188,1.250,
H21,Sample X189,1.020,
H22,Sample X190,1.163,
H23,Sample X191,0.687,
H24,Sample X192,0.303,
I01,Sample X193,0.175,
I02,Sample X194,0.823,
I03,Sample X195,0.600,
I04,Sample X196,1.369,
I05,Sample X197,1.074,
I06,Sample X198,1.073,
I07,Sample X199,0.767,
I08,Sample X200,0.882,
I09,Sample X201,1.076,
I10,Sample X202,1.162,
I11,Sample X203,1.143,
I12,Sample X204,0.581,
I13,Sample X205,0.855,
I14,Sample X206,1.111,
I15,Sample X207,1.272,
I16,Sample X208,0.947,
I17,Sample X209,1.418,
I18,Sample X210,1.329,
I19,Sample X211,1.293,
I20,Sample X212,1.124,
I21,Sample X213,0.799,
I22,Sample X214,1.052,
I23,Sample X215,0.664,
I24,Sample X216,0.195,
J01,Sample X217,0.211,
J02,Sample X218,1.155,
J03,Sample X219,1.201,
J04,Sample X220,1.318,
J05,Sample X221,1.507,
J06,Sample X222,1.374,
