Well,Content,Raw Data (600),
A01,Sample X1,0.160,
A02,Sample X2,0.155,
A03,Sample X3,0.369,
A04,Sample X4,0.349,
A05,Sample X5,0.340,
A06,Sample X6,0.386,
A07,Sample X7,0.312,
A08,Sample X8,0.383,
A09,Sample X9,0.515,
A10,Sample X10,0.530,
A11,Sample X11,0.428,
A12,Sample X12,0.614,
A13,Sample X13,0.518,
A14,Sample X14,0.431,
A15,Sample X15,0.674,
A16,Sample X16,0.686,
A17,Sample X17,0.730,
A18,Sample X18,0.787,
A19,Sample X19,0.659,
A20,Sample X20,0.445,
A21,Sample X21,0.375,
A22,Sample X22,0.359,
A23,Sample X23,0.151,
A24,Sample X24,0.157,
B01,Sample X25,0.178,
B02,Sample X26,0.175,
B03,Sample X27,0.497,
B04,Sample X28,0.712,
B05,Sample X29,0.863,
B06,Sample X30,0.772,
B07,Sample X31,0.756,
B08,Sample X32,1.133,
B09,Sample X33,1.280,
B10,Sample X34,1.054,
B11,Sample X35,0.726,
B12,Sample X36,0.755,
B13,Sample X37,0.900,
B14,Sample X38,1.139,
B15,Sample X39,0.744,
B16,Sample X40,0.792,
B17,Sample X41,1.225,
B18,Sample X42,1.221,
B19,Sample X43,1.125,
B20,Sample X44,1.089,
B21,Sample X45,0.871,
B22,Sample X46,1.031,
B23,Sample X47,0.163,
B24,Sample X48,0.161,
C01,Sample X49,0.182,
C02,Sample X50,0.174,
C03,Sample X51,0.899,
C04,Sample X52,0.959,
C05,Sample X53,0.959,
C06,Sample X54,0.805,
C07,Sample X55,1.147,
C08,Sample X56,1.185,
C09,Sample X57,1.355,
C10,Sample X58,1.469,
C11,Sample X59,1.138,
C12,Sample X60,0.634,
C13,Sample X61,0.866,
C14,Sample X62,1.437,
C15,Sample X63,1.329,
C16,Sample X64,0.974,
C17,Sample X65,1.283,
C18,Sample X66,1.128,
C19,Sample X67,1.040,
C20,Sample X68,1.264,
C21,Sample X69,1.352,
C22,Sample X70,0.353,
C23,Sample X71,0.165,
C24,Sample X72,0.164,
D01,Sample X73,0.195,
D02,Sample X74,0.295,
D03,Sample X75,1.102,
D04,Sample X76,1.137,
D05,Sample X77,0.422,
D06,Sample X78,1.081,
D07,Sample X79,1.362,
D08,Sample X80,1.183,
D09,Sample X81,1.439,
D10,Sample X82,1.339,
D11,Sample X83,1.453,
D12,Sample X84,1.297,
D13,Sample X85,1.046,
D14,Sample X86,1.142,
D15,Sample X87,1.280,
D16,Sample X88,1.213,
D17,Sample X89,1.253,
D18,Sample X90,1.304,
D19,Sample X91,1.009,
D20,Sample X92,0.485,
D21,Sample X93,1.250,
D22,Sample X94,0.384,
D23,Sample X95,0.140,
D24,Sample X96,0.168,
E01,Sample X97,0.191,
E02,Sample X98,0.469,
E03,Sample X99,1.127,
E04,Sample X100,0.637,
E05,Sample X101,0.873,
E06,Sample X102,0.560,
E07,Sample X103,1.492,
E08,Sample X104,1.478,
E09,Sample X105,1.425,
E10,Sample X106,1.228,
E11,Sample X107,1.226,
E12,Sample X108,0.499,
E13,Sample X109,1.729,
E14,Sample X110,1.252,
E15,Sample X111,1.426,
E16,Sample X112,1.310,
E17,Sample X113,1.135,
E18,Sample X114,1.063,
E19,Sample X115,1.004,
E20,Sample X116,0.945,
E21,Sample X117,1.101,
E22,Sample X118,1.216,
E23,Sample X119,0.392,
E24,Sample X120,0.143,
F01,Sample X121,0.204,
F02,Sample X122,0.819,
F03,Sample X123,1.250,
F04,Sample X124,0.780,
F05,Sample X125,1.220,
F06,Sample X126,1.177,
F07,Sample X127,1.487,
F08,Sample X128,1.652,
F09,Sample X129,1.569,
F10,Sample X130,1.459,
F11,Sample X131,0.588,
F12,Sample X132,1.251,
F13,Sample X133,1.609,
F14,Sample X134,1.389,
F15,Sample X135,1.493,
F16,Sample X136,1.422,
F17,Sample X137,1.133,
F18,Sample X138,1.558,
F19,Sample X139,1.390,
F20,Sample X140,1.199,
F21,Sample X141,1.179,
F22,Sample X142,1.442,
F23,Sample X143,0.934,
F24,Sample X144,0.167,
G01,Sample X145,0.201,
G02,Sample X146,0.721,
G03,Sample X147,1.179,
G04,Sample X148,0.859,
G05,Sample X149,1.419,
G06,Sample X150,1.531,
G07,Sample X151,1.385,
G08,Sample X152,1.369,
G09,Sample X153,1.334,
G10,Sample X154,1.365,
G11,Sample X155,1.157,
G12,Sample X156,1.260,
G13,Sample X157,1.635,
G14,Sample X158,1.653,
G15,Sample X159,1.718,
G16,Sample X160,1.665,
G17,Sample X161,1.094,
G18,Sample X162,1.611,
G19,Sample X163,1.588,
G20,Sample X164,1.286,
G21,Sample X165,1.328,
G22,Sample X166,1.312,
G23,Sample X167,0.295,
G24,Sample X168,0.301,
H01,Sample X169,0.209,
H02,Sample X170,0.736,
H03,Sample X171,1.190,
H04,Sample X172,1.153,
H05,Sample X173,1.455,
H06,Sample X174,1.299,
H07,Sample X175,1.612,
H08,Sample X176,1.420,
H09,Sample X177,1.583,
H10,Sample X178,1.662,
H11,Sample X179,1.299,
H12,Sample X180,1.230,
H13,Sample X181,1.503,
H14,Sample X182,1.709,
H15,Sample X183,0.657,
H16,Sample X184,1.645,
H17,Sample X185,1.646,
H18,Sample X186,1.366,
H19,Sample X187,1.426,
H20,Sample X188,0.986,
H21,Sample X189,1.429,
H22,Sample X190,1.229,
H23,Sample X191,0.797,
H24,Sample X192,0.204,
I01,Sample X193,0.212,
I02,Sample X194,0.518,
I03,Sample X195,1.220,
I04,Sample X196,1.071,
I05,Sample X197,1.067,
I06,Sample X198,0.867,
I07,Sample X199,1.167,
I08,Sample X200,1.515,
I09,Sample X201,1.357,
I10,Sample X202,1.524,
I11,Sample X203,1.006,
I12,Sample X204,1.409,
I13,Sample X205,1.334,
I14,Sample X206,1.362,
I15,Sample X207,1.088,
I16,Sample X208,1.427,
I17,Sample X209,0.475,
I18,Sample X210,0.947,
I19,Sample X211,1.391,
I20,Sample X212,1.583,
I21,Sample X213,1.625,
I22,Sample X214,1.102,
I23,Sample X215,0.337,
I24,Sample X216,0.188,
J01,Sample X217,0.202,
J02,Sample X218,0.522,
J03,Sample X219,1.013,
J04,Sample X220,1.348,
J05,Sample X221,1.569,
J06,Sample X222,1.214,
J07,Sample X223,1.161,
J08,Sample X224,1.414,
J09,Sample X225,1.362,
J10,Sample X226,1.382,
J11,Sample X227,0.666,
J12,Sample X228,1.001,
J13,Sample X229,1.462,
J14,Sample X230,1.397,
J15,Sample X231,1.661,
J16,Sample X232,1.481,
J17,Sample X233,1.597,
J18,Sample X234,1.617,
J19,Sample X235,1.545,
J20,Sample X236,1.243,
J21,Sample X237,1.181,
J22,Sample X238,1.249,
J23,Sample X239,0.210,
J24,Sample X240,0.190,
K01,Sample X241,0.200,
K02,Sample X242,0.198,
K03,Sample X243,1.074,
K04,Sample X244,1.332,
K05,Sample X245,1.163,
K06,Sample X246,1.058,
K07,Sample X247,1.442,
K08,Sample X248,1.401,
K09,Sample X249,1.127,
K10,Sample X250,1.577,
K11,Sample X251,0.385,
K12,Sample X252,1.611,
K13,Sample X253,1.573,
K14,Sample X254,1.147,
K15,Sample X255,1.063,
K16,Sample X256,1.128,
K17,Sample X257,1.585,
K18,Sample X258,1.554,
K19,Sample X259,1.336,
K20,Sample X260,1.613,
K21,Sample X261,1.412,
K22,Sample X262,1.044,
K23,Sample X263,0.683,
K24,Sample X264,0.167,
L01,Sample X265,0.218,
L02,Sample X266,0.188,
L03,Sample X267,1.028,
L04,Sample X268,1.093,
L05,Sample X269,1.158,
L06,Sample X270,1.346,
L07,Sample X271,1.257,
L08,Sample X272,1.367,
L09,Sample X273,1.691,
L10,Sample X274,1.602,
L11,Sample X275,1.331,
L12,Sample X276,1.178,
L13,Sample X277,1.255,
L14,Sample X278,1.434,
L15,Sample X279,1.274,
L16,Sample X280,1.319,
L17,Sample X281,1.117,
L18,Sample X282,1.142,
L19,Sample X283,1.208,
L20,Sample X284,1.406,
L21,Sample X285,1.273,
L22,Sample X286,1.343,
L23,Sample X287,0.579,
L24,Sample X288,0.157,
M01,Sample X289,0.209,
M02,Sample X290,0.186,
M03,Sample X291,1.082,
M04,Sample X292,0.920,
M05,Sample X293,1.136,
M06,Sample X294,1.113,
M07,Sample X295,1.012,
M08,Sample X296,1.318,
M09,Sample X297,1.575,
M10,Sample X298,1.324,
M11,Sample X299,1.541,
M12,Sample X300,1.339,
M13,Sample X301,1.098,
M14,Sample X302,1.179,
M15,Sample X303,1.722,
M16,Sample X304,1.511,
M17,Sample X305,0.945,
M18,Sample X306,1.413,
M19,Sample X307,1.137,
M20,Sample X308,1.083,
M21,Sample X309,0.988,
M22,Sample X310,0.805,
M23,Sample X311,0.139,
M24,Sample X312,0.144,
N01,Sample X313,0.184,
N02,Sample X314,0.163,
N03,Sample X315,0.390,
N04,Sample X316,0.851,
N05,Sample X317,0.920,
N06,Sample X318,1.185,
N07,Sample X319,1.119,
N08,Sample X320,1.409,
N09,Sample X321,1.186,
