Well,Content,Raw Data (600),
A01,Sample X1,0.167,
A02,Sample X2,0.165,
A03,Sample X3,0.186,
A04,Sample X4,0.204,
A05,Sample X5,0.168,
A06,Sample X6,0.174,
A07,Sample X7,0.178,
A08,Sample X8,0.214,
A09,Sample X9,0.208,
A10,Sample X10,0.247,
A11,Sample X11,0.256,
A12,Sample X12,0.280,
A13,Sample X13,0.360,
A14,Sample X14,0.240,
A15,Sample X15,0.208,
A16,Sample X16,0.191,
A17,Sample X17,0.234,
A18,Sample X18,2.144,
A19,Sample X19,3.420,
A20,Sample X20,1.912,
A21,Sample X21,2.369,
A22,Sample X22,2.458,
A23,Sample X23,0.289,
A24,Sample X24,0.184,
B01,Sample X25,0.165,
B02,Sample X26,0.164,
B03,Sample X27,1.997,
B04,Sample X28,1.704,
B05,Sample X29,1.746,
B06,Sample X30,1.763,
B07,Sample X31,1.536,
B08,Sample X32,1.837,
B09,Sample X33,1.508,
B10,Sample X34,1.402,
B11,Sample X35,1.292,
B12,Sample X36,1.335,
B13,Sample X37,1.223,
B14,Sample X38,1.380,
B15,Sample X39,1.548,
B16,Sample X40,1.679,
B17,Sample X41,1.423,
B18,Sample X42,1.256,
B19,Sample X43,1.386,
B20,Sample X44,1.431,
B21,Sample X45,1.425,
B22,Sample X46,1.311,
B23,Sample X47,0.181,
B24,Sample X48,0.185,
C01,Sample X49,0.173,
C02,Sample X50,0.166,
C03,Sample X51,0.471,
C04,Sample X52,1.390,
C05,Sample X53,1.457,
C06,Sample X54,0.238,
C07,Sample X55,1.337,
C08,Sample X56,0.560,
C09,Sample X57,1.443,
C10,Sample X58,1.767,
C11,Sample X59,2.110,
C12,Sample X60,1.898,
C13,Sample X61,2.156,
C14,Sample X62,2.389,
C15,Sample X63,1.281,
C16,Sample X64,0.358,
C17,Sample X65,2.222,
C18,Sample X66,0.297,
C19,Sample X67,0.176,
C20,Sample X68,1.849,
C21,Sample X69,1.743,
C22,Sample X70,1.857,
C23,Sample X71,0.155,
C24,Sample X72,0.156,
D01,Sample X73,0.159,
D02,Sample X74,0.164,
D03,Sample X75,1.564,
D04,Sample X76,1.365,
D05,Sample X77,1.135,
D06,Sample X78,1.313,
D07,Sample X79,1.035,
D08,Sample X80,1.952,
D09,Sample X81,1.438,
D10,Sample X82,1.213,
D11,Sample X83,1.125,
D12,Sample X84,1.218,
D13,Sample X85,0.244,
D14,Sample X86,1.346,
D15,Sample X87,1.352,
D16,Sample X88,1.398,
D17,Sample X89,1.621,
D18,Sample X90,1.238,
D19,Sample X91,2.024,
D20,Sample X92,1.404,
D21,Sample X93,1.392,
D22,Sample X94,1.281,
D23,Sample X95,0.174,
D24,Sample X96,0.158,
E01,Sample X97,0.161,
E02,Sample X98,0.156,
E03,Sample X99,1.389,
E04,Sample X100,1.346,
E05,Sample X101,1.108,
E06,Sample X102,1.275,
E07,Sample X103,1.255,
E08,Sample X104,1.678,
E09,Sample X105,1.208,
E10,Sample X106,2.740,
E11,Sample X107,1.498,
E12,Sample X108,0.261,
E13,Sample X109,2.025,
E14,Sample X110,0.247,
E15,Sample X111,0.977,
E16,Sample X112,1.808,
E17,Sample X113,0.206,
E18,Sample X114,1.771,
E19,Sample X115,0.782,
E20,Sample X116,0.162,
E21,Sample X117,2.400,
E22,Sample X118,2.077,
E23,Sample X119,0.260,
E24,Sample X120,0.151,
F01,Sample X121,0.157,
F02,Sample X122,0.157,
F03,Sample X123,0.189,
F04,Sample X124,1.499,
F05,Sample X125,0.907,
F06,Sample X126,1.183,
F07,Sample X127,1.254,
F08,Sample X128,1.555,
F09,Sample X129,1.880,
F10,Sample X130,1.481,
F11,Sample X131,1.358,
F12,Sample X132,1.244,
F13,Sample X133,1.210,
F14,Sample X134,1.362,
F15,Sample X135,1.380,
F16,Sample X136,1.352,
F17,Sample X137,1.226,
F18,Sample X138,1.719,
F19,Sample X139,1.208,
F20,Sample X140,1.345,
F21,Sample X141,1.423,
F22,Sample X142,1.251,
F23,Sample X143,0.148,
F24,Sample X144,0.145,
G01,Sample X145,0.306,
G02,Sample X146,0.171,
G03,Sample X147,1.381,
G04,Sample X148,1.115,
G05,Sample X149,1.559,
G06,Sample X150,0.174,
G07,Sample X151,0.196,
G08,Sample X152,0.892,
G09,Sample X153,0.220,
G10,Sample X154,1.447,
G11,Sample X155,2.207,
G12,Sample X156,0.199,
G13,Sample X157,1.003,
G14,Sample X158,0.928,
G15,Sample X159,1.996,
G16,Sample X160,2.109,
G17,Sample X161,1.804,
G18,Sample X162,1.929,
G19,Sample X163,0.285,
G20,Sample X164,2.088,
G21,Sample X165,2.099,
G22,Sample X166,1.976,
G23,Sample X167,0.145,
G24,Sample X168,0.194,
H01,Sample X169,0.153,
H02,Sample X170,0.161,
H03,Sample X171,1.627,
H04,Sample X172,1.460,
H05,Sample X173,1.424,
H06,Sample X174,1.360,
H07,Sample X175,1.127,
H08,Sample X176,1.325,
