Well,Content,Raw Data (600),
A01,Sample X1,0.205,
A02,Sample X2,0.171,
A03,Sample X3,0.218,
A04,Sample X4,0.209,
A05,Sample X5,0.242,
A06,Sample X6,0.209,
A07,Sample X7,0.236,
A08,Sample X8,0.267,
A09,Sample X9,0.267,
A10,Sample X10,0.255,
A11,Sample X11,0.265,
A12,Sample X12,0.410,
A13,Sample X13,0.203,
A14,Sample X14,0.236,
A15,Sample X15,0.226,
A16,Sample X16,0.238,
A17,Sample X17,0.240,
A18,Sample X18,1.101,
A19,Sample X19,0.652,
A20,Sample X20,1.351,
A21,Sample X21,1.467,
A22,Sample X22,1.353,
A23,Sample X23,0.149,
A24,Sample X24,0.150,
B01,Sample X25,0.171,
B02,Sample X26,0.165,
B03,Sample X27,0.989,
B04,Sample X28,1.408,
B05,Sample X29,1.291,
B06,Sample X30,1.453,
B07,Sample X31,1.213,
B08,Sample X32,1.463,
B09,Sample X33,1.331,
B10,Sample X34,1.254,
B11,Sample X35,1.261,
B12,Sample X36,1.657,
B13,Sample X37,1.621,
B14,Sample X38,1.314,
B15,Sample X39,1.280,
B16,Sample X40,1.313,
B17,Sample X41,1.463,
B18,Sample X42,1.038,
B19,Sample X43,1.111,
B20,Sample X44,1.192,
B21,Sample X45,0.920,
B22,Sample X46,0.675,
B23,Sample X47,0.150,
B24,Sample X48,0.149,
C01,Sample X49,0.151,
C02,Sample X50,0.156,
C03,Sample X51,0.767,
C04,Sample X52,1.489,
C05,Sample X53,1.179,
C06,Sample X54,1.226,
C07,Sample X55,1.189,
C08,Sample X56,1.477,
C09,Sample X57,1.268,
C10,Sample X58,1.336,
C11,Sample X59,1.215,
C12,Sample X60,1.245,
C13,Sample X61,1.598,
C14,Sample X62,0.267,
C15,Sample X63,1.279,
C16,Sample X64,1.649,
C17,Sample X65,1.085,
C18,Sample X66,1.040,
C19,Sample X67,1.194,
C20,Sample X68,1.088,
C21,Sample X69,1.149,
C22,Sample X70,0.668,
C23,Sample X71,0.175,
C24,Sample X72,0.144,
D01,Sample X73,0.181,
D02,Sample X74,0.158,
D03,Sample X75,1.042,
D04,Sample X76,1.302,
D05,Sample X77,1.169,
D06,Sample X78,1.243,
D07,Sample X79,1.406,
D08,Sample X80,1.219,
D09,Sample X81,1.190,
D10,Sample X82,1.161,
D11,Sample X83,1.141,
D12,Sample X84,1.340,
D13,Sample X85,1.286,
D14,Sample X86,1.176,
D15,Sample X87,1.204,
D16,Sample X88,1.693,
D17,Sample X89,1.125,
D18,Sample X90,0.929,
D19,Sample X91,0.753,
D20,Sample X92,1.056,
D21,Sample X93,0.822,
D22,Sample X94,0.758,
D23,Sample X95,0.150,
D24,Sample X96,0.144,
E01,Sample X97,0.168,
E02,Sample X98,0.158,
E03,Sample X99,0.930,
E04,Sample X100,1.203,
E05,Sample X101,1.355,
E06,Sample X102,1.375,
E07,Sample X103,1.076,
E08,Sample X104,1.323,
E09,Sample X105,1.167,
E10,Sample X106,1.505,
E11,Sample X107,0.348,
E12,Sample X108,1.706,
E13,Sample X109,1.216,
E14,Sample X110,1.220,
E15,Sample X111,1.334,
E16,Sample X112,1.291,
E17,Sample X113,1.238,
E18,Sample X114,0.846,
E19,Sample X115,0.850,
E20,Sample X116,1.116,
E21,Sample X117,1.134,
E22,Sample X118,0.971,
E23,Sample X119,0.145,
E24,Sample X120,0.144,
F01,Sample X121,0.156,
F02,Sample X122,0.153,
F03,Sample X123,0.805,
F04,Sample X124,1.434,
F05,Sample X125,1.452,
F06,Sample X126,1.099,
F07,Sample X127,1.013,
F08,Sample X128,1.125,
F09,Sample X129,1.081,
F10,Sample X130,1.015,
F11,Sample X131,1.158,
F12,Sample X132,1.198,
F13,Sample X133,0.963,
F14,Sample X134,1.048,
F15,Sample X135,1.308,
F16,Sample X136,1.168,
F17,Sample X137,1.043,
F18,Sample X138,0.275,
F19,Sample X139,0.951,
F20,Sample X140,1.251,
F21,Sample X141,1.475,
F22,Sample X142,1.229,
F23,Sample X143,0.151,
F24,Sample X144,0.146,
G01,Sample X145,0.162,
G02,Sample X146,0.247,
G03,Sample X147,1.116,
G04,Sample X148,2.050,
G05,Sample X149,1.299,
G06,Sample X150,1.304,
G07,Sample X151,0.977,
G08,Sample X152,1.265,
G09,Sample X153,1.363,
G10,Sample X154,1.062,
G11,Sample X155,1.212,
G12,Sample X156,1.209,
G13,Sample X157,1.351,
G14,Sample X158,1.396,
G15,Sample X159,1.259,
G16,Sample X160,1.314,
G17,Sample X161,1.752,
G18,Sample X162,1.041,
G19,Sample X163,1.228,
G20,Sample X164,1.345,
G21,Sample X165,1.263,
G22,Sample X166,1.222,
G23,Sample X167,0.157,
G24,Sample X168,0.144,
H01,Sample X169,0.262,
H02,Sample X170,0.169,
H03,Sample X171,1.315,
H04,Sample X172,1.368,
H05,Sample X173,1.372,
H06,Sample X174,1.204,
H07,Sample X175,1.148,
H08,Sample X176,1.379,
H09,Sample X177,1.219,
H10,Sample X178,1.158,
H11,Sample X179,1.208,
H12,Sample X180,1.487,
H13,Sample X181,1.365,
H14,Sample X182,1.048,
H15,Sample X183,1.164,
H16,Sample X184,1.230,
H17,Sample X185,1.024,
H18,Sample X186,1.038,
H19,Sample X187,1.101,
H20,Sample X188,1.248,
H21,Sample X189,1.111,
H22,Sample X190,0.692,
H23,Sample X191,0.150,
H24,Sample X192,0.153,
I01,Sample X193,0.174,
I02,Sample X194,0.209,
I03,Sample X195,1.158,
I04,Sample X196,1.454,
I05,Sample X197,1.917,
I06,Sample X198,1.303,
I07,Sample X199,1.245,
I08,Sample X200,1.212,
I09,Sample X201,1.172,
I10,Sample X202,1.516,
I11,Sample X203,1.496,
I12,Sample X204,1.141,
I13,Sample X205,1.702,
I14,Sample X206,1.808,
I15,Sample X207,1.367,
I16,Sample X208,1.218,
I17,Sample X209,1.170,
I18,Sample X210,0.341,
I19,Sample X211,1.157,
I20,Sample X212,1.561,
I21,Sample X213,1.404,
I22,Sample X214,1.192,
I23,Sample X215,0.147,
I24,Sample X216,0.146,
J01,Sample X217,0.161,
J02,Sample X218,0.167,
J03,Sample X219,0.847,
J04,Sample X220,1.204,
J05,Sample X221,1.266,
J06,Sample X222,1.406,
J07,Sample X223,1.182,
J08,Sample X224,1.380,
J09,Sample X225,1.315,
J10,Sample X226,1.259,
J11,Sample X227,1.172,
J12,Sample X228,1.256,
J13,Sample X229,1.210,
J14,Sample X230,1.087,
J15,Sample X231,1.225,
J16,Sample X232,1.179,
J17,Sample X233,1.128,
J18,Sample X234,0.779,
J19,Sample X235,0.871,
J20,Sample X236,1.374,
J21,Sample X237,1.324,
J22,Sample X238,1.130,
J23,Sample X239,0.139,
J24,Sample X240,0.154,
K01,Sample X241,0.198,
K02,Sample X242,0.159,
K03,Sample X243,0.842,
K04,Sample X244,1.469,
K05,Sample X245,1.806,
K06,Sample X246,1.239,
K07,Sample X247,1.302,
K08,Sample X248,1.313,
K09,Sample X249,1.548,
K10,Sample X250,1.361,
K11,Sample X251,1.235,
K12,Sample X252,1.399,
K13,Sample X253,1.731,
K14,Sample X254,1.519,
K15,Sample X255,1.311,
K16,Sample X256,1.221,
K17,Sample X257,1.148,
K18,Sample X258,1.064,
K19,Sample X259,1.120,
K20,Sample X260,1.310,
K21,Sample X261,0.258,
K22,Sample X262,1.345,
K23,Sample X263,0.146,
K24,Sample X264,0.149,
L01,Sample X265,0.158,
L02,Sample X266,0.164,
L03,Sample X267,0.902,
L04,Sample X268,1.235,
L05,Sample X269,1.262,
L06,Sample X270,1.369,
L07,Sample X271,1.209,
L08,Sample X272,1.260,
L09,Sample X273,1.339,
L10,Sample X274,1.105,
L11,Sample X275,1.042,
L12,Sample X276,1.153,
L13,Sample X277,1.081,
L14,Sample X278,1.237,
L15,Sample X279,1.205,
L16,Sample X280,1.027,
L17,Sample X281,0.928,
L18,Sample X282,1.079,
L19,Sample X283,1.047,
L20,Sample X284,1.184,
L21,Sample X285,1.897,
L22,Sample X286,1.011,
L23,Sample X287,0.144,
L24,Sample X288,0.145,
M01,Sample X289,0.153,
M02,Sample X290,0.158,
M03,Sample X291,0.710,
M04,Sample X292,1.273,
M05,Sample X293,1.429,
M06,Sample X294,1.980,
M07,Sample X295,1.243,
M08,Sample X296,1.418,
M09,Sample X297,1.195,
M10,Sample X298,1.167,
M11,Sample X299,1.164,
M12,Sample X300,1.147,
M13,Sample X301,1.297,
M14,Sample X302,0.278,
M15,Sample X303,1.129,
M16,Sample X304,1.504,
M17,Sample X305,1.574,
M18,Sample X306,1.141,
M19,Sample X307,0.682,
M20,Sample X308,1.363,
M21,Sample X309,1.429,
M22,Sample X310,0.946,
M23,Sample X311,0.156,
M24,Sample X312,0.144,
N01,Sample X313,0.151,
N02,Sample X314,0.163,
N03,Sample X315,0.885,
N04,Sample X316,1.223,
N05,Sample X317,1.312,
N06,Sample X318,1.184,
N07,Sample X319,1.319,
N08,Sample X320,1.387,
N09,Sample X321,1.267,
N10,Sample X322,1.219,
N11,Sample X323,1.110,
N12,Sample X324,1.153,
N13,Sample X325,1.480,
N14,Sample X326,1.193,
N15,Sample X327,1.202,
N16,Sample X328,1.133,
N17,Sample X329,1.082,
N18,Sample X330,0.826,
N19,Sample X331,0.944,
N20,Sample X332,1.365,
N21,Sample X333,1.903,
N22,Sample X334,0.933,
N23,Sample X335,0.153,
N24,Sample X336,0.144,
O01,Sample X337,1.025,
O02,Sample X338,0.145,
O03,Sample X339,0.728,
O04,Sample X340,1.262,
O05,Sample X341,1.204,
O06,Sample X342,1.416,
O07,Sample X343,0.346,
O08,Sample X344,1.395,
O09,Sample X345,1.235,
O10,Sample X346,1.238,
O11,Sample X347,0.921,
O12,Sample X348,1.020,
O13,Sample X349,0.885,
O14,Sample X350,0.991,
O15,Sample X351,0.915,
O16,Sample X352,0.980,
O17,Sample X353,1.265,
O18,Sample X354,1.185,
O19,Sample X355,1.097,
O20,Sample X356,1.136,
O21,Sample X357,0.997,
O22,Sample X358,1.314,
O23,Sample X359,0.142,
O24,Sample X360,0.138,
P01,Sample X361,0.157,
P02,Sample X362,0.175,
P03,Sample X363,0.230,
P04,Sample X364,0.304,
P05,Sample X365,0.271,
P06,Sample X366,0.294,
P07,Sample X367,0.239,
P08,Sample X368,0.285,
P09,Sample X369,0.221,
P10,Sample X370,0.209,
P11,Sample X371,0.205,
P12,Sample X372,0.209,
P13,Sample X373,1.377,
P14,Sample X374,1.050,
P15,Sample X375,1.183,
P16,Sample X376,1.092,
P17,Sample X377,1.048,
P18,Sample X378,0.903,
P19,Sample X379,1.047,
P20,Sample X380,0.999,
P21,Sample X381,1.306,
P22,Sample X382,0.967,
P23,Sample X383,0.145,
P24,Sample X384,0.141,
