Well,Content,Raw Data (600),
A01,Sample X1,0.164,
A02,Sample X2,0.159,
A03,Sample X3,0.177,
A04,Sample X4,0.173,
A05,Sample X5,0.196,
A06,Sample X6,0.220,
A07,Sample X7,0.218,
A08,Sample X8,0.209,
A09,Sample X9,0.189,
A10,Sample X10,0.193,
A11,Sample X11,0.178,
A12,Sample X12,0.368,
A13,Sample X13,0.163,
A14,Sample X14,0.189,
A15,Sample X15,0.184,
A16,Sample X16,0.207,
A17,Sample X17,0.223,
A18,Sample X18,1.347,
A19,Sample X19,1.111,
A20,Sample X20,1.480,
A21,Sample X21,1.431,
A22,Sample X22,1.462,
A23,Sample X23,0.153,
A24,Sample X24,0.584,
B01,Sample X25,0.159,
B02,Sample X26,0.161,
B03,Sample X27,1.634,
B04,Sample X28,1.240,
B05,Sample X29,1.767,
B06,Sample X30,2.090,
B07,Sample X31,2.130,
B08,Sample X32,2.148,
B09,Sample X33,1.646,
B10,Sample X34,1.830,
B11,Sample X35,1.592,
B12,Sample X36,1.893,
B13,Sample X37,1.616,
B14,Sample X38,1.583,
B15,Sample X39,1.633,
B16,Sample X40,1.790,
B17,Sample X41,0.197,
B18,Sample X42,1.533,
B19,Sample X43,1.554,
B20,Sample X44,1.693,
B21,Sample X45,1.536,
B22,Sample X46,1.192,
B23,Sample X47,0.145,
B24,Sample X48,0.150,
C01,Sample X49,0.158,
C02,Sample X50,0.160,
C03,Sample X51,0.150,
C04,Sample X52,1.799,
C05,Sample X53,0.156,
C06,Sample X54,1.755,
C07,Sample X55,0.164,
C08,Sample X56,1.809,
C09,Sample X57,1.784,
C10,Sample X58,2.089,
C11,Sample X59,1.760,
C12,Sample X60,0.154,
C13,Sample X61,2.546,
C14,Sample X62,1.965,
C15,Sample X63,0.356,
C16,Sample X64,1.651,
C17,Sample X65,0.153,
C18,Sample X66,2.030,
C19,Sample X67,1.944,
C20,Sample X68,1.741,
C21,Sample X69,1.692,
C22,Sample X70,1.542,
C23,Sample X71,0.141,
C24,Sample X72,0.144,
D01,Sample X73,0.165,
D02,Sample X74,0.166,
D03,Sample X75,1.813,
D04,Sample X76,0.175,
D05,Sample X77,0.193,
D06,Sample X78,1.853,
D07,Sample X79,0.186,
D08,Sample X80,1.904,
D09,Sample X81,2.012,
D10,Sample X82,1.970,
D11,Sample X83,1.875,
D12,Sample X84,1.978,
D13,Sample X85,1.958,
D14,Sample X86,1.934,
D15,Sample X87,2.066,
D16,Sample X88,1.980,
D17,Sample X89,2.398,
D18,Sample X90,1.992,
D19,Sample X91,1.674,
D20,Sample X92,0.150,
D21,Sample X93,0.171,
D22,Sample X94,2.123,
D23,Sample X95,0.146,
D24,Sample X96,0.146,
E01,Sample X97,0.173,
E02,Sample X98,0.156,
E03,Sample X99,1.885,
E04,Sample X100,2.212,
E05,Sample X101,2.082,
E06,Sample X102,2.322,
E07,Sample X103,2.041,
E08,Sample X104,2.165,
