Well,Content,Well Scan: Average (600),
A01,Sample X1,0.053,
A02,Sample X2,0.060,
A03,Sample X3,0.196,
A04,Sample X4,0.211,
A05,Sample X5,0.180,
A06,Sample X6,0.155,
A07,Sample X7,0.142,
A08,Sample X8,0.134,
A09,Sample X9,0.115,
A10,Sample X10,0.104,
A11,Sample X11,0.097,
A12,Sample X12,0.131,
A13,Sample X13,0.140,
A14,Sample X14,0.114,
A15,Sample X15,0.286,
A16,Sample X16,0.120,
A17,Sample X17,0.131,
A18,Sample X18,0.197,
A19,Sample X19,0.207,
A20,Sample X20,0.057,
A21,Sample X21,0.188,
A22,Sample X22,0.115,
A23,Sample X23,0.061,
A24,Sample X24,0.050,
B01,Sample X25,0.061,
B02,Sample X26,0.073,
B03,Sample X27,0.217,
B04,Sample X28,0.170,
B05,Sample X29,0.181,
B06,Sample X30,0.190,
B07,Sample X31,0.188,
B08,Sample X32,0.187,
B09,Sample X33,0.189,
B10,Sample X34,0.286,
B11,Sample X35,0.202,
B12,Sample X36,0.238,
B13,Sample X37,0.185,
B14,Sample X38,0.215,
B15,Sample X39,0.204,
B16,Sample X40,0.192,
B17,Sample X41,0.232,
B18,Sample X42,0.094,
B19,Sample X43,0.190,
B20,Sample X44,0.193,
B21,Sample X45,0.189,
B22,Sample X46,0.170,
B23,Sample X47,0.073,
B24,Sample X48,0.076,
C01,Sample X49,0.060,
C02,Sample X50,0.061,
C03,Sample X51,0.089,
C04,Sample X52,0.085,
C05,Sample X53,0.162,
C06,Sample X54,0.158,
C07,Sample X55,0.178,
C08,Sample X56,0.119,
C09,Sample X57,0.196,
C10,Sample X58,0.363,
C11,Sample X59,0.184,
C12,Sample X60,0.214,
C13,Sample X61,0.176,
C14,Sample X62,0.173,
C15,Sample X63,0.270,
C16,Sample X64,0.119,
C17,Sample X65,0.147,
C18,Sample X66,0.345,
C19,Sample X67,0.160,
C20,Sample X68,0.174,
C21,Sample X69,0.179,
C22,Sample X70,0.179,
C23,Sample X71,0.084,
C24,Sample X72,0.052,
D01,Sample X73,0.071,
D02,Sample X74,0.083,
D03,Sample X75,0.184,
D04,Sample X76,0.173,
D05,Sample X77,0.164,
D06,Sample X78,0.191,
D07,Sample X79,0.149,
D08,Sample X80,0.135,
D09,Sample X81,0.415,
D10,Sample X82,0.167,
D11,Sample X83,0.149,
D12,Sample X84,0.146,
D13,Sample X85,0.157,
D14,Sample X86,0.214,
D15,Sample X87,0.268,
D16,Sample X88,0.206,
D17,Sample X89,0.223,
D18,Sample X90,0.181,
D19,Sample X91,0.174,
D20,Sample X92,0.194,
D21,Sample X93,0.176,
D22,Sample X94,0.192,
D23,Sample X95,0.350,
D24,Sample X96,0.074,
E01,Sample X97,0.060,
E02,Sample X98,0.067,
E03,Sample X99,0.192,
E04,Sample X100,0.206,
E05,Sample X101,0.140,
E06,Sample X102,0.132,
E07,Sample X103,0.168,
E08,Sample X104,0.175,
E09,Sample X105,0.169,
E10,Sample X106,0.153,
E11,Sample X107,0.186,
E12,Sample X108,0.121,
E13,Sample X109,0.210,
E14,Sample X110,0.149,
E15,Sample X111,0.093,
E16,Sample X112,0.195,
E17,Sample X113,0.192,
E18,Sample X114,0.176,
E19,Sample X115,0.141,
E20,Sample X116,0.152,
E21,Sample X117,0.169,
E22,Sample X118,0.173,
E23,Sample X119,0.072,
E24,Sample X120,0.076,
F01,Sample X121,0.059,
F02,Sample X122,0.069,
F03,Sample X123,0.150,
F04,Sample X124,0.181,
F05,Sample X125,0.125,
F06,Sample X126,0.179,
F07,Sample X127,0.126,
F08,Sample X128,0.167,
F09,Sample X129,0.098,
F10,Sample X130,0.183,
F11,Sample X131,0.186,
F12,Sample X132,0.185,
F13,Sample X133,0.187,
F14,Sample X134,0.194,
F15,Sample X135,0.206,
F16,Sample X136,0.181,
F17,Sample X137,0.179,
F18,Sample X138,0.194,
F19,Sample X139,0.206,
F20,Sample X140,0.189,
F21,Sample X141,0.187,
F22,Sample X142,0.192,
F23,Sample X143,0.068,
F24,Sample X144,0.100,
G01,Sample X145,0.057,
G02,Sample X146,0.058,
G03,Sample X147,0.175,
G04,Sample X148,0.146,
G05,Sample X149,0.143,
G06,Sample X150,0.139,
G07,Sample X151,0.140,
G08,Sample X152,0.217,
G09,Sample X153,0.186,
G10,Sample X154,0.192,
G11,Sample X155,0.177,
G12,Sample X156,0.213,
G13,Sample X157,0.227,
G14,Sample X158,0.171,
G15,Sample X159,0.144,
G16,Sample X160,0.202,
G17,Sample X161,0.205,
G18,Sample X162,0.220,
G19,Sample X163,0.142,
G20,Sample X164,0.143,
G21,Sample X165,0.181,
G22,Sample X166,0.187,
G23,Sample X167,0.085,
G24,Sample X168,0.099,
H01,Sample X169,0.059,
H02,Sample X170,0.059,
H03,Sample X171,0.141,
H04,Sample X172,0.171,
H05,Sample X173,0.177,
H06,Sample X174,0.189,
H07,Sample X175,0.140,
H08,Sample X176,0.238,
H09,Sample X177,0.167,
H10,Sample X178,0.191,
H11,Sample X179,0.184,
H12,Sample X180,0.181,
H13,Sample X181,0.178,
H14,Sample X182,0.110,
H15,Sample X183,0.172,
H16,Sample X184,0.177,
H17,Sample X185,0.179,
H18,Sample X186,0.178,
H19,Sample X187,0.108,
H20,Sample X188,0.193,
