Well,Content,Well Scan: Average (600),
A01,Sample X1,0.058,
A02,Sample X2,0.059,
A03,Sample X3,0.164,
A04,Sample X4,0.163,
A05,Sample X5,0.152,
A06,Sample X6,0.122,
A07,Sample X7,0.112,
A08,Sample X8,0.102,
A09,Sample X9,0.090,
A10,Sample X10,0.095,
A11,Sample X11,0.090,
A12,Sample X12,0.107,
A13,Sample X13,0.107,
A14,Sample X14,0.095,
A15,Sample X15,0.111,
A16,Sample X16,0.114,
A17,Sample X17,0.105,
A18,Sample X18,0.209,
A19,Sample X19,0.166,
A20,Sample X20,0.156,
A21,Sample X21,0.154,
A22,Sample X22,0.167,
A23,Sample X23,0.074,
A24,Sample X24,0.068,
B01,Sample X25,0.056,
B02,Sample X26,0.053,
B03,Sample X27,0.131,
B04,Sample X28,0.169,
B05,Sample X29,0.160,
B06,Sample X30,0.141,
B07,Sample X31,0.182,
B08,Sample X32,0.177,
B09,Sample X33,0.190,
B10,Sample X34,0.188,
B11,Sample X35,0.156,
B12,Sample X36,0.188,
B13,Sample X37,0.184,
B14,Sample X38,0.163,
B15,Sample X39,0.194,
B16,Sample X40,0.213,
B17,Sample X41,0.200,
B18,Sample X42,0.169,
B19,Sample X43,0.179,
B20,Sample X44,0.169,
B21,Sample X45,0.170,
B22,Sample X46,0.183,
B23,Sample X47,0.069,
B24,Sample X48,0.065,
C01,Sample X49,0.056,
C02,Sample X50,0.058,
C03,Sample X51,0.162,
C04,Sample X52,0.159,
C05,Sample X53,0.143,
C06,Sample X54,0.163,
C07,Sample X55,0.163,
C08,Sample X56,0.138,
C09,Sample X57,0.179,
C10,Sample X58,0.168,
C11,Sample X59,0.167,
C12,Sample X60,0.104,
C13,Sample X61,0.123,
C14,Sample X62,0.148,
C15,Sample X63,0.153,
C16,Sample X64,0.181,
C17,Sample X65,0.191,
C18,Sample X66,0.180,
C19,Sample X67,0.171,
C20,Sample X68,0.157,
C21,Sample X69,0.172,
C22,Sample X70,0.111,
C23,Sample X71,0.066,
C24,Sample X72,0.068,
D01,Sample X73,0.057,
D02,Sample X74,0.055,
D03,Sample X75,0.183,
D04,Sample X76,0.151,
D05,Sample X77,0.167,
D06,Sample X78,0.166,
D07,Sample X79,0.159,
D08,Sample X80,0.184,
D09,Sample X81,0.143,
D10,Sample X82,0.179,
D11,Sample X83,0.177,
D12,Sample X84,0.183,
D13,Sample X85,0.141,
D14,Sample X86,0.158,
D15,Sample X87,0.192,
D16,Sample X88,0.102,
D17,Sample X89,0.154,
D18,Sample X90,0.177,
D19,Sample X91,0.168,
D20,Sample X92,0.197,
D21,Sample X93,0.175,
D22,Sample X94,0.199,
D23,Sample X95,0.057,
D24,Sample X96,0.074,
E01,Sample X97,0.060,
E02,Sample X98,0.066,
E03,Sample X99,0.163,
E04,Sample X100,0.150,
E05,Sample X101,0.150,
E06,Sample X102,0.162,
E07,Sample X103,0.143,
E08,Sample X104,0.132,
E09,Sample X105,0.174,
E10,Sample X106,0.104,
E11,Sample X107,0.115,
E12,Sample X108,0.161,
E13,Sample X109,0.199,
E14,Sample X110,0.165,
E15,Sample X111,0.150,
E16,Sample X112,0.159,
E17,Sample X113,0.188,
E18,Sample X114,0.150,
E19,Sample X115,0.162,
E20,Sample X116,0.179,
E21,Sample X117,0.173,
E22,Sample X118,0.162,
E23,Sample X119,0.080,
E24,Sample X120,0.072,
F01,Sample X121,0.065,
F02,Sample X122,0.060,
F03,Sample X123,0.132,
F04,Sample X124,0.131,
F05,Sample X125,0.157,
F06,Sample X126,0.162,
F07,Sample X127,0.169,
F08,Sample X128,0.177,
F09,Sample X129,0.179,
F10,Sample X130,0.210,
F11,Sample X131,0.172,
F12,Sample X132,0.173,
F13,Sample X133,0.088,
F14,Sample X134,0.178,
F15,Sample X135,0.101,
F16,Sample X136,0.214,
F17,Sample X137,0.200,
F18,Sample X138,0.153,
F19,Sample X139,0.180,
F20,Sample X140,0.182,
F21,Sample X141,0.196,
F22,Sample X142,0.178,
F23,Sample X143,0.070,
F24,Sample X144,0.076,
G01,Sample X145,0.063,
G02,Sample X146,0.061,
G03,Sample X147,0.151,
G04,Sample X148,0.162,
G05,Sample X149,0.167,
G06,Sample X150,0.184,
G07,Sample X151,0.122,
G08,Sample X152,0.157,
G09,Sample X153,0.119,
G10,Sample X154,0.185,
G11,Sample X155,0.179,
G12,Sample X156,0.254,
G13,Sample X157,0.184,
G14,Sample X158,0.204,
G15,Sample X159,0.189,
G16,Sample X160,0.186,
G17,Sample X161,0.180,
G18,Sample X162,0.194,
G19,Sample X163,0.192,
G20,Sample X164,0.177,
G21,Sample X165,0.171,
G22,Sample X166,0.137,
G23,Sample X167,0.087,
G24,Sample X168,0.099,
H01,Sample X169,0.056,
H02,Sample X170,0.061,
H03,Sample X171,0.165,
H04,Sample X172,0.109,
H05,Sample X173,0.201,
H06,Sample X174,0.144,
H07,Sample X175,0.139,
H08,Sample X176,0.196,
H09,Sample X177,0.198,
H10,Sample X178,0.194,
H11,Sample X179,0.189,
H12,Sample X180,0.222,
H13,Sample X181,0.187,
H14,Sample X182,0.196,
H15,Sample X183,0.195,
H16,Sample X184,0.187,
H17,Sample X185,0.180,
H18,Sample X186,0.191,
H19,Sample X187,0.184,
H20,Sample X188,0.196,
H21,Sample X189,0.194,
H22,Sample X190,0.178,
H23,Sample X191,0.069,
H24,Sample X192,0.068,
I01,Sample X193,0.053,
I02,Sample X194,0.057,
I03,Sample X195,0.135,
I04,Sample X196,0.159,
I05,Sample X197,0.133,
I06,Sample X198,0.172,
I07,Sample X199,0.185,
I08,Sample X200,0.157,
I09,Sample X201,0.104,
I10,Sample X202,0.184,
I11,Sample X203,0.144,
I12,Sample X204,0.156,
I13,Sample X205,0.185,
I14,Sample X206,0.175,
I15,Sample X207,0.147,
I16,Sample X208,0.161,
I17,Sample X209,0.126,
I18,Sample X210,0.170,
I19,Sample X211,0.180,
I20,Sample X212,0.145,
I21,Sample X213,0.111,
I22,Sample X214,0.101,
I23,Sample X215,0.068,
I24,Sample X216,0.091,
J01,Sample X217,0.054,
J02,Sample X218,0.054,
J03,Sample X219,0.161,
J04,Sample X220,0.164,
J05,Sample X221,0.170,
J06,Sample X222,0.237,
J07,Sample X223,0.190,
J08,Sample X224,0.172,
J09,Sample X225,0.213,
J10,Sample X226,0.173,
J11,Sample X227,0.123,
J12,Sample X228,0.185,
J13,Sample X229,0.174,
J14,Sample X230,0.167,
J15,Sample X231,0.183,
J16,Sample X232,0.174,
J17,Sample X233,0.176,
J18,Sample X234,0.176,
J19,Sample X235,0.183,
J20,Sample X236,0.173,
J21,Sample X237,0.212,
J22,Sample X238,0.161,
J23,Sample X239,0.055,
J24,Sample X240,0.090,
K01,Sample X241,0.055,
K02,Sample X242,0.056,
K03,Sample X243,0.138,
K04,Sample X244,0.172,
K05,Sample X245,0.155,
K06,Sample X246,0.155,
K07,Sample X247,0.161,
K08,Sample X248,0.171,
K09,Sample X249,0.151,
K10,Sample X250,0.174,
K11,Sample X251,0.180,
K12,Sample X252,0.175,
K13,Sample X253,0.153,
K14,Sample X254,0.169,
K15,Sample X255,0.113,
K16,Sample X256,0.297,
K17,Sample X257,0.189,
K18,Sample X258,0.121,
K19,Sample X259,0.176,
K20,Sample X260,0.166,
K21,Sample X261,0.144,
K22,Sample X262,0.110,
K23,Sample X263,0.059,
K24,Sample X264,0.064,
L01,Sample X265,0.052,
L02,Sample X266,0.050,
L03,Sample X267,0.161,
L04,Sample X268,0.136,
L05,Sample X269,0.156,
L06,Sample X270,0.174,
L07,Sample X271,0.163,
L08,Sample X272,0.156,
L09,Sample X273,0.130,
L10,Sample X274,0.167,
L11,Sample X275,0.085,
L12,Sample X276,0.176,
L13,Sample X277,0.185,
L14,Sample X278,0.182,
L15,Sample X279,0.104,
L16,Sample X280,0.172,
L17,Sample X281,0.171,
L18,Sample X282,0.160,
L19,Sample X283,0.158,
L20,Sample X284,0.179,
L21,Sample X285,0.178,
L22,Sample X286,0.163,
L23,Sample X287,0.054,
L24,Sample X288,0.060,
M01,Sample X289,0.052,
M02,Sample X290,0.051,
M03,Sample X291,0.149,
M04,Sample X292,0.144,
M05,Sample X293,0.141,
M06,Sample X294,0.147,
M07,Sample X295,0.144,
M08,Sample X296,0.162,
M09,Sample X297,0.180,
M10,Sample X298,0.074,
M11,Sample X299,0.146,
M12,Sample X300,0.175,
M13,Sample X301,0.179,
M14,Sample X302,0.110,
M15,Sample X303,0.114,
M16,Sample X304,0.133,
M17,Sample X305,0.144,
M18,Sample X306,0.158,
M19,Sample X307,0.151,
M20,Sample X308,0.152,
M21,Sample X309,0.171,
M22,Sample X310,0.185,
M23,Sample X311,0.063,
M24,Sample X312,0.074,
N01,Sample X313,0.050,
N02,Sample X314,0.049,
N03,Sample X315,0.130,
N04,Sample X316,0.156,
N05,Sample X317,0.104,
N06,Sample X318,0.154,
N07,Sample X319,0.155,
N08,Sample X320,0.157,
N09,Sample X321,0.174,
N10,Sample X322,0.173,
N11,Sample X323,0.519,
N12,Sample X324,0.181,
N13,Sample X325,0.198,
N14,Sample X326,0.230,
N15,Sample X327,0.132,
N16,Sample X328,0.164,
N17,Sample X329,0.152,
N18,Sample X330,0.150,
N19,Sample X331,0.158,
N20,Sample X332,0.164,
N21,Sample X333,0.156,
