Well,Content,Well Scan: Average (600),
A01,Sample X1,0.087,
A02,Sample X2,0.065,
A03,Sample X3,0.197,
A04,Sample X4,0.193,
A05,Sample X5,0.171,
A06,Sample X6,0.136,
A07,Sample X7,0.098,
A08,Sample X8,0.101,
A09,Sample X9,0.103,
A10,Sample X10,0.094,
A11,Sample X11,0.088,
A12,Sample X12,0.155,
A13,Sample X13,0.123,
A14,Sample X14,0.098,
A15,Sample X15,0.107,
A16,Sample X16,0.118,
A17,Sample X17,0.109,
A18,Sample X18,0.215,
A19,Sample X19,0.185,
A20,Sample X20,0.214,
A21,Sample X21,0.184,
A22,Sample X22,0.201,
A23,Sample X23,0.051,
A24,Sample X24,0.053,
B01,Sample X25,0.854,
B02,Sample X26,0.068,
B03,Sample X27,0.219,
B04,Sample X28,0.196,
B05,Sample X29,0.215,
B06,Sample X30,0.200,
B07,Sample X31,0.211,
B08,Sample X32,0.160,
B09,Sample X33,0.207,
B10,Sample X34,0.198,
B11,Sample X35,0.185,
B12,Sample X36,0.221,
B13,Sample X37,0.170,
B14,Sample X38,0.171,
B15,Sample X39,0.198,
B16,Sample X40,0.190,
B17,Sample X41,0.189,
B18,Sample X42,0.171,
B19,Sample X43,0.190,
B20,Sample X44,0.159,
B21,Sample X45,0.151,
B22,Sample X46,0.181,
B23,Sample X47,0.056,
B24,Sample X48,0.049,
C01,Sample X49,0.061,
C02,Sample X50,0.062,
C03,Sample X51,0.223,
C04,Sample X52,0.123,
C05,Sample X53,0.170,
C06,Sample X54,0.159,
C07,Sample X55,0.168,
C08,Sample X56,0.148,
C09,Sample X57,0.179,
C10,Sample X58,0.108,
C11,Sample X59,0.163,
C12,Sample X60,0.154,
C13,Sample X61,0.170,
C14,Sample X62,0.131,
C15,Sample X63,0.100,
C16,Sample X64,0.101,
C17,Sample X65,0.122,
C18,Sample X66,0.147,
C19,Sample X67,0.140,
C20,Sample X68,0.120,
C21,Sample X69,0.104,
C22,Sample X70,0.134,
C23,Sample X71,0.267,
C24,Sample X72,0.076,
D01,Sample X73,0.063,
D02,Sample X74,0.065,
D03,Sample X75,0.099,
D04,Sample X76,0.142,
D05,Sample X77,0.201,
D06,Sample X78,0.161,
D07,Sample X79,0.132,
D08,Sample X80,0.170,
D09,Sample X81,0.129,
D10,Sample X82,0.148,
D11,Sample X83,0.122,
D12,Sample X84,0.152,
D13,Sample X85,0.148,
D14,Sample X86,0.125,
D15,Sample X87,0.125,
D16,Sample X88,0.114,
D17,Sample X89,0.124,
D18,Sample X90,0.127,
D19,Sample X91,0.124,
D20,Sample X92,0.132,
D21,Sample X93,0.136,
D22,Sample X94,0.099,
D23,Sample X95,0.056,
D24,Sample X96,0.051,
E01,Sample X97,0.062,
E02,Sample X98,0.074,
E03,Sample X99,0.187,
E04,Sample X100,0.147,
E05,Sample X101,0.157,
E06,Sample X102,0.131,
E07,Sample X103,0.143,
E08,Sample X104,0.144,
E09,Sample X105,0.137,
E10,Sample X106,0.126,
E11,Sample X107,0.105,
E12,Sample X108,0.144,
E13,Sample X109,0.153,
E14,Sample X110,0.121,
E15,Sample X111,0.113,
E16,Sample X112,0.102,
E17,Sample X113,0.129,
E18,Sample X114,0.133,
E19,Sample X115,0.119,
E20,Sample X116,0.130,
E21,Sample X117,0.139,
E22,Sample X118,0.104,
E23,Sample X119,0.062,
E24,Sample X120,0.050,
F01,Sample X121,0.067,
F02,Sample X122,0.069,
F03,Sample X123,0.188,
F04,Sample X124,0.115,
F05,Sample X125,0.132,
F06,Sample X126,0.153,
F07,Sample X127,0.120,
F08,Sample X128,0.134,
F09,Sample X129,0.141,
F10,Sample X130,0.097,
F11,Sample X131,0.136,
F12,Sample X132,0.190,
F13,Sample X133,0.168,
F14,Sample X134,0.110,
F15,Sample X135,0.151,
F16,Sample X136,0.092,
F17,Sample X137,0.084,
F18,Sample X138,0.121,
F19,Sample X139,0.104,
F20,Sample X140,0.109,
F21,Sample X141,0.108,
F22,Sample X142,0.123,
F23,Sample X143,0.054,
F24,Sample X144,0.059,
G01,Sample X145,0.066,
G02,Sample X146,0.063,
G03,Sample X147,0.119,
G04,Sample X148,0.150,
G05,Sample X149,0.117,
G06,Sample X150,0.119,
G07,Sample X151,0.125,
G08,Sample X152,0.132,
G09,Sample X153,0.158,
G10,Sample X154,0.139,
G11,Sample X155,0.140,
G12,Sample X156,0.141,
G13,Sample X157,0.203,
G14,Sample X158,0.146,
G15,Sample X159,0.151,
G16,Sample X160,0.136,
G17,Sample X161,0.118,
G18,Sample X162,0.233,
G19,Sample X163,0.110,
G20,Sample X164,0.120,
G21,Sample X165,0.111,
G22,Sample X166,0.079,
G23,Sample X167,0.051,
G24,Sample X168,0.065,
H01,Sample X169,0.080,
