Well,Content,Raw Data (600),
A01,Sample X1,0.909,
A02,Sample X2,0.149,
A03,Sample X3,0.856,
A04,Sample X4,0.696,
A05,Sample X5,0.453,
A06,Sample X6,0.356,
A07,Sample X7,0.315,
A08,Sample X8,0.468,
A09,Sample X9,0.511,
A10,Sample X10,0.551,
A11,Sample X11,0.554,
A12,Sample X12,0.667,
A13,Sample X13,0.428,
A14,Sample X14,0.425,
A15,Sample X15,0.455,
A16,Sample X16,0.473,
A17,Sample X17,0.444,
A18,Sample X18,2.074,
A19,Sample X19,2.032,
A20,Sample X20,2.050,
A21,Sample X21,2.061,
A22,Sample X22,2.076,
A23,Sample X23,0.185,
A24,Sample X24,0.187,
B01,Sample X25,0.344,
B02,Sample X26,0.159,
B03,Sample X27,1.658,
B04,Sample X28,1.939,
B05,Sample X29,2.030,
B06,Sample X30,1.965,
B07,Sample X31,2.078,
B08,Sample X32,1.929,
B09,Sample X33,1.815,
B10,Sample X34,1.979,
B11,Sample X35,1.922,
B12,Sample X36,1.908,
B13,Sample X37,2.044,
B14,Sample X38,2.046,
B15,Sample X39,1.963,
B16,Sample X40,2.030,
B17,Sample X41,1.944,
B18,Sample X42,2.136,
B19,Sample X43,2.078,
B20,Sample X44,1.891,
B21,Sample X45,2.119,
B22,Sample X46,1.842,
B23,Sample X47,0.138,
B24,Sample X48,0.153,
C01,Sample X49,0.158,
C02,Sample X50,0.148,
C03,Sample X51,0.397,
C04,Sample X52,0.635,
C05,Sample X53,0.956,
C06,Sample X54,0.402,
C07,Sample X55,1.258,
C08,Sample X56,1.054,
C09,Sample X57,1.649,
C10,Sample X58,1.768,
C11,Sample X59,1.832,
C12,Sample X60,1.396,
C13,Sample X61,1.889,
C14,Sample X62,1.519,
C15,Sample X63,0.819,
C16,Sample X64,0.388,
C17,Sample X65,0.949,
C18,Sample X66,0.866,
C19,Sample X67,1.293,
C20,Sample X68,1.645,
C21,Sample X69,1.660,
C22,Sample X70,1.807,
C23,Sample X71,0.147,
C24,Sample X72,0.136,
D01,Sample X73,0.165,
D02,Sample X74,0.158,
D03,Sample X75,1.541,
D04,Sample X76,1.931,
D05,Sample X77,0.623,
D06,Sample X78,2.086,
D07,Sample X79,0.638,
D08,Sample X80,1.993,
D09,Sample X81,1.031,
D10,Sample X82,2.118,
D11,Sample X83,1.040,
D12,Sample X84,1.936,
D13,Sample X85,1.296,
D14,Sample X86,1.915,
D15,Sample X87,1.915,
D16,Sample X88,1.985,
D17,Sample X89,1.912,
D18,Sample X90,1.976,
D19,Sample X91,1.512,
D20,Sample X92,1.438,
D21,Sample X93,1.692,
D22,Sample X94,1.591,
D23,Sample X95,0.139,
D24,Sample X96,0.135,
E01,Sample X97,1.074,
E02,Sample X98,0.152,
E03,Sample X99,1.262,
E04,Sample X100,0.668,
E05,Sample X101,0.585,
E06,Sample X102,0.727,
E07,Sample X103,1.343,
E08,Sample X104,1.798,
E09,Sample X105,1.011,
E10,Sample X106,1.454,
E11,Sample X107,1.654,
E12,Sample X108,0.445,
E13,Sample X109,0.900,
E14,Sample X110,0.435,
E15,Sample X111,1.141,
E16,Sample X112,1.895,
E17,Sample X113,0.815,
E18,Sample X114,1.802,
E19,Sample X115,0.350,
E20,Sample X116,0.617,
E21,Sample X117,1.346,
E22,Sample X118,1.210,
E23,Sample X119,0.132,
E24,Sample X120,0.141,
F01,Sample X121,0.158,
F02,Sample X122,0.149,
F03,Sample X123,0.333,
F04,Sample X124,1.836,
F05,Sample X125,0.496,
F06,Sample X126,1.766,
F07,Sample X127,0.482,
F08,Sample X128,1.940,
F09,Sample X129,1.660,
F10,Sample X130,1.859,
F11,Sample X131,1.704,
F12,Sample X132,1.849,
F13,Sample X133,1.760,
F14,Sample X134,1.704,
F15,Sample X135,1.535,
F16,Sample X136,1.628,
F17,Sample X137,1.450,
F18,Sample X138,1.853,
F19,Sample X139,1.854,
F20,Sample X140,1.861,
F21,Sample X141,1.734,
F22,Sample X142,1.677,
F23,Sample X143,0.132,
F24,Sample X144,0.186,
G01,Sample X145,0.175,
G02,Sample X146,0.150,
G03,Sample X147,0.954,
G04,Sample X148,0.507,
G05,Sample X149,0.612,
G06,Sample X150,0.432,
G07,Sample X151,0.471,
G08,Sample X152,0.625,
G09,Sample X153,0.461,
G10,Sample X154,2.103,
G11,Sample X155,0.483,
G12,Sample X156,0.642,
G13,Sample X157,1.361,
G14,Sample X158,0.778,
G15,Sample X159,1.434,
G16,Sample X160,1.696,
G17,Sample X161,2.113,
G18,Sample X162,1.398,
G19,Sample X163,0.436,
G20,Sample X164,1.832,
G21,Sample X165,1.299,
G22,Sample X166,1.492,
G23,Sample X167,0.190,
G24,Sample X168,0.320,
H01,Sample X169,0.248,
H02,Sample X170,0.145,
H03,Sample X171,1.022,
H04,Sample X172,1.724,
H05,Sample X173,0.686,
H06,Sample X174,1.880,
H07,Sample X175,0.617,
H08,Sample X176,1.813,
H09,Sample X177,1.068,
H10,Sample X178,1.840,
H11,Sample X179,1.962,
H12,Sample X180,1.792,
H13,Sample X181,0.776,
H14,Sample X182,1.768,
H15,Sample X183,1.740,
H16,Sample X184,1.907,
H17,Sample X185,1.040,
H18,Sample X186,1.897,
H19,Sample X187,1.285,
H20,Sample X188,2.020,
H21,Sample X189,1.628,
H22,Sample X190,1.813,
H23,Sample X191,0.146,
H24,Sample X192,0.168,
I01,Sample X193,0.140,
I02,Sample X194,0.140,
I03,Sample X195,0.616,
I04,Sample X196,1.388,
I05,Sample X197,1.068,
I06,Sample X198,1.085,
I07,Sample X199,0.597,
I08,Sample X200,0.368,
I09,Sample X201,1.260,
I10,Sample X202,1.370,
I11,Sample X203,0.758,
I12,Sample X204,1.675,
I13,Sample X205,2.179,
I14,Sample X206,1.341,
I15,Sample X207,1.476,
I16,Sample X208,2.117,
I17,Sample X209,1.623,
I18,Sample X210,2.059,
I19,Sample X211,1.399,
I20,Sample X212,1.203,
I21,Sample X213,0.426,
I22,Sample X214,1.080,
I23,Sample X215,0.141,
I24,Sample X216,0.135,
J01,Sample X217,0.142,
J02,Sample X218,0.144,
J03,Sample X219,1.673,
J04,Sample X220,1.744,
J05,Sample X221,1.552,
J06,Sample X222,1.936,
J07,Sample X223,1.866,
J08,Sample X224,2.050,
J09,Sample X225,1.687,
J10,Sample X226,2.016,
J11,Sample X227,0.973,
J12,Sample X228,2.099,
J13,Sample X229,0.426,
J14,Sample X230,2.019,
J15,Sample X231,0.388,
J16,Sample X232,2.086,
J17,Sample X233,1.922,
J18,Sample X234,1.925,
J19,Sample X235,1.348,
J20,Sample X236,1.948,
J21,Sample X237,0.476,
J22,Sample X238,1.847,
J23,Sample X239,0.136,
J24,Sample X240,0.137,
K01,Sample X241,0.139,
K02,Sample X242,0.153,
K03,Sample X243,1.533,
K04,Sample X244,0.626,
K05,Sample X245,1.917,
K06,Sample X246,1.735,
K07,Sample X247,1.769,
K08,Sample X248,1.921,
K09,Sample X249,1.335,
K10,Sample X250,1.105,
K11,Sample X251,1.399,
K12,Sample X252,1.899,
K13,Sample X253,1.965,
K14,Sample X254,1.318,
K15,Sample X255,0.478,
K16,Sample X256,1.341,
K17,Sample X257,1.304,
K18,Sample X258,1.774,
K19,Sample X259,0.380,
K20,Sample X260,1.990,
K21,Sample X261,1.979,
K22,Sample X262,2.133,
K23,Sample X263,0.125,
K24,Sample X264,0.130,
L01,Sample X265,0.138,
L02,Sample X266,0.146,
L03,Sample X267,1.438,
L04,Sample X268,1.837,
L05,Sample X269,1.576,
L06,Sample X270,2.064,
L07,Sample X271,1.932,
L08,Sample X272,2.119,
L09,Sample X273,1.659,
L10,Sample X274,1.982,
L11,Sample X275,1.673,
L12,Sample X276,2.012,
L13,Sample X277,0.827,
L14,Sample X278,2.148,
L15,Sample X279,1.640,
L16,Sample X280,2.014,
L17,Sample X281,1.696,
L18,Sample X282,2.091,
L19,Sample X283,1.636,
L20,Sample X284,1.774,
L21,Sample X285,1.113,
L22,Sample X286,1.696,
L23,Sample X287,0.130,
L24,Sample X288,0.203,
M01,Sample X289,0.142,
M02,Sample X290,0.142,
M03,Sample X291,1.571,
M04,Sample X292,1.784,
M05,Sample X293,1.361,
M06,Sample X294,2.021,
M07,Sample X295,2.154,
M08,Sample X296,1.797,
M09,Sample X297,1.528,
M10,Sample X298,2.019,
M11,Sample X299,1.887,
M12,Sample X300,1.901,
M13,Sample X301,1.223,
M14,Sample X302,1.826,
M15,Sample X303,1.466,
M16,Sample X304,1.734,
M17,Sample X305,0.669,
M18,Sample X306,1.800,
M19,Sample X307,1.580,
M20,Sample X308,1.962,
M21,Sample X309,0.327,
M22,Sample X310,0.634,
M23,Sample X311,0.126,
M24,Sample X312,0.121,
N01,Sample X313,0.141,
N02,Sample X314,0.157,
N03,Sample X315,1.405,
N04,Sample X316,1.921,
N05,Sample X317,1.781,
N06,Sample X318,1.786,
N07,Sample X319,2.025,
N08,Sample X320,2.181,
N09,Sample X321,2.121,
N10,Sample X322,1.996,
N11,Sample X323,1.942,
N12,Sample X324,2.039,
N13,Sample X325,2.098,
N14,Sample X326,1.967,
N15,Sample X327,2.062,
N16,Sample X328,1.914,
N17,Sample X329,1.944,
N18,Sample X330,2.057,
N19,Sample X331,1.914,
N20,Sample X332,2.024,
N21,Sample X333,1.903,
N22,Sample X334,2.044,
N23,Sample X335,0.122,
N24,Sample X336,0.122,
O01,Sample X337,0.909,
O02,Sample X338,0.139,
O03,Sample X339,1.592,
O04,Sample X340,1.668,
O05,Sample X341,1.913,
O06,Sample X342,1.905,
O07,Sample X343,1.927,
O08,Sample X344,1.963,
O09,Sample X345,1.741,
O10,Sample X346,1.915,
O11,Sample X347,2.055,
O12,Sample X348,2.148,
O13,Sample X349,1.942,
O14,Sample X350,2.069,
O15,Sample X351,2.029,
O16,Sample X352,1.991,
O17,Sample X353,1.914,
O18,Sample X354,2.050,
O19,Sample X355,2.224,
O20,Sample X356,1.951,
O21,Sample X357,2.196,
O22,Sample X358,1.898,
O23,Sample X359,0.133,
O24,Sample X360,0.121,
P01,Sample X361,0.143,
P02,Sample X362,0.142,
P03,Sample X363,0.442,
P04,Sample X364,0.453,
P05,Sample X365,0.358,
