Well,Content,Raw Data (600),
A01,Sample X1,0.148,
A02,Sample X2,0.156,
A03,Sample X3,0.799,
A04,Sample X4,0.634,
A05,Sample X5,0.389,
A06,Sample X6,0.318,
A07,Sample X7,0.279,
A08,Sample X8,0.472,
A09,Sample X9,0.533,
A10,Sample X10,0.473,
A11,Sample X11,0.471,
A12,Sample X12,0.522,
A13,Sample X13,0.455,
A14,Sample X14,0.433,
A15,Sample X15,0.461,
A16,Sample X16,0.462,
A17,Sample X17,0.453,
A18,Sample X18,1.689,
A19,Sample X19,1.848,
A20,Sample X20,1.729,
A21,Sample X21,1.796,
A22,Sample X22,2.012,
A23,Sample X23,0.134,
A24,Sample X24,0.130,
B01,Sample X25,0.148,
B02,Sample X26,0.160,
B03,Sample X27,1.342,
B04,Sample X28,1.375,
B05,Sample X29,1.322,
B06,Sample X30,1.385,
B07,Sample X31,1.409,
B08,Sample X32,1.396,
B09,Sample X33,1.419,
B10,Sample X34,1.435,
B11,Sample X35,1.433,
B12,Sample X36,1.507,
B13,Sample X37,1.337,
B14,Sample X38,1.390,
B15,Sample X39,1.438,
B16,Sample X40,1.436,
B17,Sample X41,1.554,
B18,Sample X42,1.787,
B19,Sample X43,1.520,
B20,Sample X44,1.667,
B21,Sample X45,1.789,
B22,Sample X46,1.808,
B23,Sample X47,0.126,
B24,Sample X48,0.130,
C01,Sample X49,0.147,
C02,Sample X50,0.173,
C03,Sample X51,1.276,
C04,Sample X52,1.294,
C05,Sample X53,1.190,
C06,Sample X54,1.165,
C07,Sample X55,1.347,
C08,Sample X56,1.508,
C09,Sample X57,1.262,
C10,Sample X58,1.132,
C11,Sample X59,1.288,
C12,Sample X60,1.367,
C13,Sample X61,1.267,
C14,Sample X62,0.747,
C15,Sample X63,1.249,
C16,Sample X64,1.252,
C17,Sample X65,1.315,
C18,Sample X66,1.305,
C19,Sample X67,1.435,
C20,Sample X68,1.690,
C21,Sample X69,1.375,
C22,Sample X70,1.361,
C23,Sample X71,0.133,
C24,Sample X72,0.144,
D01,Sample X73,0.147,
D02,Sample X74,0.147,
D03,Sample X75,1.183,
D04,Sample X76,1.102,
D05,Sample X77,1.506,
D06,Sample X78,1.119,
D07,Sample X79,1.028,
D08,Sample X80,1.355,
D09,Sample X81,1.264,
D10,Sample X82,1.185,
D11,Sample X83,1.210,
D12,Sample X84,1.906,
D13,Sample X85,1.208,
D14,Sample X86,1.357,
D15,Sample X87,1.214,
D16,Sample X88,1.216,
D17,Sample X89,1.297,
D18,Sample X90,1.112,
D19,Sample X91,1.347,
D20,Sample X92,1.384,
D21,Sample X93,1.219,
D22,Sample X94,1.407,
D23,Sample X95,0.135,
D24,Sample X96,0.151,
E01,Sample X97,0.144,
E02,Sample X98,0.146,
E03,Sample X99,1.078,
E04,Sample X100,1.328,
