Well,Content,Well Scan: Average (600),
A01,Sample X1,0.044,
A02,Sample X2,0.046,
A03,Sample X3,0.083,
A04,Sample X4,0.081,
A05,Sample X5,0.070,
A06,Sample X6,0.073,
A07,Sample X7,0.073,
A08,Sample X8,0.074,
A09,Sample X9,0.079,
A10,Sample X10,0.078,
A11,Sample X11,0.080,
A12,Sample X12,0.097,
A13,Sample X13,0.081,
A14,Sample X14,0.078,
A15,Sample X15,0.078,
A16,Sample X16,0.082,
A17,Sample X17,0.090,
A18,Sample X18,0.095,
A19,Sample X19,0.117,
A20,Sample X20,0.093,
A21,Sample X21,0.105,
A22,Sample X22,0.096,
A23,Sample X23,0.076,
A24,Sample X24,0.070,
B01,Sample X25,0.057,
B02,Sample X26,0.060,
B03,Sample X27,0.091,
B04,Sample X28,0.088,
B05,Sample X29,0.090,
B06,Sample X30,0.091,
B07,Sample X31,0.089,
B08,Sample X32,0.103,
B09,Sample X33,0.200,
B10,Sample X34,0.242,
B11,Sample X35,0.259,
B12,Sample X36,0.274,
B13,Sample X37,0.103,
B14,Sample X38,0.174,
B15,Sample X39,0.119,
B16,Sample X40,0.097,
B17,Sample X41,0.175,
B18,Sample X42,0.088,
B19,Sample X43,0.099,
B20,Sample X44,0.123,
B21,Sample X45,0.114,
B22,Sample X46,0.107,
B23,Sample X47,0.107,
B24,Sample X48,0.050,
C01,Sample X49,0.058,
C02,Sample X50,0.052,
C03,Sample X51,0.088,
C04,Sample X52,0.089,
C05,Sample X53,0.080,
C06,Sample X54,0.093,
C07,Sample X55,0.108,
C08,Sample X56,0.109,
C09,Sample X57,0.152,
C10,Sample X58,0.293,
C11,Sample X59,0.214,
C12,Sample X60,0.135,
C13,Sample X61,0.282,
C14,Sample X62,0.335,
C15,Sample X63,0.146,
C16,Sample X64,0.150,
C17,Sample X65,0.106,
C18,Sample X66,0.086,
C19,Sample X67,0.106,
C20,Sample X68,0.094,
C21,Sample X69,0.239,
C22,Sample X70,0.100,
C23,Sample X71,0.071,
C24,Sample X72,0.080,
D01,Sample X73,0.054,
D02,Sample X74,0.061,
D03,Sample X75,0.105,
D04,Sample X76,0.103,
D05,Sample X77,0.091,
D06,Sample X78,0.089,
D07,Sample X79,0.189,
D08,Sample X80,0.300,
D09,Sample X81,0.256,
D10,Sample X82,0.412,
D11,Sample X83,0.404,
D12,Sample X84,0.286,
D13,Sample X85,0.395,
D14,Sample X86,0.532,
D15,Sample X87,0.417,
D16,Sample X88,0.245,
D17,Sample X89,0.131,
D18,Sample X90,0.105,
D19,Sample X91,0.296,
D20,Sample X92,0.128,
D21,Sample X93,0.087,
D22,Sample X94,0.198,
D23,Sample X95,0.090,
D24,Sample X96,0.059,
E01,Sample X97,0.070,
E02,Sample X98,0.064,
E03,Sample X99,0.107,
E04,Sample X100,0.100,
E05,Sample X101,0.084,
E06,Sample X102,0.158,
E07,Sample X103,0.206,
E08,Sample X104,0.219,
E09,Sample X105,0.187,
E10,Sample X106,0.374,
E11,Sample X107,0.495,
E12,Sample X108,0.455,
E13,Sample X109,0.344,
E14,Sample X110,0.303,
E15,Sample X111,0.384,
E16,Sample X112,0.435,
E17,Sample X113,0.174,
E18,Sample X114,0.134,
E19,Sample X115,0.404,
E20,Sample X116,0.310,
E21,Sample X117,0.116,
E22,Sample X118,0.115,
E23,Sample X119,0.084,
E24,Sample X120,0.102,
F01,Sample X121,0.076,
F02,Sample X122,0.076,
F03,Sample X123,0.104,
F04,Sample X124,0.110,
F05,Sample X125,0.114,
F06,Sample X126,0.247,
F07,Sample X127,0.286,
F08,Sample X128,0.210,
F09,Sample X129,0.191,
F10,Sample X130,0.503,
F11,Sample X131,0.416,
F12,Sample X132,0.481,
F13,Sample X133,0.414,
F14,Sample X134,0.408,
F15,Sample X135,0.200,
F16,Sample X136,0.320,
F17,Sample X137,0.172,
F18,Sample X138,0.115,
F19,Sample X139,0.150,
F20,Sample X140,0.394,
F21,Sample X141,0.260,
F22,Sample X142,0.192,
F23,Sample X143,0.104,
F24,Sample X144,0.101,
G01,Sample X145,0.089,
G02,Sample X146,0.071,
G03,Sample X147,0.119,
G04,Sample X148,0.106,
G05,Sample X149,0.126,
G06,Sample X150,0.150,
G07,Sample X151,0.316,
G08,Sample X152,0.109,
G09,Sample X153,0.161,
G10,Sample X154,0.235,
G11,Sample X155,0.404,
G12,Sample X156,0.211,
G13,Sample X157,0.458,
G14,Sample X158,0.170,
G15,Sample X159,0.263,
G16,Sample X160,0.186,
G17,Sample X161,0.257,
G18,Sample X162,0.168,
G19,Sample X163,0.127,
G20,Sample X164,0.217,
G21,Sample X165,0.305,
G22,Sample X166,0.126,
G23,Sample X167,0.113,
G24,Sample X168,0.106,
H01,Sample X169,0.086,
H02,Sample X170,0.073,
H03,Sample X171,0.140,
H04,Sample X172,0.180,
H05,Sample X173,0.093,
H06,Sample X174,0.169,
H07,Sample X175,0.167,
H08,Sample X176,0.116,
H09,Sample X177,0.194,
H10,Sample X178,0.387,
H11,Sample X179,0.356,
H12,Sample X180,0.481,
H13,Sample X181,0.472,
H14,Sample X182,0.464,
H15,Sample X183,0.239,
H16,Sample X184,0.528,
H17,Sample X185,0.316,
H18,Sample X186,0.361,
H19,Sample X187,0.419,
H20,Sample X188,0.423,
H21,Sample X189,0.185,
H22,Sample X190,0.136,
H23,Sample X191,0.172,
H24,Sample X192,0.110,
I01,Sample X193,0.084,
I02,Sample X194,0.179,
I03,Sample X195,0.125,
I04,Sample X196,0.120,
I05,Sample X197,0.133,
I06,Sample X198,0.124,
I07,Sample X199,0.216,
I08,Sample X200,0.206,
I09,Sample X201,0.277,
I10,Sample X202,0.197,
I11,Sample X203,0.311,
I12,Sample X204,0.314,
I13,Sample X205,0.260,
I14,Sample X206,0.126,
I15,Sample X207,0.143,
