Well,Content,Well Scan: Average (600),
A01,Sample X1,0.060,
A02,Sample X2,0.066,
A03,Sample X3,0.075,
A04,Sample X4,0.083,
A05,Sample X5,0.101,
A06,Sample X6,0.081,
A07,Sample X7,0.088,
A08,Sample X8,0.090,
A09,Sample X9,0.092,
A10,Sample X10,0.090,
A11,Sample X11,0.093,
A12,Sample X12,0.107,
A13,Sample X13,0.090,
A14,Sample X14,0.085,
A15,Sample X15,0.088,
A16,Sample X16,0.089,
A17,Sample X17,0.099,
A18,Sample X18,0.165,
A19,Sample X19,0.168,
A20,Sample X20,0.170,
A21,Sample X21,0.167,
A22,Sample X22,0.168,
A23,Sample X23,0.064,
A24,Sample X24,0.067,
B01,Sample X25,0.055,
B02,Sample X26,0.059,
B03,Sample X27,0.065,
B04,Sample X28,0.168,
B05,Sample X29,0.147,
B06,Sample X30,0.345,
B07,Sample X31,0.149,
B08,Sample X32,0.171,
B09,Sample X33,0.173,
B10,Sample X34,0.187,
B11,Sample X35,0.087,
B12,Sample X36,0.160,
B13,Sample X37,0.144,
B14,Sample X38,0.158,
B15,Sample X39,0.171,
B16,Sample X40,0.171,
B17,Sample X41,0.198,
B18,Sample X42,0.351,
B19,Sample X43,0.391,
B20,Sample X44,0.360,
B21,Sample X45,0.207,
B22,Sample X46,0.271,
B23,Sample X47,0.060,
B24,Sample X48,0.058,
C01,Sample X49,0.057,
C02,Sample X50,0.057,
C03,Sample X51,0.178,
C04,Sample X52,0.167,
C05,Sample X53,0.182,
C06,Sample X54,0.176,
C07,Sample X55,0.183,
C08,Sample X56,0.104,
C09,Sample X57,0.206,
C10,Sample X58,0.188,
C11,Sample X59,0.207,
C12,Sample X60,0.082,
C13,Sample X61,0.096,
C14,Sample X62,0.104,
C15,Sample X63,0.186,
C16,Sample X64,0.166,
C17,Sample X65,0.223,
C18,Sample X66,0.190,
C19,Sample X67,0.185,
C20,Sample X68,0.201,
C21,Sample X69,0.178,
C22,Sample X70,0.349,
C23,Sample X71,0.065,
C24,Sample X72,0.058,
D01,Sample X73,0.062,
D02,Sample X74,0.061,
D03,Sample X75,0.088,
D04,Sample X76,0.165,
D05,Sample X77,0.288,
D06,Sample X78,0.218,
D07,Sample X79,0.186,
D08,Sample X80,0.321,
D09,Sample X81,0.085,
D10,Sample X82,0.192,
D11,Sample X83,0.210,
D12,Sample X84,0.205,
D13,Sample X85,0.120,
D14,Sample X86,0.235,
D15,Sample X87,0.111,
D16,Sample X88,0.080,
D17,Sample X89,0.125,
D18,Sample X90,0.267,
D19,Sample X91,0.216,
D20,Sample X92,0.087,
D21,Sample X93,0.125,
D22,Sample X94,0.097,
D23,Sample X95,0.054,
D24,Sample X96,0.071,
E01,Sample X97,0.070,
E02,Sample X98,0.055,
E03,Sample X99,0.088,
E04,Sample X100,0.156,
E05,Sample X101,0.149,
E06,Sample X102,0.164,
E07,Sample X103,0.075,
E08,Sample X104,0.094,
E09,Sample X105,0.216,
E10,Sample X106,0.091,
E11,Sample X107,0.149,
E12,Sample X108,0.105,
E13,Sample X109,0.217,
E14,Sample X110,0.185,
E15,Sample X111,0.112,
E16,Sample X112,0.190,
E17,Sample X113,0.199,
E18,Sample X114,0.098,
E19,Sample X115,0.076,
E20,Sample X116,0.096,
E21,Sample X117,0.373,
E22,Sample X118,0.090,
E23,Sample X119,0.074,
E24,Sample X120,0.069,
F01,Sample X121,0.058,
F02,Sample X122,0.070,
F03,Sample X123,0.094,
F04,Sample X124,0.086,
F05,Sample X125,0.095,
F06,Sample X126,0.167,
F07,Sample X127,0.139,
F08,Sample X128,0.168,
F09,Sample X129,0.112,
F10,Sample X130,0.216,
F11,Sample X131,0.195,
F12,Sample X132,0.188,
F13,Sample X133,0.121,
F14,Sample X134,0.187,
F15,Sample X135,0.125,
F16,Sample X136,0.192,
F17,Sample X137,0.197,
F18,Sample X138,0.106,
F19,Sample X139,0.185,
F20,Sample X140,0.181,
F21,Sample X141,0.183,
F22,Sample X142,0.165,
F23,Sample X143,0.063,
F24,Sample X144,0.090,
G01,Sample X145,0.059,
G02,Sample X146,0.067,
G03,Sample X147,0.176,
G04,Sample X148,0.193,
G05,Sample X149,0.188,
G06,Sample X150,0.198,
G07,Sample X151,0.087,
G08,Sample X152,0.127,
G09,Sample X153,0.171,
G10,Sample X154,0.109,
G11,Sample X155,0.160,
G12,Sample X156,0.210,
G13,Sample X157,0.213,
G14,Sample X158,0.210,
G15,Sample X159,0.188,
G16,Sample X160,0.272,
G17,Sample X161,0.203,
G18,Sample X162,0.188,
G19,Sample X163,0.184,
G20,Sample X164,0.191,
G21,Sample X165,0.190,
G22,Sample X166,0.092,
G23,Sample X167,0.080,
G24,Sample X168,0.091,
H01,Sample X169,0.073,
H02,Sample X170,0.055,
H03,Sample X171,0.125,
H04,Sample X172,0.079,
H05,Sample X173,0.174,
H06,Sample X174,0.119,
H07,Sample X175,0.196,
H08,Sample X176,0.264,
H09,Sample X177,0.160,
H10,Sample X178,0.208,
H11,Sample X179,0.216,
H12,Sample X180,0.188,
H13,Sample X181,0.242,
