Well,Content,Well Scan: Average (600),
A01,Sample X1,0.046,
A02,Sample X2,0.050,
A03,Sample X3,0.076,
A04,Sample X4,0.083,
A05,Sample X5,0.079,
A06,Sample X6,0.085,
A07,Sample X7,0.075,
A08,Sample X8,0.075,
A09,Sample X9,0.079,
A10,Sample X10,0.075,
A11,Sample X11,0.078,
A12,Sample X12,0.094,
A13,Sample X13,0.084,
A14,Sample X14,0.081,
A15,Sample X15,0.077,
A16,Sample X16,0.087,
A17,Sample X17,0.087,
A18,Sample X18,0.086,
A19,Sample X19,0.082,
A20,Sample X20,0.084,
A21,Sample X21,0.085,
A22,Sample X22,0.083,
A23,Sample X23,0.062,
A24,Sample X24,0.070,
B01,Sample X25,0.052,
B02,Sample X26,0.055,
B03,Sample X27,0.081,
B04,Sample X28,0.087,
B05,Sample X29,0.081,
B06,Sample X30,0.080,
B07,Sample X31,0.080,
B08,Sample X32,0.100,
B09,Sample X33,0.092,
B10,Sample X34,0.072,
B11,Sample X35,0.083,
B12,Sample X36,0.079,
B13,Sample X37,0.081,
B14,Sample X38,0.081,
B15,Sample X39,0.083,
B16,Sample X40,0.093,
B17,Sample X41,0.108,
B18,Sample X42,0.085,
B19,Sample X43,0.085,
B20,Sample X44,0.081,
B21,Sample X45,0.082,
B22,Sample X46,0.082,
B23,Sample X47,0.063,
B24,Sample X48,0.052,
C01,Sample X49,0.052,
C02,Sample X50,0.048,
C03,Sample X51,0.077,
C04,Sample X52,0.079,
C05,Sample X53,0.083,
C06,Sample X54,0.082,
C07,Sample X55,0.080,
C08,Sample X56,0.098,
C09,Sample X57,0.104,
C10,Sample X58,0.095,
C11,Sample X59,0.082,
C12,Sample X60,0.078,
C13,Sample X61,0.082,
C14,Sample X62,0.083,
C15,Sample X63,0.085,
C16,Sample X64,0.087,
C17,Sample X65,0.120,
C18,Sample X66,0.089,
C19,Sample X67,0.091,
C20,Sample X68,0.087,
C21,Sample X69,0.088,
C22,Sample X70,0.084,
C23,Sample X71,0.061,
C24,Sample X72,0.053,
D01,Sample X73,0.053,
D02,Sample X74,0.054,
D03,Sample X75,0.071,
D04,Sample X76,0.085,
D05,Sample X77,0.085,
D06,Sample X78,0.074,
D07,Sample X79,0.083,
D08,Sample X80,0.112,
D09,Sample X81,0.086,
D10,Sample X82,0.086,
D11,Sample X83,0.076,
D12,Sample X84,0.085,
D13,Sample X85,0.090,
D14,Sample X86,0.088,
D15,Sample X87,0.079,
D16,Sample X88,0.099,
D17,Sample X89,0.111,
D18,Sample X90,0.093,
D19,Sample X91,0.088,
D20,Sample X92,0.088,
D21,Sample X93,0.086,
D22,Sample X94,0.095,
D23,Sample X95,0.070,
D24,Sample X96,0.072,
E01,Sample X97,0.052,
E02,Sample X98,0.050,
E03,Sample X99,0.080,
E04,Sample X100,0.082,
E05,Sample X101,0.084,
E06,Sample X102,0.081,
E07,Sample X103,0.080,
E08,Sample X104,0.103,
E09,Sample X105,0.114,
E10,Sample X106,0.082,
E11,Sample X107,0.090,
E12,Sample X108,0.081,
E13,Sample X109,0.094,
E14,Sample X110,0.089,
E15,Sample X111,0.096,
E16,Sample X112,0.093,
E17,Sample X113,0.121,
E18,Sample X114,0.089,
E19,Sample X115,0.090,
E20,Sample X116,0.093,
E21,Sample X117,0.088,
E22,Sample X118,0.086,
E23,Sample X119,0.067,
E24,Sample X120,0.075,
F01,Sample X121,0.056,
F02,Sample X122,0.060,
F03,Sample X123,0.092,
F04,Sample X124,0.091,
F05,Sample X125,0.081,
F06,Sample X126,0.083,
F07,Sample X127,0.080,
F08,Sample X128,0.128,
F09,Sample X129,0.087,
F10,Sample X130,0.089,
F11,Sample X131,0.083,
F12,Sample X132,0.090,
F13,Sample X133,0.091,
F14,Sample X134,0.097,
F15,Sample X135,0.088,
F16,Sample X136,0.092,
F17,Sample X137,0.107,
F18,Sample X138,0.092,
F19,Sample X139,0.087,
F20,Sample X140,0.090,
F21,Sample X141,0.088,
F22,Sample X142,0.092,
F23,Sample X143,0.071,
F24,Sample X144,0.091,
G01,Sample X145,0.051,
G02,Sample X146,0.051,
G03,Sample X147,0.086,
G04,Sample X148,0.091,
G05,Sample X149,0.087,
G06,Sample X150,0.077,
G07,Sample X151,0.079,
G08,Sample X152,0.080,
G09,Sample X153,0.089,
G10,Sample X154,0.076,
G11,Sample X155,0.085,
G12,Sample X156,0.093,
G13,Sample X157,0.091,
G14,Sample X158,0.092,
G15,Sample X159,0.096,
G16,Sample X160,0.094,
G17,Sample X161,0.095,
G18,Sample X162,0.088,
G19,Sample X163,0.092,
G20,Sample X164,0.093,
G21,Sample X165,0.100,
