Well,Content,Well Scan: Average (600),
A01,Sample X1,0.092,
A02,Sample X2,0.080,
A03,Sample X3,0.106,
A04,Sample X4,0.088,
A05,Sample X5,0.079,
A06,Sample X6,0.083,
A07,Sample X7,0.089,
A08,Sample X8,0.097,
A09,Sample X9,0.097,
A10,Sample X10,0.097,
A11,Sample X11,0.101,
A12,Sample X12,0.146,
A13,Sample X13,0.109,
A14,Sample X14,0.089,
A15,Sample X15,0.093,
A16,Sample X16,0.098,
A17,Sample X17,0.107,
A18,Sample X18,0.821,
A19,Sample X19,0.983,
A20,Sample X20,1.496,
A21,Sample X21,0.893,
A22,Sample X22,1.112,
A23,Sample X23,0.068,
A24,Sample X24,0.067,
B01,Sample X25,0.083,
B02,Sample X26,0.080,
B03,Sample X27,0.544,
B04,Sample X28,1.159,
B05,Sample X29,0.955,
B06,Sample X30,0.874,
B07,Sample X31,0.689,
B08,Sample X32,0.732,
B09,Sample X33,1.290,
B10,Sample X34,1.283,
B11,Sample X35,0.686,
B12,Sample X36,0.731,
B13,Sample X37,0.981,
B14,Sample X38,0.659,
B15,Sample X39,0.571,
B16,Sample X40,0.881,
B17,Sample X41,0.663,
B18,Sample X42,0.580,
B19,Sample X43,0.562,
B20,Sample X44,0.647,
B21,Sample X45,0.549,
B22,Sample X46,0.609,
B23,Sample X47,0.066,
B24,Sample X48,0.065,
C01,Sample X49,0.075,
C02,Sample X50,0.075,
C03,Sample X51,0.101,
C04,Sample X52,0.300,
C05,Sample X53,0.148,
C06,Sample X54,0.099,
C07,Sample X55,0.238,
C08,Sample X56,0.167,
C09,Sample X57,0.434,
C10,Sample X58,0.659,
C11,Sample X59,0.533,
C12,Sample X60,0.515,
C13,Sample X61,0.640,
C14,Sample X62,0.510,
C15,Sample X63,0.407,
C16,Sample X64,0.102,
C17,Sample X65,0.496,
C18,Sample X66,0.383,
C19,Sample X67,0.098,
C20,Sample X68,1.092,
C21,Sample X69,0.534,
C22,Sample X70,0.573,
C23,Sample X71,0.075,
C24,Sample X72,0.062,
D01,Sample X73,0.073,
D02,Sample X74,0.074,
D03,Sample X75,0.602,
D04,Sample X76,0.701,
D05,Sample X77,0.120,
D06,Sample X78,0.777,
D07,Sample X79,0.107,
D08,Sample X80,0.552,
D09,Sample X81,0.137,
D10,Sample X82,0.564,
D11,Sample X83,0.097,
D12,Sample X84,0.679,
D13,Sample X85,0.117,
D14,Sample X86,0.740,
D15,Sample X87,0.637,
D16,Sample X88,0.588,
D17,Sample X89,0.677,
D18,Sample X90,0.981,
D19,Sample X91,0.836,
D20,Sample X92,0.512,
D21,Sample X93,0.510,
D22,Sample X94,0.578,
