Well,Content,Well Scan: Average (600),
A01,Sample X1,0.074,
A02,Sample X2,0.077,
A03,Sample X3,0.111,
A04,Sample X4,0.119,
A05,Sample X5,0.107,
A06,Sample X6,0.112,
A07,Sample X7,0.101,
A08,Sample X8,0.115,
A09,Sample X9,0.123,
A10,Sample X10,0.117,
A11,Sample X11,0.114,
A12,Sample X12,0.141,
A13,Sample X13,0.128,
A14,Sample X14,0.127,
A15,Sample X15,0.120,
A16,Sample X16,0.131,
A17,Sample X17,0.120,
A18,Sample X18,0.235,
A19,Sample X19,0.226,
A20,Sample X20,0.221,
A21,Sample X21,0.231,
A22,Sample X22,0.231,
A23,Sample X23,0.077,
A24,Sample X24,0.077,
B01,Sample X25,0.075,
B02,Sample X26,0.102,
B03,Sample X27,0.103,
B04,Sample X28,0.232,
B05,Sample X29,0.223,
B06,Sample X30,0.210,
B07,Sample X31,0.224,
B08,Sample X32,0.220,
B09,Sample X33,0.225,
B10,Sample X34,0.221,
B11,Sample X35,0.104,
B12,Sample X36,0.214,
B13,Sample X37,0.206,
B14,Sample X38,0.222,
B15,Sample X39,0.212,
B16,Sample X40,0.217,
B17,Sample X41,0.283,
B18,Sample X42,0.207,
B19,Sample X43,0.219,
B20,Sample X44,0.224,
B21,Sample X45,0.213,
B22,Sample X46,0.225,
B23,Sample X47,0.083,
B24,Sample X48,0.074,
C01,Sample X49,0.084,
C02,Sample X50,0.084,
C03,Sample X51,0.209,
C04,Sample X52,0.219,
C05,Sample X53,0.204,
C06,Sample X54,0.241,
C07,Sample X55,0.218,
C08,Sample X56,0.146,
C09,Sample X57,0.227,
C10,Sample X58,0.201,
C11,Sample X59,0.228,
C12,Sample X60,0.116,
C13,Sample X61,0.116,
C14,Sample X62,0.111,
C15,Sample X63,0.206,
C16,Sample X64,0.212,
C17,Sample X65,0.241,
C18,Sample X66,0.225,
C19,Sample X67,0.212,
C20,Sample X68,0.216,
C21,Sample X69,0.224,
C22,Sample X70,0.203,
C23,Sample X71,0.074,
C24,Sample X72,0.068,
D01,Sample X73,0.078,
D02,Sample X74,0.084,
D03,Sample X75,0.128,
D04,Sample X76,0.229,
D05,Sample X77,0.228,
D06,Sample X78,0.215,
D07,Sample X79,0.212,
D08,Sample X80,0.236,
D09,Sample X81,0.104,
D10,Sample X82,0.216,
D11,Sample X83,0.214,
D12,Sample X84,0.215,
D13,Sample X85,0.117,
D14,Sample X86,0.210,
D15,Sample X87,0.163,
D16,Sample X88,0.211,
D17,Sample X89,0.138,
D18,Sample X90,0.197,
D19,Sample X91,0.174,
D20,Sample X92,0.114,
D21,Sample X93,0.118,
D22,Sample X94,0.112,
D23,Sample X95,0.077,
D24,Sample X96,0.074,
E01,Sample X97,0.073,
E02,Sample X98,0.075,
E03,Sample X99,0.099,
E04,Sample X100,0.223,
E05,Sample X101,0.126,
E06,Sample X102,0.227,
E07,Sample X103,0.111,
E08,Sample X104,0.128,
E09,Sample X105,0.240,
E10,Sample X106,0.122,
E11,Sample X107,0.119,
E12,Sample X108,0.118,
E13,Sample X109,0.205,
E14,Sample X110,0.213,
E15,Sample X111,0.112,
E16,Sample X112,0.213,
E17,Sample X113,0.233,
E18,Sample X114,0.114,
E19,Sample X115,0.093,
E20,Sample X116,0.120,
E21,Sample X117,0.210,
E22,Sample X118,0.106,
E23,Sample X119,0.084,
E24,Sample X120,0.074,
F01,Sample X121,0.080,
F02,Sample X122,0.082,
F03,Sample X123,0.131,
F04,Sample X124,0.133,
F05,Sample X125,0.195,
F06,Sample X126,0.117,
F07,Sample X127,0.218,
F08,Sample X128,0.213,
F09,Sample X129,0.165,
F10,Sample X130,0.216,
F11,Sample X131,0.207,
F12,Sample X132,0.226,
F13,Sample X133,0.116,
F14,Sample X134,0.241,
F15,Sample X135,0.214,
F16,Sample X136,0.226,
F17,Sample X137,0.229,
F18,Sample X138,0.118,
F19,Sample X139,0.231,
F20,Sample X140,0.212,
F21,Sample X141,0.215,
F22,Sample X142,0.226,
F23,Sample X143,0.078,
F24,Sample X144,0.076,
G01,Sample X145,0.082,
G02,Sample X146,0.081,
G03,Sample X147,0.218,
G04,Sample X148,0.229,
G05,Sample X149,0.217,
G06,Sample X150,0.227,
G07,Sample X151,0.113,
G08,Sample X152,0.214,
G09,Sample X153,0.232,
G10,Sample X154,0.124,
G11,Sample X155,0.237,
G12,Sample X156,0.238,
G13,Sample X157,0.149,
G14,Sample X158,0.245,
G15,Sample X159,0.240,
G16,Sample X160,0.239,
G17,Sample X161,0.232,
G18,Sample X162,0.224,
G19,Sample X163,0.156,
G20,Sample X164,0.233,
G21,Sample X165,0.132,
G22,Sample X166,0.120,
G23,Sample X167,0.082,
G24,Sample X168,0.098,
H01,Sample X169,0.079,
H02,Sample X170,0.083,
H03,Sample X171,0.114,
H04,Sample X172,0.128,
H05,Sample X173,0.230,
H06,Sample X174,0.204,
H07,Sample X175,0.244,
H08,Sample X176,0.242,
H09,Sample X177,0.173,
H10,Sample X178,0.242,
H11,Sample X179,0.235,
H12,Sample X180,0.259,
H13,Sample X181,0.242,
H14,Sample X182,0.254,
H15,Sample X183,0.235,
H16,Sample X184,0.171,
H17,Sample X185,0.142,
H18,Sample X186,0.239,
H19,Sample X187,0.224,
H20,Sample X188,0.247,
H21,Sample X189,0.239,
H22,Sample X190,0.239,
H23,Sample X191,0.081,
H24,Sample X192,0.082,
I01,Sample X193,0.073,
I02,Sample X194,0.076,
I03,Sample X195,0.116,
I04,Sample X196,0.231,
I05,Sample X197,0.123,
I06,Sample X198,0.239,
I07,Sample X199,0.127,
I08,Sample X200,0.228,
I09,Sample X201,0.106,
I10,Sample X202,0.230,
I11,Sample X203,0.139,
I12,Sample X204,0.132,
I13,Sample X205,0.127,
I14,Sample X206,0.241,
I15,Sample X207,0.115,
I16,Sample X208,0.260,
I17,Sample X209,0.146,
I18,Sample X210,0.167,
I19,Sample X211,0.197,
I20,Sample X212,0.114,
I21,Sample X213,0.114,
I22,Sample X214,0.129,
I23,Sample X215,0.074,
I24,Sample X216,0.088,
J01,Sample X217,0.072,
J02,Sample X218,0.072,
J03,Sample X219,0.249,
J04,Sample X220,0.135,
J05,Sample X221,0.239,
J06,Sample X222,0.124,
J07,Sample X223,0.119,
J08,Sample X224,0.230,
J09,Sample X225,0.205,
J10,Sample X226,0.236,
J11,Sample X227,0.126,
J12,Sample X228,0.156,
J13,Sample X229,0.200,
J14,Sample X230,0.235,
J15,Sample X231,0.226,
J16,Sample X232,0.230,
J17,Sample X233,0.238,
J18,Sample X234,0.236,
J19,Sample X235,0.223,
J20,Sample X236,0.226,
J21,Sample X237,0.218,
J22,Sample X238,0.234,
J23,Sample X239,0.070,
J24,Sample X240,0.096,
K01,Sample X241,0.071,
K02,Sample X242,0.079,
K03,Sample X243,0.125,
K04,Sample X244,0.232,
K05,Sample X245,0.126,
K06,Sample X246,0.214,
K07,Sample X247,0.121,
K08,Sample X248,0.238,
K09,Sample X249,0.083,
K10,Sample X250,0.237,
K11,Sample X251,0.117,
K12,Sample X252,0.236,
K13,Sample X253,0.221,
K14,Sample X254,0.240,
K15,Sample X255,0.116,
K16,Sample X256,0.221,
K17,Sample X257,0.246,
K18,Sample X258,0.199,
K19,Sample X259,0.219,
K20,Sample X260,0.148,
K21,Sample X261,1.701,
K22,Sample X262,0.108,
K23,Sample X263,0.078,
K24,Sample X264,0.075,
L01,Sample X265,0.075,
L02,Sample X266,0.088,
L03,Sample X267,0.235,
L04,Sample X268,0.119,
L05,Sample X269,0.166,
