Well,Content,Well Scan: Average (600),
A01,Sample X1,0.083,
A02,Sample X2,0.088,
A03,Sample X3,0.097,
A04,Sample X4,0.099,
A05,Sample X5,0.087,
A06,Sample X6,0.087,
A07,Sample X7,0.087,
A08,Sample X8,0.118,
A09,Sample X9,0.328,
A10,Sample X10,0.119,
A11,Sample X11,0.109,
A12,Sample X12,0.148,
A13,Sample X13,0.133,
A14,Sample X14,0.116,
A15,Sample X15,0.132,
A16,Sample X16,0.111,
A17,Sample X17,0.129,
A18,Sample X18,0.406,
A19,Sample X19,0.369,
A20,Sample X20,0.375,
A21,Sample X21,0.370,
A22,Sample X22,0.328,
A23,Sample X23,0.083,
A24,Sample X24,0.075,
B01,Sample X25,0.088,
B02,Sample X26,0.082,
B03,Sample X27,0.408,
B04,Sample X28,0.121,
B05,Sample X29,0.399,
B06,Sample X30,0.405,
B07,Sample X31,0.404,
B08,Sample X32,0.422,
B09,Sample X33,0.249,
B10,Sample X34,0.395,
B11,Sample X35,0.395,
B12,Sample X36,0.388,
B13,Sample X37,0.407,
B14,Sample X38,0.391,
B15,Sample X39,0.397,
B16,Sample X40,0.411,
B17,Sample X41,0.412,
B18,Sample X42,0.384,
B19,Sample X43,0.360,
B20,Sample X44,0.341,
B21,Sample X45,0.327,
B22,Sample X46,0.312,
B23,Sample X47,0.072,
B24,Sample X48,0.071,
C01,Sample X49,0.104,
C02,Sample X50,0.091,
C03,Sample X51,0.395,
C04,Sample X52,0.371,
C05,Sample X53,0.440,
C06,Sample X54,0.380,
C07,Sample X55,0.135,
C08,Sample X56,0.344,
C09,Sample X57,0.357,
C10,Sample X58,0.382,
C11,Sample X59,0.155,
C12,Sample X60,0.136,
C13,Sample X61,0.330,
C14,Sample X62,0.382,
C15,Sample X63,0.374,
C16,Sample X64,0.376,
C17,Sample X65,0.161,
C18,Sample X66,0.342,
C19,Sample X67,0.356,
C20,Sample X68,0.329,
C21,Sample X69,0.328,
C22,Sample X70,0.300,
C23,Sample X71,0.066,
C24,Sample X72,0.068,
D01,Sample X73,0.081,
D02,Sample X74,0.088,
D03,Sample X75,0.385,
D04,Sample X76,0.115,
D05,Sample X77,0.126,
D06,Sample X78,0.116,
D07,Sample X79,0.391,
D08,Sample X80,0.142,
D09,Sample X81,0.131,
D10,Sample X82,0.389,
D11,Sample X83,0.389,
D12,Sample X84,0.392,
D13,Sample X85,0.295,
D14,Sample X86,0.373,
D15,Sample X87,0.366,
D16,Sample X88,0.388,
D17,Sample X89,0.378,
D18,Sample X90,0.358,
D19,Sample X91,0.254,
D20,Sample X92,0.112,
D21,Sample X93,0.120,
D22,Sample X94,0.173,
D23,Sample X95,0.072,
D24,Sample X96,0.078,
E01,Sample X97,0.081,
E02,Sample X98,0.079,
E03,Sample X99,0.364,
E04,Sample X100,0.338,
E05,Sample X101,0.210,
E06,Sample X102,0.342,
E07,Sample X103,0.348,
E08,Sample X104,0.149,
E09,Sample X105,0.326,
E10,Sample X106,0.412,
E11,Sample X107,0.162,
E12,Sample X108,0.361,
E13,Sample X109,0.406,
E14,Sample X110,0.376,
E15,Sample X111,0.300,
E16,Sample X112,0.298,
E17,Sample X113,0.143,
E18,Sample X114,0.149,
E19,Sample X115,0.107,
E20,Sample X116,0.130,
E21,Sample X117,0.126,
E22,Sample X118,0.140,
E23,Sample X119,0.082,
E24,Sample X120,0.082,
F01,Sample X121,0.084,
F02,Sample X122,0.087,
F03,Sample X123,0.469,
F04,Sample X124,0.345,
F05,Sample X125,0.342,
F06,Sample X126,0.286,
F07,Sample X127,0.477,
F08,Sample X128,0.137,
F09,Sample X129,0.124,
F10,Sample X130,0.117,
F11,Sample X131,0.353,
F12,Sample X132,0.133,
F13,Sample X133,0.335,
F14,Sample X134,0.126,
F15,Sample X135,0.274,
F16,Sample X136,0.280,
F17,Sample X137,0.136,
F18,Sample X138,0.121,
F19,Sample X139,0.128,
F20,Sample X140,0.148,
F21,Sample X141,0.138,
F22,Sample X142,0.140,
F23,Sample X143,0.080,
F24,Sample X144,0.075,
G01,Sample X145,0.078,
